,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mailer Molly,Female,12-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,9,5.20
1,Mailer Molly,Female,11-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,11,0.10
2,Mailer Molly,Female,17-03-2024,Winsport Calgary,CAN,Canada,FIS,Halfpipe,4,22.10
3,Mailer Molly,Female,16-03-2024,Winsport Calgary,CAN,Canada,FIS,Slopestyle,7,4.70
4,Mailer Molly,Female,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,6,15.50
5,Mailer Molly,Female,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,5,19.10
6,Mailer Molly,Female,21-02-2024,Winsport Calgary,CAN,Canada,Nor-Am Cup,Halfpipe,13,0.20
7,Mailer Molly,Female,28-01-2024,Winsport Calgary,CAN,Canada,FIS,Halfpipe,5,15.50
8,Mailer Molly,Female,25-01-2024,Copper Mountain,USA,Canada,Nor-Am Cup,Halfpipe,17,2.30
9,Mailer Molly,Female,05-04-2023,Copper Mountain Resort,USA,Canada,National Championships,Halfpipe,9,12.40
10,Mailer Molly,Female,23-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Halfpipe,6,27.90
11,Mailer Molly,Female,21-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Slopestyle,11,12.40
12,Mailer Molly,Female,19-03-2023,Winsport Calgary,CAN,Canada,FIS,Slopestyle,6,14.20
13,Mailer Molly,Female,18-03-2023,Winsport Calgary,CAN,Canada,FIS,Halfpipe,10,11.00
14,Mailer Molly,Female,13-02-2023,Winsport Calgary,CAN,Canada,Nor-Am Cup,Halfpipe,12,10.20
15,Mailer Molly,Female,29-01-2023,Winsport Calgary,CAN,Canada,FIS,Halfpipe,7,13.80
16,Mailer Molly,Female,18-03-2022,Calgary,CAN,Canada,FIS,Halfpipe,10,2.50
17,Mailer Molly,Female,28-01-2022,Calgary,CAN,Canada,FIS,Halfpipe,10,2.50
