,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mainz Tony,Male,20-12-2015,"Buck Hill, MN",USA,United States Of America,Nor-Am Cup,Parallel Slalom,34,0.00
1,Mainz Tony,Male,19-12-2015,"Buck Hill, MN",USA,United States Of America,Nor-Am Cup,Parallel Slalom,35,0.00
2,Mainz Tony,Male,19-11-2015,"Echo Mountain, CO",USA,United States Of America,Nor-Am Cup,Parallel Slalom,39,0.00
3,Mainz Tony,Male,18-11-2015,"Echo Mountain, CO",USA,United States Of America,Nor-Am Cup,Parallel Slalom,DNS2,
4,Mainz Tony,Male,14-03-2015,Le Relais,CAN,United States Of America,Nor-Am Cup,Parallel GS,43,0.00
5,Mainz Tony,Male,13-03-2015,Le Relais,CAN,United States Of America,Nor-Am Cup,Parallel Slalom,34,0.00
6,Mainz Tony,Male,25-01-2015,"Alpine Ski Club, ON",CAN,United States Of America,Nor-Am Cup,Parallel Slalom,29,7.20
7,Mainz Tony,Male,24-01-2015,"Alpine Ski Club, ON",CAN,United States Of America,Nor-Am Cup,Parallel GS,42,0.00
8,Mainz Tony,Male,22-01-2015,"Holliday Valley, NY",USA,United States Of America,Nor-Am Cup,Parallel GS,34,0.00
9,Mainz Tony,Male,21-01-2015,"Holliday Valley, NY",USA,United States Of America,Nor-Am Cup,Parallel GS,34,0.00
10,Mainz Tony,Male,07-12-2014,"Buck Hill, MN",USA,United States Of America,Nor-Am Cup,Parallel Slalom,41,0.00
11,Mainz Tony,Male,06-12-2014,"Buck Hill, MN",USA,United States Of America,Nor-Am Cup,Parallel GS,40,0.00
12,Mainz Tony,Male,26-01-2014,Ontario,CAN,United States Of America,Nor-Am Cup,Parallel Slalom,28,0.00
13,Mainz Tony,Male,25-01-2014,Ontario,CAN,United States Of America,Nor-Am Cup,Parallel GS,37,0.00
14,Mainz Tony,Male,23-01-2014,"Holliday Valley, NY",USA,United States Of America,Nor-Am Cup,Parallel Slalom,30,0.00
15,Mainz Tony,Male,22-01-2014,"Holliday Valley, NY",USA,United States Of America,Nor-Am Cup,Parallel GS,32,0.00
16,Mainz Tony,Male,19-12-2013,"Steamboat Springs, CO",USA,United States Of America,Nor-Am Cup,Parallel GS,42,0.00
17,Mainz Tony,Male,18-12-2013,"Steamboat Springs, CO",USA,United States Of America,Nor-Am Cup,Parallel Slalom,31,0.00
