,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Majerczyk Patryk,Male,05-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,51,
1,Majerczyk Patryk,Male,04-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,45,
2,Majerczyk Patryk,Male,27-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,14,21.60
3,Majerczyk Patryk,Male,26-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,28,
4,Majerczyk Patryk,Male,25-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,10,31.20
5,Majerczyk Patryk,Male,22-01-2023,Gore Mountain,USA,Poland,Qualification,Parallel Slalom,17,
6,Majerczyk Patryk,Male,22-01-2023,Gore Mountain,USA,Poland,Universiade,Parallel Slalom,17,30.80
7,Majerczyk Patryk,Male,21-01-2023,Gore Mountain,USA,Poland,Qualification,Parallel Giant Slalom,16,
8,Majerczyk Patryk,Male,21-01-2023,Gore Mountain,USA,Poland,Universiade,Parallel Giant Slalom,16,33.00
9,Majerczyk Patryk,Male,04-01-2023,SUCHE/Zakopane,POL,Poland,National Championships,Parallel Giant Slalom,10,67.60
10,Majerczyk Patryk,Male,09-03-2022,SUCHE/Zakopane,POL,Poland,National Championships,Parallel Slalom,6,116.00
11,Majerczyk Patryk,Male,08-03-2022,SUCHE/Zakopane,POL,Poland,National Championships,Parallel Giant Slalom,21,29.00
12,Majerczyk Patryk,Male,06-03-2022,Lachtal,AUT,Poland,European Cup,Parallel Giant Slalom,37,
13,Majerczyk Patryk,Male,05-03-2022,Lachtal,AUT,Poland,European Cup,Parallel Giant Slalom,37,
14,Majerczyk Patryk,Male,20-02-2022,Bozi Dar - Neklid,CZE,Poland,FIS,Parallel Slalom,3,60.00
15,Majerczyk Patryk,Male,19-02-2022,Bozi Dar - Neklid,CZE,Poland,FIS,Parallel Slalom,7,36.00
16,Majerczyk Patryk,Male,16-01-2022,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,16,16.50
17,Majerczyk Patryk,Male,15-01-2022,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,12,24.20
18,Majerczyk Patryk,Male,23-12-2021,Zakopane/Bukowina Tatrzanska,POL,Poland,FIS,Slalom,DSQ,
19,Majerczyk Patryk,Male,23-12-2021,Zakopane/Bukowina Tatrzanska,POL,Poland,FIS,Parallel Slalom,DSQ,
20,Majerczyk Patryk,Male,23-12-2021,Zakopane/Bukowina Tatrzanska,POL,Poland,FIS,Parallel Slalom,DSQ,
21,Majerczyk Patryk,Male,09-03-2021,SUCHE/Zakopane,POL,Poland,National Championships,Parallel Slalom,35,5.80
22,Majerczyk Patryk,Male,08-03-2021,SUCHE/Zakopane,POL,Poland,National Championships,Parallel Giant Slalom,49,4.58
23,Majerczyk Patryk,Male,09-02-2020,Gerlitzen,AUT,Poland,FIS,Giant Slalom,31,
24,Majerczyk Patryk,Male,08-02-2020,Gerlitzen,AUT,Poland,FIS,Giant Slalom,25,13.20
25,Majerczyk Patryk,Male,26-01-2020,Gosau,AUT,Poland,FIS,Parallel Slalom,31,5.04
26,Majerczyk Patryk,Male,25-01-2020,Gosau,AUT,Poland,FIS,Parallel Slalom,37,
27,Majerczyk Patryk,Male,24-03-2019,Paseky nad Jizerou,CZE,Poland,FIS,Parallel Slalom,21,11.00
28,Majerczyk Patryk,Male,23-03-2019,Paseky nad Jizerou,CZE,Poland,Junior,Parallel Slalom,5,22.50
29,Majerczyk Patryk,Male,13-03-2019,Bialka Tatrzanska,POL,Poland,National Championships,Parallel Slalom,18,31.20
30,Majerczyk Patryk,Male,12-03-2019,Bialka Tatrzanska,POL,Poland,National Championships,Parallel Giant Slalom,22,21.60
31,Majerczyk Patryk,Male,22-12-2018,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,16,7.50
32,Majerczyk Patryk,Male,21-12-2018,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,19,8.40
