,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Makhlouf Joseph,Male,14-02-2023,Cedars,LBN,Lebanon,National Championships,Giant Slalom,6,20.00
1,Makhlouf Joseph,Male,13-02-2023,Cedars,LBN,Lebanon,FIS,Giant Slalom,7,18.00
2,Makhlouf Joseph,Male,12-02-2023,Cedars,LBN,Lebanon,FIS,Giant Slalom,DNS,
3,Makhlouf Joseph,Male,11-02-2023,Cedars-Capucine,LBN,Lebanon,FIS,Giant Slalom,7,18.00
4,Makhlouf Joseph,Male,10-02-2023,Cedars-Capucine,LBN,Lebanon,FIS,Giant Slalom,DNS,
5,Makhlouf Joseph,Male,28-02-2022,Mzaar Ski Resort,LBN,Lebanon,FIS,Giant Slalom,6,20.00
6,Makhlouf Joseph,Male,27-02-2022,Mzaar Ski Resort,LBN,Lebanon,National Championships,Giant Slalom,7,18.00
7,Makhlouf Joseph,Male,12-02-2022,Laqlouq Resort,LBN,Lebanon,FIS,Giant Slalom,4,25.00
8,Makhlouf Joseph,Male,11-02-2022,Laqlouq Resort,LBN,Lebanon,FIS,Giant Slalom,3,30.00
9,Makhlouf Joseph,Male,10-02-2022,Laqlouq Resort,LBN,Lebanon,FIS,Giant Slalom,6,20.00
10,Makhlouf Joseph,Male,15-02-2021,Cedars,LBN,Lebanon,FIS,Giant Slalom,11,12.00
11,Makhlouf Joseph,Male,14-02-2021,Cedars,LBN,Lebanon,FIS,Giant Slalom,13,
12,Makhlouf Joseph,Male,13-02-2021,Cedars,LBN,Lebanon,National Championships,Giant Slalom,13,
13,Makhlouf Joseph,Male,12-02-2021,Cedars,LBN,Lebanon,FIS,Giant Slalom,9,14.50
14,Makhlouf Joseph,Male,11-02-2021,Cedars,LBN,Lebanon,FIS,Giant Slalom,10,13.00
15,Makhlouf Joseph,Male,10-02-2021,Cedars,LBN,Lebanon,FIS,Giant Slalom,13,10.00
