,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Manasian Arabo,Male,07-12-2021,Tochal,IRI,Iran,FIS,Giant Slalom,15,8.00
1,Manasian Arabo,Male,06-12-2021,Tochal,IRI,Iran,FIS,Giant Slalom,17,
2,Manasian Arabo,Male,23-01-2019,Dizin,IRI,Iran,FIS,Giant Slalom,18,9.10
3,Manasian Arabo,Male,22-01-2019,Dizin,IRI,Iran,FIS,Giant Slalom,19,8.40
4,Manasian Arabo,Male,24-12-2018,Tochal,IRI,Iran,FIS,Slalom,20,
5,Manasian Arabo,Male,23-12-2018,Tochal,IRI,Iran,FIS,Slalom,18,9.10
6,Manasian Arabo,Male,19-04-2018,Tochal,IRI,Iran,FIS,Giant Slalom,12,
7,Manasian Arabo,Male,18-04-2018,Tochal,IRI,Iran,FIS,Giant Slalom,10,46.80
8,Manasian Arabo,Male,10-04-2018,Tochal,IRI,Iran,FIS,Slalom,22,4.50
9,Manasian Arabo,Male,03-05-2016,Tochal,IRI,Iran,FIS,Giant Slalom,DNS1,
10,Manasian Arabo,Male,14-04-2016,Dizin,IRI,Iran,FIS,Slalom,18,6.50
11,Manasian Arabo,Male,13-04-2016,Dizin,IRI,Iran,FIS,Slalom,17,7.00
12,Manasian Arabo,Male,25-02-2015,Dizin,IRI,Iran,FIS,Giant Slalom,20,5.50
13,Manasian Arabo,Male,24-02-2015,Dizin,IRI,Iran,FIS,Giant Slalom,23,
14,Manasian Arabo,Male,03-02-2015,Shemshak,IRI,Iran,FIS,Slalom,15,8.00
15,Manasian Arabo,Male,02-02-2015,Shemshak,IRI,Iran,FIS,Slalom,18,6.50
16,Manasian Arabo,Male,30-12-2014,Darbandsar,IRI,Iran,FIS,Slalom,20,
17,Manasian Arabo,Male,25-12-2014,Tochal,IRI,Iran,FIS,Giant Slalom,13,0.00
18,Manasian Arabo,Male,24-12-2014,Tochal,IRI,Iran,FIS,Giant Slalom,12,11.00
