,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mandel Kata,Female,28-03-2025,Engadin,SUI,Romania,World Championships,Snowboard Cross,24,70.00
1,Mandel Kata,Female,27-03-2025,Engadin,SUI,Romania,Qualification,Snowboard Cross,24,
2,Mandel Kata,Female,21-03-2025,Montafon,AUT,Romania,World Cup,Snowboard Cross,23,80.00
3,Mandel Kata,Female,20-03-2025,Montafon,AUT,Romania,Qualification,Snowboard Cross,23,
4,Mandel Kata,Female,09-03-2025,Gudauri,GEO,Romania,World Cup,Snowboard Cross,22,90.00
5,Mandel Kata,Female,08-03-2025,Gudauri,GEO,Romania,World Cup,Snowboard Cross,12,220.00
6,Mandel Kata,Female,07-03-2025,Gudauri,GEO,Romania,Qualification,Snowboard Cross,16,
7,Mandel Kata,Female,01-03-2025,Erzurum,TUR,Romania,World Cup,Snowboard Cross,25,60.00
8,Mandel Kata,Female,28-02-2025,Erzurum,TUR,Romania,Qualification,Snowboard Cross,25,
9,Mandel Kata,Female,27-11-2024,Pitztal,AUT,Romania,Qualification,Snowboard Cross,DNS,
10,Mandel Kata,Female,27-11-2024,Pitztal,AUT,Romania,European Cup,Snowboard Cross,DNS,
11,Mandel Kata,Female,18-08-2024,Mt Hotham,AUS,Romania,Australian New Zealand Cup,Snowboard Cross,6,144.00
12,Mandel Kata,Female,15-08-2024,Mt Hotham,AUS,Romania,Australian New Zealand Cup,Snowboard Cross,12,79.20
13,Mandel Kata,Female,14-08-2024,Mt Hotham,AUS,Romania,Junior,Snowboard Cross,5,67.50
14,Mandel Kata,Female,16-12-2023,Cervinia,ITA,Romania,World Cup,Snowboard Cross,24,70.00
15,Mandel Kata,Female,09-12-2023,Pitztal,AUT,Romania,Junior,Snowboard Cross,4,75.00
16,Mandel Kata,Female,03-12-2023,Les Deux Alpes,FRA,Romania,World Cup,Snowboard Cross,33,24.00
17,Mandel Kata,Female,03-12-2023,Les Deux Alpes,FRA,Romania,Qualification,Snowboard Cross,33,
18,Mandel Kata,Female,08-04-2023,Chamonix,FRA,Romania,National Championships,Snowboard Cross,8,92.80
19,Mandel Kata,Female,03-04-2023,Moena - Passo San Pellegrino,ITA,Romania,National Junior Championships,Snowboard Cross,5,58.50
20,Mandel Kata,Female,02-04-2023,Moena - Passo San Pellegrino,ITA,Romania,National Championships,Snowboard Cross,4,120.00
21,Mandel Kata,Female,31-03-2023,Passo San Pellegrino,ITA,Romania,FIS Junior World Championships,Snowboard Cross Team,25,
22,Mandel Kata,Female,30-03-2023,Passo San Pellegrino,ITA,Romania,FIS Junior World Championships,Snowboard Cross,33,8.64
23,Mandel Kata,Female,19-03-2023,Passo San Pellegrino,ITA,Romania,FIS,Snowboard Cross,10,39.00
24,Mandel Kata,Female,18-03-2023,Passo San Pellegrino,ITA,Romania,FIS,Snowboard Cross,13,32.00
25,Mandel Kata,Female,16-02-2023,Moena - Passo San Pellegrino,ITA,Romania,European Cup,Snowboard Cross,17,44.80
26,Mandel Kata,Female,15-02-2023,Moena - Passo San Pellegrino,ITA,Romania,European Cup,Snowboard Cross,22,28.80
27,Mandel Kata,Female,05-02-2023,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,7,36.00
28,Mandel Kata,Female,04-02-2023,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,11,24.00
29,Mandel Kata,Female,03-02-2023,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,13,20.00
30,Mandel Kata,Female,26-01-2023,Piancavallo,ITA,Romania,European Youth Olympic Festival,Snowboard Cross,4,70.00
31,Mandel Kata,Female,15-01-2023,Reiteralm,AUT,Romania,European Cup,Snowboard Cross,24,25.20
32,Mandel Kata,Female,14-01-2023,Reiteralm,AUT,Romania,European Cup,Snowboard Cross,24,25.20
33,Mandel Kata,Female,27-11-2022,Pitztal,AUT,Romania,Junior,Snowboard Cross,33,3.36
34,Mandel Kata,Female,26-11-2022,Pitztal,AUT,Romania,Junior,Snowboard Cross,28,6.00
35,Mandel Kata,Female,31-03-2022,Veysonnaz,SUI,Romania,FIS Junior World Championships,Snowboard Cross,13,48.00
36,Mandel Kata,Female,06-03-2022,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,13,14.00
37,Mandel Kata,Female,05-03-2022,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,3,66.00
38,Mandel Kata,Female,06-02-2022,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,13,26.00
39,Mandel Kata,Female,05-02-2022,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,10,33.80
40,Mandel Kata,Female,23-01-2022,Vitkovice,CZE,Romania,FIS,Snowboard Cross,6,28.00
41,Mandel Kata,Female,22-01-2022,Vitkovice,CZE,Romania,FIS,Snowboard Cross,10,18.20
42,Mandel Kata,Female,15-12-2021,Reiteralm,AUT,Romania,Junior,Snowboard Cross,9,31.90
43,Mandel Kata,Female,13-12-2021,Reiteralm,AUT,Romania,FIS,Snowboard Cross,DNS,
44,Mandel Kata,Female,12-12-2021,Moninec,CZE,Romania,FIS,Snowboard Cross,3,30.00
45,Mandel Kata,Female,11-12-2021,Moninec,CZE,Romania,FIS,Snowboard Cross,8,16.00
