,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mantziori Athanasia,Female,09-03-2025,Kalavrita,GRE,Greece,National Championships,Big Air,4,16.40
1,Mantziori Athanasia,Female,08-03-2025,Kalavrita,GRE,Greece,National Championships,Slopestyle,5,7.80
2,Mantziori Athanasia,Female,26-01-2025,Anilio,GRE,Greece,National Championships,Rail Event,3,32.20
3,Mantziori Athanasia,Female,25-01-2025,Anilio,GRE,Greece,FIS,Slopestyle,3,28.40
4,Mantziori Athanasia,Female,08-03-2024,Voras,GRE,Greece,National Championships,Big Air,3,28.40
5,Mantziori Athanasia,Female,07-03-2024,Voras,GRE,Greece,FIS,Slopestyle,4,22.10
6,Mantziori Athanasia,Female,06-03-2024,Kopaonik,SRB,Greece,FIS,Big Air,4,19.60
7,Mantziori Athanasia,Female,06-03-2024,Kopaonik,SRB,Greece,FIS,Slopestyle,3,26.00
8,Mantziori Athanasia,Female,05-03-2024,Kopaonik,SRB,Greece,FIS,Big Air,3,31.20
9,Mantziori Athanasia,Female,05-03-2024,Kopaonik,SRB,Greece,FIS,Slopestyle,3,26.00
10,Mantziori Athanasia,Female,04-03-2024,Kopaonik,SRB,Greece,National Championships,Slopestyle,5,0.20
11,Mantziori Athanasia,Female,04-03-2024,Kopaonik,SRB,Greece,National Championships,Big Air,2,35.20
12,Mantziori Athanasia,Female,19-03-2023,Kalavrita,GRE,Greece,FIS,Big Air,7,7.80
13,Mantziori Athanasia,Female,18-03-2023,Kalavrita,GRE,Greece,FIS,Slopestyle,2,39.90
14,Mantziori Athanasia,Female,29-01-2023,Anilio,GRE,Greece,FIS,Big Air,3,26.00
15,Mantziori Athanasia,Female,28-01-2023,Anilio,GRE,Greece,National Championships,Slopestyle,3,28.40
16,Mantziori Athanasia,Female,09-04-2022,PARNASSOS,GRE,Greece,National Championships,Big Air,2,4.90
17,Mantziori Athanasia,Female,08-04-2022,PARNASSOS,GRE,Greece,FIS,Slopestyle,1,10.00
18,Mantziori Athanasia,Female,30-01-2022,Anilio,GRE,Greece,FIS,Slopestyle,3,28.40
19,Mantziori Athanasia,Female,29-01-2022,Anilio,GRE,Greece,National Championships,Slopestyle,4,19.90
