,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Margreiter Linus,Male,22-03-2025,St. Anton,AUT,Austria,FIS,Slopestyle,DNS,
1,Margreiter Linus,Male,21-03-2025,St. Anton,AUT,Austria,European Cup,Big Air,DNS,
2,Margreiter Linus,Male,09-02-2025,Mayrhofen,AUT,Austria,FIS,Slopestyle,DNS,
3,Margreiter Linus,Male,04-10-2024,SnowWorld Landgraaf,NED,Austria,FIS,Slopestyle,36,0.10
4,Margreiter Linus,Male,03-10-2024,SnowWorld Landgraaf,NED,Austria,FIS,Slopestyle,11,14.60
5,Margreiter Linus,Male,14-04-2024,Corvatsch,SUI,Austria,European Cup Premium,Big Air,75,12.30
6,Margreiter Linus,Male,12-04-2024,Corvatsch,SUI,Austria,European Cup Premium,Slopestyle,98,7.40
7,Margreiter Linus,Male,12-03-2024,Laax,SUI,Austria,European Cup Premium,Slopestyle,52,22.60
8,Margreiter Linus,Male,22-02-2024,Prato Nevoso,ITA,Austria,European Cup,Slopestyle,58,2.80
9,Margreiter Linus,Male,15-02-2024,Davos,SUI,Austria,European Cup,Big Air,17,26.70
10,Margreiter Linus,Male,22-04-2023,Kitzsteinhorn,AUT,Austria,European Cup,Big Air,29,33.00
11,Margreiter Linus,Male,21-04-2023,Kitzsteinhorn,AUT,Austria,European Cup,Slopestyle,58,1.10
12,Margreiter Linus,Male,19-04-2023,Kitzsteinhorn,AUT,Austria,European Cup,Halfpipe,12,0.20
13,Margreiter Linus,Male,04-03-2023,Oberammergau,GER,Austria,FIS,Slopestyle,12,8.50
14,Margreiter Linus,Male,25-03-2022,Vuokatti,FIN,Austria,European Youth Olympic Festival,Slopestyle,18,15.80
15,Margreiter Linus,Male,23-03-2022,Vuokatti,FIN,Austria,European Youth Olympic Festival,Big Air,28,8.90
16,Margreiter Linus,Male,01-05-2021,Hintertux,AUT,Austria,Junior,Slopestyle,32,6.38
17,Margreiter Linus,Male,06-03-2021,Götschen,GER,Austria,FIS,Big Air,27,0.79
