,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Marguc Rok,Male,29-03-2025,Krvavec,SLO,Slovenia,National Championships,Giant Slalom,DNF,
1,Marguc Rok,Male,22-03-2025,Engadin,SUI,Slovenia,Qualification,Parallel Slalom,28,
2,Marguc Rok,Male,22-03-2025,Engadin,SUI,Slovenia,World Championships,Parallel Slalom,28,40.00
3,Marguc Rok,Male,20-03-2025,Engadin,SUI,Slovenia,Qualification,Parallel Giant Slalom,26,
4,Marguc Rok,Male,20-03-2025,Engadin,SUI,Slovenia,World Championships,Parallel Giant Slalom,26,50.00
5,Marguc Rok,Male,15-03-2025,Winterberg,GER,Slovenia,Qualification,Parallel Slalom,32,
6,Marguc Rok,Male,15-03-2025,Winterberg,GER,Slovenia,World Cup,Parallel Slalom,32,26.00
7,Marguc Rok,Male,16-02-2025,Val St. Come,CAN,Slovenia,Qualification,Parallel Giant Slalom,19,
8,Marguc Rok,Male,16-02-2025,Val St. Come,CAN,Slovenia,World Cup,Parallel Giant Slalom,19,120.00
9,Marguc Rok,Male,15-02-2025,Val St. Come,CAN,Slovenia,Qualification,Parallel Giant Slalom,32,
10,Marguc Rok,Male,15-02-2025,Val St. Come,CAN,Slovenia,World Cup,Parallel Giant Slalom,32,26.00
11,Marguc Rok,Male,08-02-2025,Simonhoehe,AUT,Slovenia,National Championships,Parallel Giant Slalom,7,104.40
12,Marguc Rok,Male,25-01-2025,Rogla,SLO,Slovenia,Qualification,Parallel Giant Slalom,25,
13,Marguc Rok,Male,25-01-2025,Rogla,SLO,Slovenia,World Cup,Parallel Giant Slalom,25,60.00
14,Marguc Rok,Male,19-01-2025,Bansko,BUL,Slovenia,Qualification,Parallel Giant Slalom,40,
15,Marguc Rok,Male,19-01-2025,Bansko,BUL,Slovenia,World Cup,Parallel Giant Slalom,40,18.50
16,Marguc Rok,Male,18-01-2025,Bansko,BUL,Slovenia,Qualification,Parallel Giant Slalom,46,
17,Marguc Rok,Male,18-01-2025,Bansko,BUL,Slovenia,World Cup,Parallel Giant Slalom,46,16.70
18,Marguc Rok,Male,14-01-2025,Bad Gastein,AUT,Slovenia,Qualification,Parallel Slalom,30,
19,Marguc Rok,Male,14-01-2025,Bad Gastein,AUT,Slovenia,World Cup,Parallel Slalom,30,32.00
20,Marguc Rok,Male,11-01-2025,Scuol,SUI,Slovenia,Qualification,Parallel Giant Slalom,29,
21,Marguc Rok,Male,11-01-2025,Scuol,SUI,Slovenia,World Cup,Parallel Giant Slalom,29,36.00
22,Marguc Rok,Male,21-12-2024,Davos,SUI,Slovenia,Qualification,Parallel Slalom,35,
23,Marguc Rok,Male,21-12-2024,Davos,SUI,Slovenia,World Cup,Parallel Slalom,35,20.00
24,Marguc Rok,Male,14-12-2024,Cortina d'Ampezzo,ITA,Slovenia,Qualification,Parallel Giant Slalom,23,
25,Marguc Rok,Male,14-12-2024,Cortina d'Ampezzo,ITA,Slovenia,World Cup,Parallel Giant Slalom,23,80.00
26,Marguc Rok,Male,12-12-2024,Carezza,ITA,Slovenia,Qualification,Parallel Giant Slalom,25,
27,Marguc Rok,Male,12-12-2024,Carezza,ITA,Slovenia,World Cup,Parallel Giant Slalom,25,60.00
28,Marguc Rok,Male,08-12-2024,Yanqing (NASC),CHN,Slovenia,World Cup,Parallel Slalom,23,80.00
29,Marguc Rok,Male,08-12-2024,Yanqing (NASC),CHN,Slovenia,Qualification,Parallel Slalom,23,
30,Marguc Rok,Male,07-12-2024,Yanqing (NASC),CHN,Slovenia,World Cup,Parallel Giant Slalom,29,36.00
31,Marguc Rok,Male,07-12-2024,Yanqing (NASC),CHN,Slovenia,Qualification,Parallel Giant Slalom,29,
32,Marguc Rok,Male,01-12-2024,Mylin,CHN,Slovenia,World Cup,Parallel Slalom,17,140.00
33,Marguc Rok,Male,01-12-2024,Mylin,CHN,Slovenia,Qualification,Parallel Slalom,17,
34,Marguc Rok,Male,30-11-2024,Mylin,CHN,Slovenia,World Cup,Parallel Giant Slalom,27,45.00
35,Marguc Rok,Male,30-11-2024,Mylin,CHN,Slovenia,Qualification,Parallel Giant Slalom,27,
36,Marguc Rok,Male,30-03-2024,Krvavec,SLO,Slovenia,National Championships,Parallel Giant Slalom,2,232.00
37,Marguc Rok,Male,17-03-2024,St. Moritz,SUI,Slovenia,European Cup,Parallel Slalom,42,6.44
38,Marguc Rok,Male,16-03-2024,St. Moritz,SUI,Slovenia,European Cup,Parallel Giant Slalom,25,21.60
39,Marguc Rok,Male,09-03-2024,Winterberg,GER,Slovenia,Qualification,Parallel Slalom,13,
