,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Marty Nils,Male,02-02-2025,Reiteralm,AUT,Switzerland,Junior,Snowboard Cross,21,
1,Marty Nils,Male,01-02-2025,Reiteralm,AUT,Switzerland,Junior,Snowboard Cross,27,2.25
2,Marty Nils,Male,24-03-2024,Lenk,SUI,Switzerland,National Championships,Snowboard Cross,26,6.00
3,Marty Nils,Male,22-03-2024,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,61,2.93
4,Marty Nils,Male,21-03-2024,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,71,
5,Marty Nils,Male,02-03-2024,St. Moritz,SUI,Switzerland,National Junior Championships,Snowboard Cross,15,11.20
6,Marty Nils,Male,28-01-2024,Lenk,SUI,Switzerland,FIS,Snowboard Cross,9,20.30
7,Marty Nils,Male,27-01-2024,Lenk,SUI,Switzerland,FIS,Snowboard Cross,11,16.80
8,Marty Nils,Male,17-12-2023,Reiteralm,AUT,Switzerland,Junior,Snowboard Cross,12,15.40
9,Marty Nils,Male,09-12-2023,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,50,1.55
10,Marty Nils,Male,01-04-2023,St. Moritz,SUI,Switzerland,National Championships,Snowboard Cross,14,52.20
11,Marty Nils,Male,19-03-2023,Passo San Pellegrino,ITA,Switzerland,FIS,Snowboard Cross,49,2.84
12,Marty Nils,Male,18-03-2023,Passo San Pellegrino,ITA,Switzerland,FIS,Snowboard Cross,49,2.84
13,Marty Nils,Male,12-03-2023,Lenk,SUI,Switzerland,National Junior Championships,Snowboard Cross,32,2.34
14,Marty Nils,Male,19-02-2023,Flumserberg,SUI,Switzerland,Junior,Snowboard Cross,25,6.60
15,Marty Nils,Male,18-02-2023,Flumserberg,SUI,Switzerland,Junior,Snowboard Cross,32,2.86
16,Marty Nils,Male,27-11-2022,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,33,3.84
17,Marty Nils,Male,26-11-2022,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,78,1.28
18,Marty Nils,Male,25-11-2022,Pitztal,AUT,Switzerland,FIS,Snowboard Cross,94,0.51
