,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Maya Emma,Female,16-03-2025,Davos,SUI,Czechia,European Cup,Parallel Slalom,26,14.50
1,Maya Emma,Female,16-03-2025,Davos,SUI,Czechia,Qualification,Parallel Slalom,26,
2,Maya Emma,Female,15-03-2025,Davos,SUI,Czechia,European Cup,Parallel Slalom,23,23.20
3,Maya Emma,Female,15-03-2025,Davos,SUI,Czechia,Qualification,Parallel Slalom,23,
4,Maya Emma,Female,06-03-2025,Zakopane/Suche,POL,Czechia,FIS Junior World Championships,Parallel Slalom Team,24,
5,Maya Emma,Female,06-03-2025,Zakopane/Suche,POL,Czechia,Qualification,Parallel Slalom Team,24,
6,Maya Emma,Female,05-03-2025,Zakopane/Suche,POL,Czechia,Qualification,Parallel Slalom,11,
7,Maya Emma,Female,05-03-2025,Zakopane/Suche,POL,Czechia,FIS Junior World Championships,Parallel Slalom,11,69.60
8,Maya Emma,Female,02-03-2025,Spindleruv Mlyn - Stoh,CZE,Czechia,National Championships,Parallel Slalom,3,42.00
9,Maya Emma,Female,01-03-2025,Spindleruv Mlyn - Stoh,CZE,Czechia,National Championships,Parallel Giant Slalom,3,42.00
10,Maya Emma,Female,09-02-2025,Simonhoehe,AUT,Czechia,National Championships,Parallel Slalom,10,75.40
11,Maya Emma,Female,08-02-2025,Simonhoehe,AUT,Czechia,National Championships,Parallel Giant Slalom,18,37.70
12,Maya Emma,Female,02-02-2025,Ratschings,ITA,Czechia,European Cup,Parallel Slalom,DSQ,
13,Maya Emma,Female,01-02-2025,Ratschings,ITA,Czechia,European Cup,Parallel Slalom,24,25.20
14,Maya Emma,Female,01-02-2025,Ratschings,ITA,Czechia,Qualification,Parallel Slalom,24,
15,Maya Emma,Female,26-01-2025,Simonhöhe,AUT,Czechia,European Cup,Parallel Giant Slalom,44,6.23
16,Maya Emma,Female,25-01-2025,Simonhöhe,AUT,Czechia,European Cup,Parallel Giant Slalom,22,21.60
17,Maya Emma,Female,19-01-2025,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,3,42.00
18,Maya Emma,Female,18-01-2025,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,2,56.00
19,Maya Emma,Female,12-01-2025,Nova Levante - Welschnofen,ITA,Czechia,FIS,Parallel Giant Slalom,11,33.60
20,Maya Emma,Female,11-01-2025,Folgaria,ITA,Czechia,European Cup,Parallel Giant Slalom,20,26.40
21,Maya Emma,Female,11-01-2025,Folgaria,ITA,Czechia,Qualification,Parallel Giant Slalom,20,
22,Maya Emma,Female,10-01-2025,Folgaria,ITA,Czechia,European Cup,Parallel Giant Slalom,22,21.60
23,Maya Emma,Female,10-01-2025,Folgaria,ITA,Czechia,Qualification,Parallel Giant Slalom,22,
24,Maya Emma,Female,22-12-2024,Moninec,CZE,Czechia,FIS,Parallel Slalom,6,72.00
25,Maya Emma,Female,21-12-2024,Moninec,CZE,Czechia,FIS,Parallel Slalom,7,57.60
26,Maya Emma,Female,20-12-2024,Moninec,CZE,Czechia,European Cup,Parallel Slalom,31,6.72
27,Maya Emma,Female,19-12-2024,Moninec,CZE,Czechia,European Cup,Parallel Slalom,29,8.64
28,Maya Emma,Female,15-12-2024,Götschen,GER,Czechia,European Cup,Parallel Slalom,40,4.44
29,Maya Emma,Female,14-12-2024,Götschen,GER,Czechia,European Cup,Parallel Slalom,34,4.84
30,Maya Emma,Female,07-04-2024,Samnaun,SUI,Czechia,National Championships,Giant Slalom,12,63.80
31,Maya Emma,Female,06-04-2024,Samnaun,SUI,Czechia,National Championships,Parallel Slalom,9,84.10
32,Maya Emma,Female,30-03-2024,Krvavec,SLO,Czechia,National Championships,Parallel Giant Slalom,4,110.00
33,Maya Emma,Female,24-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Slalom Team,27,
34,Maya Emma,Female,23-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Slalom,18,31.20
35,Maya Emma,Female,23-03-2024,Lachtal,AUT,Czechia,Qualification,Parallel Slalom,18,
36,Maya Emma,Female,22-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Giant Slalom,29,8.64
37,Maya Emma,Female,22-03-2024,Lachtal,AUT,Czechia,Qualification,Parallel Giant Slalom,29,
38,Maya Emma,Female,17-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,2,72.00
39,Maya Emma,Female,16-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,3,108.00
40,Maya Emma,Female,10-03-2024,Senales - Schnals,ITA,Czechia,FIS,Parallel Slalom,8,35.20
41,Maya Emma,Female,09-03-2024,Senales - Schnals,ITA,Czechia,FIS,Parallel Slalom,7,39.60
42,Maya Emma,Female,24-02-2024,Alleghe,ITA,Czechia,Junior,Parallel Giant Slalom,8,44.80
43,Maya Emma,Female,09-02-2024,Funes - Vilnoess,ITA,Czechia,National Championships,Parallel Slalom,27,13.05
44,Maya Emma,Female,08-02-2024,Funes - Vilnoess,ITA,Czechia,National Championships,Parallel Giant Slalom,29,10.44
45,Maya Emma,Female,04-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,12,30.80
