,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Miki Tsubaki,Female,25-01-2025,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,1,
1,Miki Tsubaki,Female,25-01-2025,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,1,1000.00
2,Miki Tsubaki,Female,19-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,2,
3,Miki Tsubaki,Female,19-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,2,800.00
4,Miki Tsubaki,Female,18-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,2,
5,Miki Tsubaki,Female,18-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,2,800.00
6,Miki Tsubaki,Female,14-01-2025,Bad Gastein,AUT,Japan,Qualification,Parallel Slalom,6,
7,Miki Tsubaki,Female,14-01-2025,Bad Gastein,AUT,Japan,World Cup,Parallel Slalom,2,800.00
8,Miki Tsubaki,Female,11-01-2025,Scuol,SUI,Japan,Qualification,Parallel Giant Slalom,1,
9,Miki Tsubaki,Female,11-01-2025,Scuol,SUI,Japan,World Cup,Parallel Giant Slalom,2,800.00
10,Miki Tsubaki,Female,21-12-2024,Davos,SUI,Japan,Qualification,Parallel Slalom,2,
11,Miki Tsubaki,Female,21-12-2024,Davos,SUI,Japan,World Cup,Parallel Slalom,1,1000.00
12,Miki Tsubaki,Female,14-12-2024,Cortina d'Ampezzo,ITA,Japan,Qualification,Parallel Giant Slalom,4,
13,Miki Tsubaki,Female,14-12-2024,Cortina d'Ampezzo,ITA,Japan,World Cup,Parallel Giant Slalom,4,500.00
14,Miki Tsubaki,Female,12-12-2024,Carezza,ITA,Japan,Qualification,Parallel Giant Slalom,1,
15,Miki Tsubaki,Female,12-12-2024,Carezza,ITA,Japan,World Cup,Parallel Giant Slalom,3,600.00
16,Miki Tsubaki,Female,08-12-2024,Yanqing (NASC),CHN,Japan,World Cup,Parallel Slalom,1,1000.00
17,Miki Tsubaki,Female,08-12-2024,Yanqing (NASC),CHN,Japan,Qualification,Parallel Slalom,3,
18,Miki Tsubaki,Female,07-12-2024,Yanqing (NASC),CHN,Japan,World Cup,Parallel Giant Slalom,3,600.00
19,Miki Tsubaki,Female,07-12-2024,Yanqing (NASC),CHN,Japan,Qualification,Parallel Giant Slalom,1,
20,Miki Tsubaki,Female,01-12-2024,Mylin,CHN,Japan,World Cup,Parallel Slalom,2,800.00
21,Miki Tsubaki,Female,01-12-2024,Mylin,CHN,Japan,Qualification,Parallel Slalom,3,
22,Miki Tsubaki,Female,30-11-2024,Mylin,CHN,Japan,World Cup,Parallel Giant Slalom,3,600.00
23,Miki Tsubaki,Female,30-11-2024,Mylin,CHN,Japan,Qualification,Parallel Giant Slalom,5,
24,Miki Tsubaki,Female,17-03-2024,St. Moritz,SUI,Japan,European Cup,Parallel Slalom,DNS,
25,Miki Tsubaki,Female,16-03-2024,St. Moritz,SUI,Japan,European Cup,Parallel Giant Slalom,6,144.00
26,Miki Tsubaki,Female,09-03-2024,Winterberg,GER,Japan,Qualification,Parallel Slalom,2,
27,Miki Tsubaki,Female,09-03-2024,Winterberg,GER,Japan,World Cup,Parallel Slalom,5,450.00
28,Miki Tsubaki,Female,25-02-2024,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,3,
29,Miki Tsubaki,Female,25-02-2024,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,1,1000.00
30,Miki Tsubaki,Female,24-02-2024,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,18,
31,Miki Tsubaki,Female,24-02-2024,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,18,130.00
32,Miki Tsubaki,Female,27-01-2024,Simonhöhe,AUT,Japan,Qualification,Parallel Giant Slalom,1,
33,Miki Tsubaki,Female,27-01-2024,Simonhöhe,AUT,Japan,World Cup,Parallel Giant Slalom,5,450.00
34,Miki Tsubaki,Female,25-01-2024,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,2,
35,Miki Tsubaki,Female,25-01-2024,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,1,1000.00
36,Miki Tsubaki,Female,21-01-2024,Pamporovo,BUL,Japan,Qualification,Parallel Slalom,4,
37,Miki Tsubaki,Female,21-01-2024,Pamporovo,BUL,Japan,World Cup,Parallel Slalom,3,600.00
38,Miki Tsubaki,Female,20-01-2024,Pamporovo,BUL,Japan,Qualification,Parallel Slalom,4,
39,Miki Tsubaki,Female,20-01-2024,Pamporovo,BUL,Japan,World Cup,Parallel Slalom,3,600.00
40,Miki Tsubaki,Female,16-01-2024,Bad Gastein,AUT,Japan,Qualification,Parallel Slalom,4,
