,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Milev Kostadin,Male,06-04-2025,Bansko,BUL,Bulgaria,National Championships,Parallel Slalom,22,
1,Milev Kostadin,Male,05-04-2025,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,DSQ,
2,Milev Kostadin,Male,22-01-2025,Bansko,BUL,Bulgaria,European Cup,Parallel Giant Slalom,40,
3,Milev Kostadin,Male,21-01-2025,Bansko,BUL,Bulgaria,European Cup,Parallel Giant Slalom,DSQ,
4,Milev Kostadin,Male,05-04-2024,Bansko,BUL,Bulgaria,National Championships,Parallel Slalom,13,52.00
5,Milev Kostadin,Male,04-04-2024,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,16,39.00
6,Milev Kostadin,Male,24-01-2024,Pamporovo,BUL,Bulgaria,European Cup,Parallel Slalom,22,19.80
7,Milev Kostadin,Male,23-01-2024,Pamporovo,BUL,Bulgaria,European Cup,Parallel Slalom,27,9.90
8,Milev Kostadin,Male,28-03-2023,Bansko,BUL,Bulgaria,National Championships,Parallel Slalom,20,22.00
9,Milev Kostadin,Male,27-03-2023,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,31,
10,Milev Kostadin,Male,09-02-2023,Pamporovo,BUL,Bulgaria,FIS,Parallel Slalom,11,
11,Milev Kostadin,Male,08-02-2023,Pamporovo,BUL,Bulgaria,FIS,Parallel Slalom,9,46.40
12,Milev Kostadin,Male,06-04-2022,Borovets,BUL,Bulgaria,National Championships,Parallel Slalom,19,24.00
13,Milev Kostadin,Male,05-04-2022,Borovets,BUL,Bulgaria,National Championships,Parallel Giant Slalom,19,24.00
14,Milev Kostadin,Male,10-03-2022,Pamporovo,BUL,Bulgaria,FIS,Parallel Slalom,16,16.50
15,Milev Kostadin,Male,09-03-2022,Pamporovo,BUL,Bulgaria,FIS,Parallel Slalom,16,16.50
16,Milev Kostadin,Male,20-02-2022,Bansko,BUL,Bulgaria,FIS,Parallel Slalom,21,18.00
17,Milev Kostadin,Male,19-02-2022,Bansko,BUL,Bulgaria,FIS,Parallel Giant Slalom,19,21.60
