,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Minamiya Hanato,Male,12-04-2025,Corvatsch,SUI,Japan,European Cup Premium,Big Air,67,
1,Minamiya Hanato,Male,10-04-2025,Corvatsch,SUI,Japan,European Cup Premium,Slopestyle,42,68.10
2,Minamiya Hanato,Male,03-04-2025,Kitzsteinhorn,AUT,Japan,European Cup,Big Air,9,115.20
3,Minamiya Hanato,Male,22-03-2025,St. Anton,AUT,Japan,FIS,Slopestyle,3,54.80
4,Minamiya Hanato,Male,21-03-2025,St. Anton,AUT,Japan,European Cup,Big Air,5,75.90
5,Minamiya Hanato,Male,08-03-2025,Beida Lake Ski Resort,CHN,Japan,Asian Cup,Slopestyle,3,77.60
6,Minamiya Hanato,Male,07-03-2025,Beida Lake Ski Resort,CHN,Japan,Asian Cup,Slopestyle,3,77.60
7,Minamiya Hanato,Male,01-03-2025,Hakuba,JPN,Japan,Asian Cup,Slopestyle,7,89.60
8,Minamiya Hanato,Male,10-02-2025,Yabuli Ski Resort,CHN,Japan,Asian Winter Games,Big Air,5,54.80
9,Minamiya Hanato,Male,08-02-2025,Yabuli Ski Resort,CHN,Japan,Asian Winter Games,Slopestyle,5,52.30
10,Minamiya Hanato,Male,01-12-2024,Beijing,CHN,Japan,World Cup,Big Air,41,57.90
11,Minamiya Hanato,Male,30-11-2024,Beijing,CHN,Japan,Qualification,Big Air,22,
12,Minamiya Hanato,Male,30-09-2024,Cardrona,NZL,Japan,Australian New Zealand Cup,Big Air,DNS,
13,Minamiya Hanato,Male,30-03-2024,Livigno/Mottolino,ITA,Japan,FIS Junior World Championships,Big Air,4,142.00
14,Minamiya Hanato,Male,28-03-2024,Livigno/Mottolino,ITA,Japan,Qualification,Big Air,2,
15,Minamiya Hanato,Male,26-03-2024,Livigno/Mottolino,ITA,Japan,FIS Junior World Championships,Slopestyle,33,29.90
16,Minamiya Hanato,Male,26-03-2024,Livigno/Mottolino,ITA,Japan,Qualification,Slopestyle,10,
17,Minamiya Hanato,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Big Air,4,183.80
18,Minamiya Hanato,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Slopestyle,4,149.60
19,Minamiya Hanato,Male,28-02-2024,Hakuba,JPN,Japan,Asian Cup,Slopestyle,18,28.60
20,Minamiya Hanato,Male,17-02-2024,Fukushima Yama,JPN,Japan,Asian Cup,Big Air,5,175.50
21,Minamiya Hanato,Male,29-09-2023,Cardrona,NZL,Japan,Australian New Zealand Cup,Slopestyle,9,109.90
22,Minamiya Hanato,Male,31-03-2023,Hakuba,JPN,Japan,Asian Cup,Big Air,17,16.00
23,Minamiya Hanato,Male,29-03-2023,Hakuba,JPN,Japan,Asian Cup,Slopestyle,6,94.20
24,Minamiya Hanato,Male,25-03-2023,Niseko,JPN,Japan,National Championships,Big Air,8,59.00
25,Minamiya Hanato,Male,24-03-2023,Niseko,JPN,Japan,National Championships,Slopestyle,13,43.30
26,Minamiya Hanato,Male,14-02-2023,Fukushima Yama,JPN,Japan,FIS,Big Air,21,21.80
27,Minamiya Hanato,Male,29-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,31,13.50
28,Minamiya Hanato,Male,28-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,19,25.40
29,Minamiya Hanato,Male,02-04-2022,Tsugaike,JPN,Japan,FIS,Big Air,21,6.70
30,Minamiya Hanato,Male,30-03-2022,Hakuba,JPN,Japan,FIS,Slopestyle,18,16.40
31,Minamiya Hanato,Male,06-03-2022,Niseko,JPN,Japan,National Championships,Big Air,15,37.10
32,Minamiya Hanato,Male,05-03-2022,Niseko,JPN,Japan,National Championships,Slopestyle,21,27.30
33,Minamiya Hanato,Male,30-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,8,45.40
34,Minamiya Hanato,Male,29-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,38,11.50
35,Minamiya Hanato,Male,10-04-2021,Ajigasawa,JPN,Japan,National Championships,Big Air,26,10.95
36,Minamiya Hanato,Male,31-03-2021,Tsugaike,JPN,Japan,FIS,Big Air,7,22.47
37,Minamiya Hanato,Male,31-01-2021,Niseko,JPN,Japan,FIS,Slopestyle,28,11.46
38,Minamiya Hanato,Male,30-01-2021,Niseko,JPN,Japan,FIS,Slopestyle,16,20.28
39,Minamiya Hanato,Male,01-03-2020,Oze-Tokura,JPN,Japan,FIS,Big Air,28,2.80
40,Minamiya Hanato,Male,29-02-2020,Oze-Tokura,JPN,Japan,FIS,Slopestyle,18,11.70
41,Minamiya Hanato,Male,26-01-2020,Niseko,JPN,Japan,Asian Cup,Slopestyle,22,14.40
42,Minamiya Hanato,Male,25-01-2020,Niseko,JPN,Japan,Asian Cup,Slopestyle,24,11.20
