,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Miyamura Yuto,Male,01-03-2025,Hakuba,JPN,Japan,Asian Cup,Slopestyle,4,139.80
1,Miyamura Yuto,Male,22-02-2025,Calgary,CAN,Japan,World Cup,Slopestyle,11,267.80
2,Miyamura Yuto,Male,20-02-2025,Calgary,CAN,Japan,Qualification,Slopestyle,7,
3,Miyamura Yuto,Male,06-02-2025,Aspen,USA,Japan,World Cup,Big Air,3,694.80
4,Miyamura Yuto,Male,05-02-2025,Aspen,USA,Japan,Qualification,Big Air,3,
5,Miyamura Yuto,Male,02-02-2025,Aspen,USA,Japan,World Cup,Slopestyle,20,170.20
6,Miyamura Yuto,Male,31-01-2025,Aspen,USA,Japan,Qualification,Slopestyle,12,
7,Miyamura Yuto,Male,18-01-2025,Laax,SUI,Japan,World Cup,Slopestyle,16,204.20
8,Miyamura Yuto,Male,16-01-2025,Laax,SUI,Japan,Qualification,Slopestyle,11,
9,Miyamura Yuto,Male,11-01-2025,Kreischberg,AUT,Japan,Qualification,Big Air,26,
10,Miyamura Yuto,Male,11-01-2025,Kreischberg,AUT,Japan,World Cup,Big Air,51,18.70
11,Miyamura Yuto,Male,05-01-2025,Klagenfurt,AUT,Japan,Qualification,Big Air,23,
12,Miyamura Yuto,Male,05-01-2025,Klagenfurt,AUT,Japan,World Cup,Big Air,42,27.40
13,Miyamura Yuto,Male,01-12-2024,Beijing,CHN,Japan,World Cup,Big Air,11,263.60
14,Miyamura Yuto,Male,30-11-2024,Beijing,CHN,Japan,Qualification,Big Air,6,
15,Miyamura Yuto,Male,19-10-2024,Chur,SUI,Japan,World Cup,Big Air,25,118.70
16,Miyamura Yuto,Male,30-09-2024,Cardrona,NZL,Japan,Australian New Zealand Cup,Big Air,4,206.30
17,Miyamura Yuto,Male,02-09-2024,Cardrona,NZL,Japan,World Cup,Slopestyle,26,133.70
18,Miyamura Yuto,Male,31-08-2024,Cardrona,NZL,Japan,Qualification,Slopestyle,11,
19,Miyamura Yuto,Male,14-04-2024,Corvatsch,SUI,Japan,European Cup Premium,Big Air,2,415.60
20,Miyamura Yuto,Male,12-04-2024,Corvatsch,SUI,Japan,European Cup Premium,Slopestyle,7,201.40
21,Miyamura Yuto,Male,23-03-2024,Silvaplana,SUI,Japan,World Cup,Slopestyle,58,4.50
22,Miyamura Yuto,Male,21-03-2024,Silvaplana,SUI,Japan,Qualification,Slopestyle,29,
23,Miyamura Yuto,Male,15-03-2024,Tignes,FRA,Japan,World Cup,Slopestyle,6,441.40
24,Miyamura Yuto,Male,15-03-2024,Tignes,FRA,Japan,Qualification,Slopestyle,5,
25,Miyamura Yuto,Male,05-03-2024,Tiger Ridge Ski Resort,CHN,Japan,Asian Cup,Slopestyle,4,87.40
26,Miyamura Yuto,Male,04-03-2024,Tiger Ridge Mountain Park,CHN,Japan,Asian Cup,Slopestyle,2,130.40
27,Miyamura Yuto,Male,28-02-2024,Hakuba,JPN,Japan,Asian Cup,Slopestyle,1,240.00
28,Miyamura Yuto,Male,17-02-2024,Fukushima Yama,JPN,Japan,Asian Cup,Big Air,7,129.50
29,Miyamura Yuto,Male,08-02-2024,Mammoth Mountain,USA,Japan,Nor-Am Cup Premium,Slopestyle,4,294.40
30,Miyamura Yuto,Male,20-01-2024,Laax,SUI,Japan,World Cup,Slopestyle,54,21.80
31,Miyamura Yuto,Male,16-01-2024,Laax,SUI,Japan,Qualification,Slopestyle,27,
32,Miyamura Yuto,Male,15-12-2023,Copper Mountain,USA,Japan,World Cup,Big Air,7,390.60
33,Miyamura Yuto,Male,13-12-2023,Copper Mountain,USA,Japan,Qualification,Big Air,1,
34,Miyamura Yuto,Male,09-12-2023,Edmonton,CAN,Japan,World Cup,Big Air,4,589.90
35,Miyamura Yuto,Male,08-12-2023,Edmonton,CAN,Japan,Qualification,Big Air,2,
36,Miyamura Yuto,Male,02-12-2023,Beijing,CHN,Japan,World Cup,Big Air,11,252.10
37,Miyamura Yuto,Male,01-12-2023,Beijing,CHN,Japan,Qualification,Big Air,6,
38,Miyamura Yuto,Male,21-10-2023,Chur,SUI,Japan,World Cup,Big Air,23,151.30
39,Miyamura Yuto,Male,21-10-2023,Chur,SUI,Japan,Qualification,Big Air,10,
40,Miyamura Yuto,Male,29-09-2023,Cardrona,NZL,Japan,Australian New Zealand Cup,Slopestyle,28,33.90
41,Miyamura Yuto,Male,04-09-2023,Cardrona,NZL,Japan,FIS Junior World Championships,Big Air,4,212.70
