,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Moioli Michela,Female,08-03-2025,Gudauri,GEO,Italy,World Cup,Snowboard Cross,3,
1,Moioli Michela,Female,07-03-2025,Gudauri,GEO,Italy,Qualification,Snowboard Cross,5,
2,Moioli Michela,Female,02-03-2025,Erzurum,TUR,Italy,World Cup,Snowboard Cross Team,8,
3,Moioli Michela,Female,01-03-2025,Erzurum,TUR,Italy,World Cup,Snowboard Cross,5,450.00
4,Moioli Michela,Female,28-02-2025,Erzurum,TUR,Italy,Qualification,Snowboard Cross,7,
5,Moioli Michela,Female,15-02-2025,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,7,
6,Moioli Michela,Female,15-02-2025,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,7,360.00
7,Moioli Michela,Female,02-02-2025,Beidahu,CHN,Italy,World Cup,Snowboard Cross,4,500.00
8,Moioli Michela,Female,02-02-2025,Beidahu,CHN,Italy,Qualification,Snowboard Cross,3,
9,Moioli Michela,Female,01-02-2025,Beidahu,CHN,Italy,World Cup,Snowboard Cross,2,800.00
10,Moioli Michela,Female,31-01-2025,Beidahu,CHN,Italy,Qualification,Snowboard Cross,9,
11,Moioli Michela,Female,14-12-2024,Cervinia,ITA,Italy,World Cup,Snowboard Cross,8,320.00
12,Moioli Michela,Female,13-12-2024,Cervinia,ITA,Italy,Qualification,Snowboard Cross,8,
13,Moioli Michela,Female,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,1,290.00
14,Moioli Michela,Female,24-03-2024,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,2,800.00
15,Moioli Michela,Female,23-03-2024,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,6,400.00
16,Moioli Michela,Female,22-03-2024,Mt. St. Anne,CAN,Italy,Qualification,Snowboard Cross,8,
17,Moioli Michela,Female,17-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,13,200.00
18,Moioli Michela,Female,16-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,1,1000.00
19,Moioli Michela,Female,15-03-2024,Montafon,AUT,Italy,Qualification,Snowboard Cross,3,
20,Moioli Michela,Female,09-03-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,3,600.00
21,Moioli Michela,Female,08-03-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,2,
22,Moioli Michela,Female,03-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,1,1000.00
23,Moioli Michela,Female,02-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,9,290.00
24,Moioli Michela,Female,01-03-2024,Sierra Nevada,ESP,Italy,Qualification,Snowboard Cross,1,
25,Moioli Michela,Female,04-02-2024,Gudauri,GEO,Italy,World Cup,Snowboard Cross,4,500.00
