,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Morauskas Motiejus,Male,01-04-2025,Kitzsteinhorn,AUT,Lithuania,European Cup,Rail Event,DNS,
1,Morauskas Motiejus,Male,07-03-2025,Szczyrk,POL,Lithuania,European Cup,Rail Event,7,39.80
2,Morauskas Motiejus,Male,13-02-2025,Davos,SUI,Lithuania,European Cup,Rail Event,19,14.70
3,Morauskas Motiejus,Male,14-12-2024,"Druskininkai,Sow arena",LTU,Lithuania,FIS,Big Air,1,10.00
4,Morauskas Motiejus,Male,14-12-2024,"Druskininkai,Sow arena",LTU,Lithuania,FIS,Slopestyle,3,5.70
5,Morauskas Motiejus,Male,14-12-2024,"Druskininkai,Sow arena",LTU,Lithuania,FIS,Rail Event,1,10.00
6,Morauskas Motiejus,Male,07-12-2024,Den Haag,NED,Lithuania,European Cup,Rail Event,9,26.40
7,Morauskas Motiejus,Male,24-02-2024,Grizinkalns,LAT,Lithuania,FIS,Rail Event,1,
8,Morauskas Motiejus,Male,17-12-2023,Snow Arena,LTU,Lithuania,FIS,Rail Event,2,
9,Morauskas Motiejus,Male,16-12-2023,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Rail Event,1,
10,Morauskas Motiejus,Male,05-03-2023,Mezezers,LAT,Lithuania,National Championships,Big Air,3,3.10
11,Morauskas Motiejus,Male,04-03-2023,Mezezers,LAT,Lithuania,National Championships,Slopestyle,1,10.00
12,Morauskas Motiejus,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Slopestyle,1,10.00
13,Morauskas Motiejus,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Lithuania,National Championships,Slopestyle,1,50.00
14,Morauskas Motiejus,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Big Air,3,4.50
15,Morauskas Motiejus,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Lithuania,National Championships,Big Air,1,50.00
16,Morauskas Motiejus,Male,03-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,FIS,Big Air,2,14.10
17,Morauskas Motiejus,Male,03-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,National Championships,Big Air,3,8.90
18,Morauskas Motiejus,Male,02-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,FIS,Slopestyle,1,10.00
19,Morauskas Motiejus,Male,02-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,National Championships,Slopestyle,1,10.00
20,Morauskas Motiejus,Male,19-11-2021,Landgraaf,NED,Lithuania,European Cup,Slopestyle,33,21.90
21,Morauskas Motiejus,Male,18-11-2021,Landgraaf,NED,Lithuania,FIS,Slopestyle,39,26.10
22,Morauskas Motiejus,Male,11-11-2021,Glacier 3000,SUI,Lithuania,Open,Slopestyle,21,29.70
23,Morauskas Motiejus,Male,23-10-2021,Chur,SUI,Lithuania,World Cup,Big Air,49,0.30
24,Morauskas Motiejus,Male,16-03-2021,Aspen,USA,Lithuania,World Championships,Big Air,41,57.27
25,Morauskas Motiejus,Male,14-03-2021,Aspen,USA,Lithuania,Qualification,Big Air,23,
26,Morauskas Motiejus,Male,12-03-2021,Aspen,USA,Lithuania,World Championships,Slopestyle,39,70.94
27,Morauskas Motiejus,Male,10-03-2021,Aspen,USA,Lithuania,Qualification,Slopestyle,21,
28,Morauskas Motiejus,Male,05-03-2021,Götschen,GER,Lithuania,European Cup,Big Air,20,16.66
29,Morauskas Motiejus,Male,04-03-2021,Flachauwinkel,AUT,Lithuania,European Cup,Big Air,50,4.38
30,Morauskas Motiejus,Male,22-02-2021,Götschen,GER,Lithuania,European Cup,Big Air,23,30.98
31,Morauskas Motiejus,Male,21-02-2021,Götschen,GER,Lithuania,European Cup,Slopestyle,33,20.65
32,Morauskas Motiejus,Male,08-02-2021,Kopaonik,SRB,Lithuania,European Cup,Big Air,22,20.88
33,Morauskas Motiejus,Male,05-02-2021,Mavrovo,MKD,Lithuania,FIS,Slopestyle,2,41.13
34,Morauskas Motiejus,Male,04-02-2021,Mavrovo,MKD,Lithuania,National Championships,Slopestyle,2,41.15
35,Morauskas Motiejus,Male,31-01-2021,Crans Montana,SUI,Lithuania,European Cup,Slopestyle,31,53.68
36,Morauskas Motiejus,Male,06-03-2020,Absolut Park Flachauwinkel,AUT,Lithuania,European Cup,Big Air,DNS1,
37,Morauskas Motiejus,Male,20-02-2020,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Big Air,2,56.00
38,Morauskas Motiejus,Male,19-02-2020,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Slopestyle,3,30.00
39,Morauskas Motiejus,Male,15-02-2020,Kotelnica Bialczanska,POL,Lithuania,European Cup,Big Air,1,160.00
40,Morauskas Motiejus,Male,22-01-2020,Leysin,SUI,Lithuania,Qualification,Big Air,19,
41,Morauskas Motiejus,Male,22-01-2020,Leysin,SUI,Lithuania,Youth Olympic Winter Games,Big Air,19,
42,Morauskas Motiejus,Male,20-01-2020,Leysin,SUI,Lithuania,Youth Olympic Winter Games,Slopestyle,17,25.20
43,Morauskas Motiejus,Male,14-12-2019,Beijing,CHN,Lithuania,World Cup,Big Air,30,32.00
44,Morauskas Motiejus,Male,12-12-2019,Beijing,CHN,Lithuania,Qualification,Big Air,14,
45,Morauskas Motiejus,Male,21-11-2019,Landgraaf,NED,Lithuania,European Cup,Slopestyle,36,3.15
46,Morauskas Motiejus,Male,20-11-2019,Landgraaf,NED,Lithuania,FIS,Slopestyle,67,1.66
47,Morauskas Motiejus,Male,13-04-2019,Klaeppen,SWE,Lithuania,FIS Junior World Championships,Big Air,11,57.60
48,Morauskas Motiejus,Male,12-04-2019,Klaeppen,SWE,Lithuania,Qualification,Big Air,5,
49,Morauskas Motiejus,Male,09-04-2019,Klaeppen,SWE,Lithuania,FIS Junior World Championships,Slopestyle,41,4.37
50,Morauskas Motiejus,Male,08-04-2019,Klaeppen,SWE,Lithuania,Qualification,Slopestyle,11,
51,Morauskas Motiejus,Male,19-03-2019,Jasna,SVK,Lithuania,European Cup,Slopestyle,12,35.20
52,Morauskas Motiejus,Male,18-03-2019,Jasna,SVK,Lithuania,European Cup,Slopestyle,4,80.00
53,Morauskas Motiejus,Male,17-03-2019,Pec pod Snezkou,CZE,Lithuania,National Championships,Slopestyle,4,25.00
54,Morauskas Motiejus,Male,16-03-2019,Pec pod Snezkou,CZE,Lithuania,European Cup,Slopestyle,27,7.20
55,Morauskas Motiejus,Male,26-02-2019,Götschen,GER,Lithuania,European Cup,Big Air,DNS1,
56,Morauskas Motiejus,Male,14-02-2019,Bjelasnica,BIH,Lithuania,European Youth Olympic Festival,Big Air,2,40.00
57,Morauskas Motiejus,Male,12-02-2019,Bjelasnica,BIH,Lithuania,European Youth Olympic Festival,Slopestyle,4,25.00
58,Morauskas Motiejus,Male,03-02-2019,Sarajevo,BIH,Lithuania,European Cup,Big Air,6,64.00
59,Morauskas Motiejus,Male,03-02-2019,Sarajevo,BIH,Lithuania,European Cup,Big Air,5,72.00
60,Morauskas Motiejus,Male,26-01-2019,Vars,FRA,Lithuania,European Cup,Big Air,17,25.20
61,Morauskas Motiejus,Male,25-01-2019,Vars,FRA,Lithuania,European Cup,Slopestyle,22,14.40
62,Morauskas Motiejus,Male,22-01-2019,Font Romeu,FRA,Lithuania,European Cup,Big Air,31,4.48
63,Morauskas Motiejus,Male,17-01-2019,Kreischberg,AUT,Lithuania,European Cup,Big Air,25,10.80
64,Morauskas Motiejus,Male,16-01-2019,Kreischberg,AUT,Lithuania,European Cup,Slopestyle,17,22.40
65,Morauskas Motiejus,Male,04-01-2019,Kopaonik,SRB,Lithuania,FIS,Big Air,2,40.00
66,Morauskas Motiejus,Male,03-01-2019,Kopaonik,SRB,Lithuania,FIS,Slopestyle,2,40.00
67,Morauskas Motiejus,Male,22-11-2018,Landgraaf,NED,Lithuania,European Cup,Slopestyle,28,6.40
68,Morauskas Motiejus,Male,21-11-2018,Landgraaf,NED,Lithuania,FIS,Slopestyle,15,17.60
69,Morauskas Motiejus,Male,16-11-2018,Glacier 3000,SUI,Lithuania,FIS,Slopestyle,3,30.00
70,Morauskas Motiejus,Male,03-11-2018,Modena SKIPASS,ITA,Lithuania,World Cup,Big Air,42,17.90
71,Morauskas Motiejus,Male,08-09-2018,Cardrona,NZL,Lithuania,World Cup,Big Air,38,19.10
72,Morauskas Motiejus,Male,06-09-2018,Cardrona,NZL,Lithuania,Qualification,Big Air,21,
73,Morauskas Motiejus,Male,31-08-2018,Cardrona,NZL,Lithuania,FIS Junior World Championships,Slopestyle,23,19.20
74,Morauskas Motiejus,Male,30-08-2018,Cardrona,NZL,Lithuania,Qualification,Slopestyle,14,
75,Morauskas Motiejus,Male,25-08-2018,Cardrona,NZL,Lithuania,FIS Junior World Championships,Big Air,18,31.20
76,Morauskas Motiejus,Male,24-08-2018,Cardrona,NZL,Lithuania,Qualification,Big Air,10,
77,Morauskas Motiejus,Male,21-04-2018,Corvatsch,SUI,Lithuania,European Cup,Big Air,21,36.00
78,Morauskas Motiejus,Male,18-04-2018,Corvatsch,SUI,Lithuania,European Cup,Slopestyle,33,7.68
79,Morauskas Motiejus,Male,23-03-2018,Kühtai,AUT,Lithuania,European Cup,Big Air,6,64.00
80,Morauskas Motiejus,Male,10-03-2018,Pec pod Snezkou,CZE,Lithuania,European Cup,Slopestyle,33,3.84
81,Morauskas Motiejus,Male,03-03-2018,Götschen,GER,Lithuania,European Cup,Big Air,9,46.40
82,Morauskas Motiejus,Male,10-02-2018,Kremnica,SVK,Lithuania,FIS,Big Air,6,48.00
