,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mortila Toma-andrei,Male,02-02-2025,Stara Planina,SRB,Romania,FIS,Giant Slalom,3,30.00
1,Mortila Toma-andrei,Male,02-02-2025,Stara Planina,SRB,Romania,FIS,Giant Slalom,6,20.00
2,Mortila Toma-andrei,Male,01-02-2025,Stara Planina,SRB,Romania,FIS,Slalom,3,30.00
3,Mortila Toma-andrei,Male,01-02-2025,Stara Planina,SRB,Romania,FIS,Slalom,1,50.00
4,Mortila Toma-andrei,Male,16-01-2025,Kopaonik,SRB,Romania,FIS,Slalom,DNS,
5,Mortila Toma-andrei,Male,15-01-2025,Kopaonik,SRB,Romania,FIS,Giant Slalom,DNS,
6,Mortila Toma-andrei,Male,14-12-2024,Cortina d'Ampezzo,ITA,Romania,Qualification,Parallel Giant Slalom,57,
7,Mortila Toma-andrei,Male,14-12-2024,Cortina d'Ampezzo,ITA,Romania,World Cup,Parallel Giant Slalom,57,
8,Mortila Toma-andrei,Male,20-03-2024,Kopaonik,SRB,Romania,FIS,Slalom,1,70.00
9,Mortila Toma-andrei,Male,19-03-2024,Kopaonik,SRB,Romania,FIS,Giant Slalom,2,56.00
10,Mortila Toma-andrei,Male,19-01-2024,Kopaonik,SRB,Romania,FIS,Slalom,1,50.00
11,Mortila Toma-andrei,Male,18-01-2024,Kopaonik,SRB,Romania,FIS,Giant Slalom,1,50.00
12,Mortila Toma-andrei,Male,16-12-2023,Cortina d'Ampezzo,ITA,Romania,Qualification,Parallel Giant Slalom,DNF,
13,Mortila Toma-andrei,Male,16-12-2023,Cortina d'Ampezzo,ITA,Romania,World Cup,Parallel Giant Slalom,DNF,
14,Mortila Toma-andrei,Male,14-12-2023,Carezza,ITA,Romania,Qualification,Parallel Giant Slalom,DNF,
15,Mortila Toma-andrei,Male,14-12-2023,Carezza,ITA,Romania,World Cup,Parallel Giant Slalom,DNF,
16,Mortila Toma-andrei,Male,10-04-2023,Krvavec KD Zakon,SLO,Romania,National Championships,Slalom,5,99.00
17,Mortila Toma-andrei,Male,10-04-2023,Krvavec KD Zakon,SLO,Romania,National Championships,Parallel Giant Slalom,11,52.80
18,Mortila Toma-andrei,Male,30-03-2023,Cortina dAmpezzo,ITA,Romania,National Championships,Parallel Slalom,DNS,
19,Mortila Toma-andrei,Male,27-03-2023,Bansko,BUL,Romania,National Championships,Parallel Giant Slalom,DNS,
20,Mortila Toma-andrei,Male,24-03-2023,Kopaonik,SRB,Romania,FIS,Giant Slalom,1,50.00
21,Mortila Toma-andrei,Male,23-03-2023,Kopaonik,SRB,Romania,National Championships,Slalom,1,50.00
22,Mortila Toma-andrei,Male,22-03-2023,Kopaonik,SRB,Romania,National Championships,Giant Slalom,1,50.00
23,Mortila Toma-andrei,Male,21-03-2023,Kopaonik,SRB,Romania,FIS,Slalom,1,50.00
24,Mortila Toma-andrei,Male,12-02-2023,Seli,GRE,Romania,National Championships,Slalom,3,42.00
25,Mortila Toma-andrei,Male,11-02-2023,Seli,GRE,Romania,National Championships,Giant Slalom,4,35.00
26,Mortila Toma-andrei,Male,11-02-2023,Seli,GRE,Romania,FIS,Giant Slalom,4,35.00
27,Mortila Toma-andrei,Male,09-02-2023,Pamporovo,BUL,Romania,FIS,Parallel Slalom,7,57.60
28,Mortila Toma-andrei,Male,08-02-2023,Popova Sapka,MKD,Romania,FIS,Giant Slalom,2,40.00
29,Mortila Toma-andrei,Male,07-02-2023,Popova Sapka,MKD,Romania,National Championships,Giant Slalom,1,50.00
30,Mortila Toma-andrei,Male,03-02-2023,Kopaonik,SRB,Romania,FIS,Giant Slalom,3,30.00
31,Mortila Toma-andrei,Male,02-02-2023,Kopaonik,SRB,Romania,FIS,Slalom,1,50.00
32,Mortila Toma-andrei,Male,17-12-2022,Cortina d'Ampezzo,ITA,Romania,Qualification,Parallel Giant Slalom,44,
33,Mortila Toma-andrei,Male,17-12-2022,Cortina d'Ampezzo,ITA,Romania,World Cup,Parallel Giant Slalom,44,
34,Mortila Toma-andrei,Male,15-12-2022,Carezza,ITA,Romania,Qualification,Parallel Giant Slalom,48,
35,Mortila Toma-andrei,Male,15-12-2022,Carezza,ITA,Romania,World Cup,Parallel Giant Slalom,48,
36,Mortila Toma-andrei,Male,18-03-2022,Kopaonik,SRB,Romania,FIS,Giant Slalom,1,70.00
37,Mortila Toma-andrei,Male,17-03-2022,Kopaonik,SRB,Romania,FIS,Slalom,1,50.00
38,Mortila Toma-andrei,Male,04-03-2022,Stara Planina,SRB,Romania,National Championships,Giant Slalom,2,56.00
39,Mortila Toma-andrei,Male,03-03-2022,Stara Planina,SRB,Romania,National Championships,Slalom,1,70.00
