,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mozsar Luca,Female,12-04-2025,Isola 2000,FRA,Hungary,FIS Junior World Championships,Snowboard Cross,39,
1,Mozsar Luca,Female,11-04-2025,Isola 2000 ,FRA,Hungary,Qualification,Snowboard Cross,39,
2,Mozsar Luca,Female,23-03-2025,Moena-Passo San Pellegrino,ITA,Hungary,National Championships,Snowboard Cross,DNF,
3,Mozsar Luca,Female,21-03-2025,Moena-Passo San Pellegrino,ITA,Hungary,Junior,Snowboard Cross,33,3.60
4,Mozsar Luca,Female,23-02-2025,Sipark Matraszentistvan,HUN,Hungary,National Championships,Slopestyle,7,
5,Mozsar Luca,Female,22-02-2025,Sipark Matraszentistvan,HUN,Hungary,Junior,Slopestyle,6,9.80
6,Mozsar Luca,Female,09-02-2025,Dolni Morava,CZE,Hungary,FIS,Snowboard Cross,16,24.00
7,Mozsar Luca,Female,08-02-2025,Dolni Morava,CZE,Hungary,National Championships,Snowboard Cross,18,20.80
8,Mozsar Luca,Female,02-02-2025,Reiteralm,AUT,Hungary,Junior,Snowboard Cross,27,5.40
9,Mozsar Luca,Female,01-02-2025,Reiteralm,AUT,Hungary,Junior,Snowboard Cross,28,4.80
10,Mozsar Luca,Female,01-12-2024,Pitztal,AUT,Hungary,Junior,Snowboard Cross,31,6.16
11,Mozsar Luca,Female,30-11-2024,Pitztal,AUT,Hungary,Junior,Snowboard Cross,37,
12,Mozsar Luca,Female,30-11-2024,Pitztal,AUT,Hungary,Qualification,Snowboard Cross,37,
