,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Nagasawa Sei,Male,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,7,
1,Nagasawa Sei,Male,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,8,57.60
2,Nagasawa Sei,Male,01-03-2024,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,7,64.80
3,Nagasawa Sei,Male,05-03-2023,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,10,28.60
4,Nagasawa Sei,Male,04-03-2023,Akan,JPN,Japan,FIS,Parallel Giant Slalom,5,49.50
5,Nagasawa Sei,Male,06-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Slalom,6,28.00
6,Nagasawa Sei,Male,05-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,9,20.30
7,Nagasawa Sei,Male,25-02-2022,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,6,36.00
8,Nagasawa Sei,Male,24-02-2022,Akan,JPN,Japan,FIS,Parallel Giant Slalom,7,32.40
9,Nagasawa Sei,Male,20-03-2021,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,6,28.00
10,Nagasawa Sei,Male,07-02-2021,Sapporo Bankei,JPN,Japan,FIS,Giant Slalom,7,25.20
11,Nagasawa Sei,Male,02-02-2020,Sapporo Bankei,JPN,Japan,FIS,Giant Slalom,3,30.00
12,Nagasawa Sei,Male,19-12-2019,Mountain Tumannaya,RUS,Japan,FIS,Parallel Giant Slalom,10,13.00
13,Nagasawa Sei,Male,17-03-2019,Tazawako,JPN,Japan,FIS,Giant Slalom,4,25.00
14,Nagasawa Sei,Male,03-03-2019,Kurikoma Akiata,JPN,Japan,National Championships,Parallel Giant Slalom,11,21.60
15,Nagasawa Sei,Male,02-03-2019,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,10,13.00
