,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Nakane Toru,Male,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,28,
1,Nakane Toru,Male,04-03-2023,Akan,JPN,Japan,FIS,Parallel Giant Slalom,27,4.95
2,Nakane Toru,Male,06-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Slalom,DNS,
3,Nakane Toru,Male,05-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,24,
4,Nakane Toru,Male,24-02-2022,Akan,JPN,Japan,FIS,Parallel Giant Slalom,29,
5,Nakane Toru,Male,20-03-2021,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,29,
6,Nakane Toru,Male,17-03-2019,Tazawako,JPN,Japan,FIS,Giant Slalom,12,11.00
7,Nakane Toru,Male,03-03-2019,Kurikoma Akiata,JPN,Japan,National Championships,Parallel Giant Slalom,20,
8,Nakane Toru,Male,19-03-2018,Kurikoma Akiata,JPN,Japan,FIS,Parallel GS,26,
9,Nakane Toru,Male,18-03-2018,Kurikoma Akiata,JPN,Japan,National Championships,Parallel GS,24,
10,Nakane Toru,Male,26-03-2017,Sapporo,JPN,Japan,National Championships,Parallel GS,23,
11,Nakane Toru,Male,02-03-2017,Katashina/Tokura,JPN,Japan,FIS,Slalom,8,16.00
12,Nakane Toru,Male,01-03-2017,Katashina/Tokura,JPN,Japan,FIS,Giant Slalom,6,20.00
