,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Naskova Jana,Female,09-02-2020,Parnassos,GRE,North Macedonia,National Championships,Slalom,DNF1,
1,Naskova Jana,Female,08-02-2020,Parnassos,GRE,North Macedonia,National Championships,Giant Slalom,4,25.00
2,Naskova Jana,Female,04-03-2019,Mavrovo,MKD,North Macedonia,FIS,Giant Slalom,3,30.00
3,Naskova Jana,Female,03-03-2019,Mavrovo,MKD,North Macedonia,National Championships,Parallel Giant Slalom,4,25.00
4,Naskova Jana,Female,02-03-2019,Mavrovo,MKD,North Macedonia,FIS,Slopestyle,4,25.00
5,Naskova Jana,Female,01-03-2019,Mavrovo,MKD,North Macedonia,National Championships,Slopestyle,3,30.00
6,Naskova Jana,Female,06-01-2019,Kopaonik,SRB,North Macedonia,FIS,Parallel Giant Slalom,5,22.50
7,Naskova Jana,Female,05-01-2019,Kopaonik,SRB,North Macedonia,FIS,Parallel Giant Slalom,7,18.00
8,Naskova Jana,Female,04-01-2019,Kopaonik,SRB,North Macedonia,FIS,Big Air,4,25.00
9,Naskova Jana,Female,03-01-2019,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,6,20.00
10,Naskova Jana,Female,04-03-2018,Mavrovo,MKD,North Macedonia,FIS,Giant Slalom,3,30.00
11,Naskova Jana,Female,03-03-2018,Mavrovo,MKD,North Macedonia,National Championships,Giant Slalom,2,40.00
12,Naskova Jana,Female,02-03-2018,Mavrovo,MKD,North Macedonia,National Championships,Slopestyle,3,30.00
13,Naskova Jana,Female,01-03-2018,Mavrovo,MKD,North Macedonia,National Championships,Big Air,4,25.00
14,Naskova Jana,Female,21-03-2017,Kopaonik,SRB,North Macedonia,National Championships,Slalom,DNS1,
15,Naskova Jana,Female,20-03-2017,Kopaonik,SRB,North Macedonia,National Championships,Giant Slalom,6,20.00
16,Naskova Jana,Female,19-03-2017,Kopaonik,SRB,North Macedonia,National Championships,Big Air,5,22.50
17,Naskova Jana,Female,18-03-2017,Kopaonik,SRB,North Macedonia,National Championships,Slopestyle,3,30.00
