,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Nawrocki Jakub,Male,26-02-2025,Bialka Tatrzanska,POL,Poland,National Championships,Slopestyle,7,
1,Nawrocki Jakub,Male,26-02-2025,Bialka Tatrzanska,POL,Poland,National Championships,Big Air,12,
2,Nawrocki Jakub,Male,16-02-2025,Biatka Tatrzanska,POL,Poland,FIS,Slopestyle,6,16.50
3,Nawrocki Jakub,Male,15-02-2025,Biatka Tatrzanska,POL,Poland,FIS,Big Air,5,20.90
4,Nawrocki Jakub,Male,26-01-2025,Gubalowka,POL,Poland,FIS,Big Air,8,10.70
5,Nawrocki Jakub,Male,25-01-2025,Gubalowka,POL,Poland,FIS,Slopestyle,13,1.60
6,Nawrocki Jakub,Male,19-01-2025,Schladming Planai,AUT,Poland,Junior,Slopestyle,4,2.20
7,Nawrocki Jakub,Male,17-02-2024,Kotelnica Balczanskaia,POL,Poland,National Championships,Big Air,9,6.80
8,Nawrocki Jakub,Male,02-02-2024,Gubalowka,POL,Poland,FIS,Big Air,8,11.60
9,Nawrocki Jakub,Male,01-02-2024,Gubalowka,POL,Poland,FIS,Slopestyle,11,4.90
10,Nawrocki Jakub,Male,19-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Big Air,10,4.40
11,Nawrocki Jakub,Male,18-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Slopestyle,8,8.20
12,Nawrocki Jakub,Male,11-02-2023,Kotelnica Bialczanska,POL,Poland,FIS,Big Air,7,11.60
