,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Neva Flurina,Female,16-03-2025,Winterberg,GER,Switzerland,World Cup,Parallel Slalom Team,12,
1,Neva Flurina,Female,16-03-2025,Winterberg,GER,Switzerland,Qualification,Parallel Slalom Team,12,
2,Neva Flurina,Female,15-03-2025,Winterberg,GER,Switzerland,Qualification,Parallel Slalom,14,
3,Neva Flurina,Female,15-03-2025,Winterberg,GER,Switzerland,World Cup,Parallel Slalom,14,
4,Neva Flurina,Female,02-03-2025,Krynica,POL,Switzerland,Qualification,Parallel Giant Slalom,31,
5,Neva Flurina,Female,02-03-2025,Krynica,POL,Switzerland,World Cup,Parallel Giant Slalom,31,28.00
6,Neva Flurina,Female,01-03-2025,Krynica,POL,Switzerland,Qualification,Parallel Giant Slalom,DNF,
7,Neva Flurina,Female,01-03-2025,Krynica,POL,Switzerland,World Cup,Parallel Giant Slalom,DNF,
8,Neva Flurina,Female,23-02-2025,Lenzerheide,SUI,Switzerland,National Championships,Giant Slalom,DNF,
9,Neva Flurina,Female,22-02-2025,Lenzerheide,SUI,Switzerland,National Championships,Parallel Slalom,5,130.50
10,Neva Flurina,Female,16-02-2025,Val St. Come,CAN,Switzerland,Qualification,Parallel Giant Slalom,12,
11,Neva Flurina,Female,16-02-2025,Val St. Come,CAN,Switzerland,World Cup,Parallel Giant Slalom,13,200.00
12,Neva Flurina,Female,15-02-2025,Val St. Come,CAN,Switzerland,Qualification,Parallel Giant Slalom,15,
13,Neva Flurina,Female,15-02-2025,Val St. Come,CAN,Switzerland,World Cup,Parallel Giant Slalom,15,160.00
14,Neva Flurina,Female,26-01-2025,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,6,144.00
15,Neva Flurina,Female,25-01-2025,Rogla,SLO,Switzerland,Qualification,Parallel Giant Slalom,10,
16,Neva Flurina,Female,25-01-2025,Rogla,SLO,Switzerland,World Cup,Parallel Giant Slalom,11,240.00
17,Neva Flurina,Female,19-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,DNF,
18,Neva Flurina,Female,19-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,DNF,
19,Neva Flurina,Female,18-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,36,
20,Neva Flurina,Female,18-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,36,19.70
21,Neva Flurina,Female,15-01-2025,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom Team,3,
22,Neva Flurina,Female,14-01-2025,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,7,
23,Neva Flurina,Female,14-01-2025,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,4,500.00
24,Neva Flurina,Female,11-01-2025,Scuol,SUI,Switzerland,Qualification,Parallel Giant Slalom,10,
25,Neva Flurina,Female,11-01-2025,Scuol,SUI,Switzerland,World Cup,Parallel Giant Slalom,7,360.00
26,Neva Flurina,Female,21-12-2024,Davos,SUI,Switzerland,Qualification,Parallel Slalom,14,
27,Neva Flurina,Female,21-12-2024,Davos,SUI,Switzerland,World Cup,Parallel Slalom,3,600.00
28,Neva Flurina,Female,14-12-2024,Cortina d'Ampezzo,ITA,Switzerland,Qualification,Parallel Giant Slalom,23,
29,Neva Flurina,Female,14-12-2024,Cortina d'Ampezzo,ITA,Switzerland,World Cup,Parallel Giant Slalom,23,80.00
30,Neva Flurina,Female,12-12-2024,Carezza,ITA,Switzerland,Qualification,Parallel Giant Slalom,18,
31,Neva Flurina,Female,12-12-2024,Carezza,ITA,Switzerland,World Cup,Parallel Giant Slalom,18,130.00
32,Neva Flurina,Female,08-12-2024,Yanqing (NASC),CHN,Switzerland,World Cup,Parallel Slalom,4,500.00
33,Neva Flurina,Female,08-12-2024,Yanqing (NASC),CHN,Switzerland,Qualification,Parallel Slalom,4,
34,Neva Flurina,Female,07-12-2024,Yanqing (NASC),CHN,Switzerland,World Cup,Parallel Giant Slalom,16,150.00
35,Neva Flurina,Female,07-12-2024,Yanqing (NASC),CHN,Switzerland,Qualification,Parallel Giant Slalom,16,
36,Neva Flurina,Female,01-12-2024,Mylin,CHN,Switzerland,World Cup,Parallel Slalom,14,180.00
37,Neva Flurina,Female,01-12-2024,Mylin,CHN,Switzerland,Qualification,Parallel Slalom,14,
38,Neva Flurina,Female,30-11-2024,Mylin,CHN,Switzerland,World Cup,Parallel Giant Slalom,26,50.00
39,Neva Flurina,Female,30-11-2024,Mylin,CHN,Switzerland,Qualification,Parallel Giant Slalom,26,
40,Neva Flurina,Female,07-04-2024,Samnaun,SUI,Switzerland,National Championships,Giant Slalom,5,130.50
41,Neva Flurina,Female,06-04-2024,Samnaun,SUI,Switzerland,National Championships,Parallel Slalom,3,174.00
42,Neva Flurina,Female,17-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Slalom,DSQ,
43,Neva Flurina,Female,16-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Giant Slalom,34,7.92
44,Neva Flurina,Female,13-03-2024,Davos/Rinerhorn ,SUI,Switzerland,European Cup,Parallel Giant Slalom,2,192.00
45,Neva Flurina,Female,12-03-2024,Davos/Rinerhorn ,SUI,Switzerland,European Cup,Parallel Giant Slalom,10,93.60
46,Neva Flurina,Female,10-03-2024,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,9,69.60
47,Neva Flurina,Female,09-03-2024,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,2,192.00
48,Neva Flurina,Female,10-02-2024,Hochficht/Zwiesel,AUT,Switzerland,National Championships,Parallel Slalom,7,104.40
49,Neva Flurina,Female,09-02-2024,Hochficht/Zwiesel,AUT,Switzerland,National Championships,Parallel Giant Slalom,13,58.00
50,Neva Flurina,Female,24-01-2024,Pamporovo,BUL,Switzerland,European Cup,Parallel Slalom,1,290.00
51,Neva Flurina,Female,23-01-2024,Pamporovo,BUL,Switzerland,European Cup,Parallel Slalom,19,34.80
52,Neva Flurina,Female,21-01-2024,Pamporovo,BUL,Switzerland,Qualification,Parallel Slalom,31,
53,Neva Flurina,Female,21-01-2024,Pamporovo,BUL,Switzerland,World Cup,Parallel Slalom,31,
54,Neva Flurina,Female,20-01-2024,Pamporovo,BUL,Switzerland,Qualification,Parallel Slalom,36,
55,Neva Flurina,Female,20-01-2024,Pamporovo,BUL,Switzerland,World Cup,Parallel Slalom,36,
56,Neva Flurina,Female,16-01-2024,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,31,
57,Neva Flurina,Female,16-01-2024,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,31,28.00
58,Neva Flurina,Female,13-01-2024,Scuol,SUI,Switzerland,Qualification,Parallel Giant Slalom,24,
59,Neva Flurina,Female,13-01-2024,Scuol,SUI,Switzerland,World Cup,Parallel Giant Slalom,24,70.00
60,Neva Flurina,Female,12-01-2024,Folgaria,ITA,Switzerland,Qualification,Parallel Slalom,1,
61,Neva Flurina,Female,12-01-2024,Folgaria,ITA,Switzerland,European Cup,Parallel Slalom,9,69.60
62,Neva Flurina,Female,11-01-2024,Folgaria,ITA,Switzerland,Qualification,Parallel Slalom,12,
63,Neva Flurina,Female,11-01-2024,Folgaria,ITA,Switzerland,European Cup,Parallel Slalom,13,58.00
64,Neva Flurina,Female,23-12-2023,Davos ,SUI,Switzerland,Qualification,Parallel Slalom,18,
65,Neva Flurina,Female,23-12-2023,Davos,SUI,Switzerland,World Cup,Parallel Slalom,18,130.00
66,Neva Flurina,Female,20-12-2023,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,29,9.36
67,Neva Flurina,Female,19-12-2023,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,2,208.00
68,Neva Flurina,Female,09-12-2023,Götschen,GER,Switzerland,Qualification,Parallel Slalom,11,
69,Neva Flurina,Female,09-12-2023,Götschen,GER,Switzerland,European Cup,Parallel Slalom,14,64.80
70,Neva Flurina,Female,08-12-2023,Götschen,GER,Switzerland,Qualification,Parallel Slalom,11,
71,Neva Flurina,Female,08-12-2023,Götschen,GER,Switzerland,European Cup,Parallel Slalom,4,180.00
72,Neva Flurina,Female,26-03-2023,Bansko,BUL,Switzerland,FIS Junior World Championships,Parallel Team,2,
73,Neva Flurina,Female,25-03-2023,Bansko,BUL,Switzerland,FIS Junior World Championships,Parallel Slalom,9,104.40
74,Neva Flurina,Female,25-03-2023,Bansko,BUL,Switzerland,Qualification,Parallel Slalom,1,
75,Neva Flurina,Female,24-03-2023,Bansko,BUL,Switzerland,FIS Junior World Championships,Parallel Giant Slalom,4,180.00
76,Neva Flurina,Female,24-03-2023,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,3,
77,Neva Flurina,Female,19-03-2023,Ratschings,ITA,Switzerland,European Cup,Parallel Slalom,2,208.00
78,Neva Flurina,Female,18-03-2023,Ratschings,ITA,Switzerland,European Cup,Parallel Slalom,6,104.00
79,Neva Flurina,Female,12-03-2023,Davos,SUI,Switzerland,European Cup,Parallel Slalom,6,104.00
80,Neva Flurina,Female,11-03-2023,Davos,SUI,Switzerland,European Cup,Parallel Slalom,2,288.00
81,Neva Flurina,Female,05-03-2023,Zakopane,POL,Switzerland,European Cup,Parallel Giant Slalom,10,75.40
82,Neva Flurina,Female,04-03-2023,Zakopane,POL,Switzerland,European Cup,Parallel Giant Slalom,11,86.40
83,Neva Flurina,Female,26-02-2023,Simonhoehe,AUT,Switzerland,Junior,Parallel Giant Slalom,DNS,
84,Neva Flurina,Female,25-02-2023,Simonhoehe,AUT,Switzerland,Junior,Parallel Giant Slalom,7,64.80
85,Neva Flurina,Female,12-02-2023,Funes - Vilnoess,ITA,Switzerland,FIS,Parallel Giant Slalom,1,200.00
86,Neva Flurina,Female,11-02-2023,Funes - Vilnoess,ITA,Switzerland,FIS,Parallel Giant Slalom,10,52.00
87,Neva Flurina,Female,05-02-2023,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,3,132.00
88,Neva Flurina,Female,29-01-2023,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,11,57.60
89,Neva Flurina,Female,29-01-2023,Simonhöhe,AUT,Switzerland,Qualification,Parallel Giant Slalom,11,
90,Neva Flurina,Female,28-01-2023,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,6,96.00
91,Neva Flurina,Female,28-01-2023,Simonhöhe,AUT,Switzerland,Qualification,Parallel Giant Slalom,6,
92,Neva Flurina,Female,22-01-2023,Gore Mountain,USA,Switzerland,Universiade,Parallel Slalom,2,144.00
93,Neva Flurina,Female,22-01-2023,Gore Mountain,USA,Switzerland,Qualification,Parallel Slalom,2,
94,Neva Flurina,Female,21-01-2023,Gore Mountain,USA,Switzerland,Universiade,Parallel Giant Slalom,3,108.00
95,Neva Flurina,Female,21-01-2023,Gore Mountain,USA,Switzerland,Qualification,Parallel Giant Slalom,6,
96,Neva Flurina,Female,15-01-2023,Alleghe,ITA,Switzerland,European Cup,Parallel Slalom,23,17.60
97,Neva Flurina,Female,15-01-2023,Alleghe,ITA,Switzerland,Qualification,Parallel Slalom,23,
98,Neva Flurina,Female,14-01-2023,Alleghe,ITA,Switzerland,European Cup,Parallel Slalom,3,120.00
99,Neva Flurina,Female,14-01-2023,Alleghe,ITA,Switzerland,Qualification,Parallel Slalom,1,
100,Neva Flurina,Female,10-01-2023,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,9,
101,Neva Flurina,Female,10-01-2023,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,11,240.00
102,Neva Flurina,Female,18-12-2022,Hochfügen,GER,Switzerland,European Cup,Parallel Giant Slalom,6,80.00
103,Neva Flurina,Female,18-12-2022,Hochfügen,GER,Switzerland,Qualification,Parallel Giant Slalom,4,
104,Neva Flurina,Female,17-12-2022,Hochfügen,GER,Switzerland,European Cup,Parallel Giant Slalom,5,90.00
105,Neva Flurina,Female,11-12-2022,Winterberg,GER,Switzerland,World Cup,Parallel Slalom,26,50.00
106,Neva Flurina,Female,10-12-2022,Winterberg,GER,Switzerland,Qualification,Parallel Slalom,26,
107,Neva Flurina,Female,01-04-2022,Chiesa in Valmalenco,ITA,Switzerland,FIS Junior World Championships,Parallel Slalom,9,104.40
108,Neva Flurina,Female,31-03-2022,Chiesa in Valmalenco,ITA,Switzerland,FIS Junior World Championships,Parallel Giant Slalom,3,216.00
109,Neva Flurina,Female,19-03-2022,Berchtesgaden,GER,Switzerland,Qualification,Parallel Slalom,DSQ,
110,Neva Flurina,Female,19-03-2022,Berchtesgaden,GER,Switzerland,World Cup,Parallel Slalom,DSQ,
111,Neva Flurina,Female,17-03-2022,Rogla,SLO,Switzerland,European Cup,Parallel Giant Slalom,7,129.60
112,Neva Flurina,Female,16-03-2022,Rogla,SLO,Switzerland,Qualification,Parallel Giant Slalom,26,
113,Neva Flurina,Female,16-03-2022,Rogla,SLO,Switzerland,World Cup,Parallel Giant Slalom,26,50.00
114,Neva Flurina,Female,06-03-2022,Lachtal,AUT,Switzerland,European Cup,Parallel Giant Slalom,4,180.00
115,Neva Flurina,Female,05-03-2022,Lachtal,AUT,Switzerland,European Cup,Parallel Giant Slalom,13,72.00
116,Neva Flurina,Female,20-02-2022,Bakuriani,GEO,Switzerland,European Cup,Parallel Giant Slalom,12,79.20
117,Neva Flurina,Female,19-02-2022,Bakuriani,GEO,Switzerland,European Cup,Parallel Giant Slalom,11,86.40
118,Neva Flurina,Female,06-02-2022,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,9,75.40
119,Neva Flurina,Female,05-02-2022,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,7,93.60
120,Neva Flurina,Female,30-01-2022,Davos,SUI,Switzerland,European Cup,Parallel Slalom,16,36.00
121,Neva Flurina,Female,29-01-2022,Davos,SUI,Switzerland,European Cup,Parallel Slalom,16,36.00
122,Neva Flurina,Female,23-01-2022,Bukovel,UKR,Switzerland,European Cup,Parallel Giant Slalom,3,156.00
123,Neva Flurina,Female,22-01-2022,Bukovel,UKR,Switzerland,European Cup,Parallel Giant Slalom,31,7.28
124,Neva Flurina,Female,14-01-2022,Simonhöhe,AUT,Switzerland,World Cup,Parallel Giant Slalom,37,19.40
125,Neva Flurina,Female,14-01-2022,Simonhöhe,AUT,Switzerland,Qualification,Parallel Giant Slalom,37,
126,Neva Flurina,Female,11-01-2022,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,34,
127,Neva Flurina,Female,11-01-2022,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,34,22.00
128,Neva Flurina,Female,08-01-2022,Scuol,SUI,Switzerland,Qualification,Parallel Giant Slalom,49,
129,Neva Flurina,Female,08-01-2022,Scuol,SUI,Switzerland,World Cup,Parallel Giant Slalom,49,
130,Neva Flurina,Female,19-12-2021,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,8,64.00
131,Neva Flurina,Female,18-12-2021,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,3,120.00
132,Neva Flurina,Female,12-12-2021,Götschen,GER,Switzerland,European Cup,Parallel Slalom,7,72.00
133,Neva Flurina,Female,11-12-2021,Götschen,GER,Switzerland,European Cup,Parallel Slalom,34,4.40
134,Neva Flurina,Female,26-03-2021,Krasnoyarsk ,RUS,Switzerland,FIS Junior World Championships,Parallel Slalom,3,216.00
135,Neva Flurina,Female,25-03-2021,Krasnoyarsk ,RUS,Switzerland,FIS Junior World Championships,Parallel Giant Slalom,12,79.20
136,Neva Flurina,Female,25-03-2021,Krasnoyarsk ,RUS,Switzerland,Qualification,Parallel Giant Slalom,12,
137,Neva Flurina,Female,20-03-2021,Pizol,SUI,Switzerland,Junior,Parallel Slalom,DSQ,
138,Neva Flurina,Female,13-03-2021,Davos Rinerhorn,SUI,Switzerland,European Cup,Parallel Giant Slalom,46,
139,Neva Flurina,Female,07-03-2021,Simonhöhe,AUT,Switzerland,Junior,Parallel Giant Slalom,11,43.20
140,Neva Flurina,Female,06-03-2021,Simonhöhe,AUT,Switzerland,Junior,Parallel Giant Slalom,DSQ,
141,Neva Flurina,Female,28-02-2021,Funes/Villnoesses,ITA,Switzerland,European Cup,Parallel Giant Slalom,11,43.20
