,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Nigro Alessandro,Male,02-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,4,
1,Nigro Alessandro,Male,01-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,14,9.00
2,Nigro Alessandro,Male,25-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,15,8.00
3,Nigro Alessandro,Male,24-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,27,2.25
4,Nigro Alessandro,Male,01-12-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,54,1.72
5,Nigro Alessandro,Male,30-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,55,
6,Nigro Alessandro,Male,30-11-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,55,1.68
7,Nigro Alessandro,Male,09-03-2024,Colere,ITA,Italy,FIS,Snowboard Cross,8,16.00
8,Nigro Alessandro,Male,17-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,65,
9,Nigro Alessandro,Male,16-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,66,
10,Nigro Alessandro,Male,04-02-2024,Colere,ITA,Italy,Junior,Snowboard Cross,6,20.00
11,Nigro Alessandro,Male,03-02-2024,Colere,ITA,Italy,Junior,Snowboard Cross,17,7.00
12,Nigro Alessandro,Male,28-01-2024,Grasgehren,GER,Italy,Junior,Snowboard Cross,16,16.50
13,Nigro Alessandro,Male,27-01-2024,Grasgehren,GER,Italy,Junior,Snowboard Cross,6,20.00
14,Nigro Alessandro,Male,03-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Junior Championships,Snowboard Cross,22,11.70
15,Nigro Alessandro,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,35,5.80
16,Nigro Alessandro,Male,19-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,48,2.90
17,Nigro Alessandro,Male,18-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,56,2.47
18,Nigro Alessandro,Male,08-02-2023,Cervinia,ITA,Italy,Junior,Snowboard Cross,25,7.80
19,Nigro Alessandro,Male,07-02-2023,Cervinia,ITA,Italy,Junior,Snowboard Cross,17,18.20
20,Nigro Alessandro,Male,14-01-2023,Lenk,SUI,Italy,FIS,Snowboard Cross,50,
