,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Odine Meryeta,Female,02-02-2025,Beidahu,CHN,Canada,World Cup,Snowboard Cross,19,
1,Odine Meryeta,Female,02-02-2025,Beidahu,CHN,Canada,Qualification,Snowboard Cross,19,
2,Odine Meryeta,Female,01-02-2025,Beidahu,CHN,Canada,World Cup,Snowboard Cross,19,
3,Odine Meryeta,Female,31-01-2025,Beidahu,CHN,Canada,Qualification,Snowboard Cross,19,
4,Odine Meryeta,Female,14-12-2024,Cervinia,ITA,Canada,World Cup,Snowboard Cross,DNF2,
5,Odine Meryeta,Female,13-12-2024,Cervinia,ITA,Canada,Qualification,Snowboard Cross,DNF2,
6,Odine Meryeta,Female,27-11-2024,Pitztal,AUT,Canada,European Cup,Snowboard Cross,DSQ,
7,Odine Meryeta,Female,27-11-2024,Pitztal,AUT,Canada,Qualification,Snowboard Cross,DSQ,
8,Odine Meryeta,Female,24-03-2024,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,19,
9,Odine Meryeta,Female,23-03-2024,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,17,140.00
10,Odine Meryeta,Female,22-03-2024,Mt. St. Anne,CAN,Canada,Qualification,Snowboard Cross,17,
11,Odine Meryeta,Female,17-03-2024,Montafon,AUT,Canada,World Cup,Snowboard Cross,15,160.00
12,Odine Meryeta,Female,16-03-2024,Montafon,AUT,Canada,World Cup,Snowboard Cross,10,260.00
13,Odine Meryeta,Female,15-03-2024,Montafon,AUT,Canada,Qualification,Snowboard Cross,6,
14,Odine Meryeta,Female,09-03-2024,Cortina d'Ampezzo,ITA,Canada,World Cup,Snowboard Cross,11,240.00
15,Odine Meryeta,Female,08-03-2024,Cortina d'Ampezzo,ITA,Canada,Qualification,Snowboard Cross,12,
16,Odine Meryeta,Female,03-03-2024,Sierra Nevada,ESP,Canada,World Cup,Snowboard Cross,14,180.00
17,Odine Meryeta,Female,02-03-2024,Sierra Nevada,ESP,Canada,World Cup,Snowboard Cross,17,140.00
18,Odine Meryeta,Female,01-03-2024,Sierra Nevada,ESP,Canada,Qualification,Snowboard Cross,17,
19,Odine Meryeta,Female,04-02-2024,Gudauri,GEO,Canada,World Cup,Snowboard Cross,18,130.00
20,Odine Meryeta,Female,03-02-2024,Gudauri,GEO,Canada,World Cup,Snowboard Cross,17,140.00
21,Odine Meryeta,Female,02-02-2024,Gudauri,GEO,Canada,Qualification,Snowboard Cross,17,
22,Odine Meryeta,Female,26-01-2024,St. Moritz,SUI,Canada,World Cup,Snowboard Cross,14,180.00
23,Odine Meryeta,Female,25-01-2024,St. Moritz,SUI,Canada,Qualification,Snowboard Cross,15,
24,Odine Meryeta,Female,17-12-2023,Cervinia,ITA,Canada,World Cup,Snowboard Cross Team,14,
25,Odine Meryeta,Female,16-12-2023,Cervinia,ITA,Canada,World Cup,Snowboard Cross,17,140.00
26,Odine Meryeta,Female,03-12-2023,Les Deux Alpes,FRA,Canada,Qualification,Snowboard Cross,14,
27,Odine Meryeta,Female,03-12-2023,Les Deux Alpes,FRA,Canada,World Cup,Snowboard Cross,8,320.00
28,Odine Meryeta,Female,02-12-2023,Les Deux Alpes,FRA,Canada,World Cup,Snowboard Cross Team,14,
29,Odine Meryeta,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,3,132.00
30,Odine Meryeta,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,4,110.00
31,Odine Meryeta,Female,20-03-2022,Veysonnaz,SUI,Canada,World Cup,Snowboard Cross,8,320.00
32,Odine Meryeta,Female,12-03-2022,Reiteralm,AUT,Canada,World Cup,Snowboard Cross,DNS,
33,Odine Meryeta,Female,10-03-2022,Reiteralm,AUT,Canada,Qualification,Snowboard Cross,DNS,
34,Odine Meryeta,Female,12-02-2022,Beijing,CHN,Canada,Olympic Winter Games,Snowboard Cross Team,3,
35,Odine Meryeta,Female,09-02-2022,Beijing,CHN,Canada,Qualification,Snowboard Cross,3,
36,Odine Meryeta,Female,09-02-2022,Beijing,CHN,Canada,Olympic Winter Games,Snowboard Cross,3,600.00
37,Odine Meryeta,Female,29-01-2022,Cortina d'Ampezzo,ITA,Canada,Qualification,Snowboard Cross,8,
38,Odine Meryeta,Female,29-01-2022,Cortina d'Ampezzo,ITA,Canada,World Cup,Snowboard Cross,10,260.00
39,Odine Meryeta,Female,09-01-2022,Krasnoyarsk,RUS,Canada,World Cup,Snowboard Cross,25,60.00
40,Odine Meryeta,Female,08-01-2022,Krasnoyarsk,RUS,Canada,World Cup,Snowboard Cross,19,120.00
41,Odine Meryeta,Female,07-01-2022,Krasnoyarsk,RUS,Canada,Qualification,Snowboard Cross,19,
42,Odine Meryeta,Female,18-12-2021,Cervinia,ITA,Canada,World Cup,Snowboard Cross,19,120.00
43,Odine Meryeta,Female,17-12-2021,Cervinia,ITA,Canada,Qualification,Snowboard Cross,19,
44,Odine Meryeta,Female,11-12-2021,Montafon,AUT,Canada,World Cup,Snowboard Cross Team,5,
45,Odine Meryeta,Female,10-12-2021,Montafon,AUT,Canada,World Cup,Snowboard Cross,4,500.00
46,Odine Meryeta,Female,09-12-2021,Montafon,AUT,Canada,Qualification,Snowboard Cross,3,
47,Odine Meryeta,Female,28-11-2021,Secret Garden,CHN,Canada,World Cup,Snowboard Cross,17,140.00
48,Odine Meryeta,Female,26-11-2021,Secret Garden,CHN,Canada,Qualification,Snowboard Cross,17,
49,Odine Meryeta,Female,05-03-2021,Bakuriani,GEO,Canada,World Cup,Snowboard Cross,17,140.00
50,Odine Meryeta,Female,04-03-2021,Bakuriani,GEO,Canada,World Cup,Snowboard Cross,17,140.00
51,Odine Meryeta,Female,03-03-2021,Bakuriani,GEO,Canada,Qualification,Snowboard Cross,17,
52,Odine Meryeta,Female,18-02-2021,Reiteralm,AUT,Canada,World Cup,Snowboard Cross,DNF,
53,Odine Meryeta,Female,16-02-2021,Reiteralm,AUT,Canada,Qualification,Snowboard Cross,DNF,
54,Odine Meryeta,Female,12-02-2021,Idre Fjäll,SWE,Canada,World Championships,Snowboard Cross Team,13,
55,Odine Meryeta,Female,11-02-2021,Idre Fjäll,SWE,Canada,World Championships,Snowboard Cross,14,180.00
56,Odine Meryeta,Female,09-02-2021,Idre Fjäll,SWE,Canada,Qualification,Snowboard Cross,4,
57,Odine Meryeta,Female,24-01-2021,Chiesa in Valmalenco,ITA,Canada,World Cup,Snowboard Cross,17,140.00
58,Odine Meryeta,Female,23-01-2021,Chiesa in Valmalenco,ITA,Canada,World Cup,Snowboard Cross,17,140.00
59,Odine Meryeta,Female,22-01-2021,Chiesa in Valmalenco,ITA,Canada,Qualification,Snowboard Cross,17,
60,Odine Meryeta,Female,26-01-2020,Big White,CAN,Canada,World Cup,Snowboard Cross,10,260.00
61,Odine Meryeta,Female,25-01-2020,Big White,CAN,Canada,World Cup,Snowboard Cross,10,260.00
62,Odine Meryeta,Female,24-01-2020,Big White,CAN,Canada,Qualification,Snowboard Cross,8,
63,Odine Meryeta,Female,21-12-2019,Cervinia,ITA,Canada,World Cup,Snowboard Cross,9,290.00
64,Odine Meryeta,Female,13-12-2019,Montafon,AUT,Canada,World Cup,Snowboard Cross,17,140.00
65,Odine Meryeta,Female,12-12-2019,Montafon,AUT,Canada,Qualification,Snowboard Cross,17,
66,Odine Meryeta,Female,30-11-2019,Pyhatunturi,FIN,Canada,FIS,Snowboard Cross,9,63.80
67,Odine Meryeta,Female,02-03-2019,Baqueira Beret,ESP,Canada,World Cup,Snowboard Cross,DNS,
68,Odine Meryeta,Female,01-03-2019,Baqueira Beret,ESP,Canada,Qualification,Snowboard Cross,DNS,
69,Odine Meryeta,Female,09-02-2019,Feldberg,GER,Canada,World Cup,Snowboard Cross,7,360.00
70,Odine Meryeta,Female,08-02-2019,Feldberg,GER,Canada,Qualification,Snowboard Cross,13,
71,Odine Meryeta,Female,03-02-2019,Solitude,USA,Canada,World Championships,Snowboard Cross Team,10,
72,Odine Meryeta,Female,01-02-2019,Solitude,USA,Canada,World Championships,Snowboard Cross,13,200.00
73,Odine Meryeta,Female,31-01-2019,Solitude,USA,Canada,Qualification,Snowboard Cross,8,
74,Odine Meryeta,Female,09-01-2019,"Panorama, BC",CAN,Canada,Nor-Am Cup,Snowboard Cross,2,232.00
75,Odine Meryeta,Female,08-01-2019,"Panorama, BC",CAN,Canada,Nor-Am Cup,Snowboard Cross,5,130.50
76,Odine Meryeta,Female,22-12-2018,Cervinia,ITA,Canada,World Cup,Snowboard Cross,7,360.00
77,Odine Meryeta,Female,21-12-2018,Cervinia,ITA,Canada,World Cup,Snowboard Cross,18,130.00
78,Odine Meryeta,Female,20-12-2018,Cervinia,ITA,Canada,Qualification,Snowboard Cross,14,
79,Odine Meryeta,Female,29-11-2018,Pitztal,AUT,Canada,European Cup,Snowboard Cross,3,216.00
80,Odine Meryeta,Female,28-11-2018,Pitztal,AUT,Canada,European Cup,Snowboard Cross,3,216.00
81,Odine Meryeta,Female,25-02-2018,Feldberg ,GER,Canada,World Cup,Snowboard Cross,9,290.00
82,Odine Meryeta,Female,24-02-2018,Feldberg,GER,Canada,World Cup,Snowboard Cross,14,180.00
83,Odine Meryeta,Female,24-02-2018,Feldberg,GER,Canada,Qualification,Snowboard Cross,9,
84,Odine Meryeta,Female,23-02-2018,Feldberg,GER,Canada,Qualification,Snowboard Cross,10,
85,Odine Meryeta,Female,16-02-2018,Phoenix Snow Park,KOR,Canada,Olympic Winter Games,Snowboard Cross,DNS,
86,Odine Meryeta,Female,16-02-2018,Phoenix Snow Park,KOR,Canada,Qualification,Snowboard Cross,25,
87,Odine Meryeta,Female,27-01-2018,Bansko,BUL,Canada,World Cup,Snowboardcross,10,260.00
88,Odine Meryeta,Female,27-01-2018,Bansko,BUL,Canada,Qualification,Snowboard Cross,9,
89,Odine Meryeta,Female,21-01-2018,Erzurum,TUR,Canada,World Cup,Snowboard Cross Team,3,
90,Odine Meryeta,Female,20-01-2018,Erzurum,TUR,Canada,World Cup,Snowboard Cross,6,400.00
91,Odine Meryeta,Female,22-12-2017,Cervinia,ITA,Canada,World Cup,Snowboard Cross,10,260.00
92,Odine Meryeta,Female,21-12-2017,Cervinia,ITA,Canada,Qualification,Snowboard Cross,5,
93,Odine Meryeta,Female,17-12-2017,Montafon,AUT,Canada,World Cup,Snowboard Cross Team,2,
94,Odine Meryeta,Female,16-12-2017,Montafon,AUT,Canada,Qualification,Snowboard Cross,3,
95,Odine Meryeta,Female,16-12-2017,Montafon,AUT,Canada,World Cup,Snowboardcross,8,320.00
96,Odine Meryeta,Female,13-12-2017,Val Thorens,FRA,Canada,Qualification,Snowboard Cross,10,
97,Odine Meryeta,Female,13-12-2017,Val Thorens,FRA,Canada,World Cup,Snowboardcross,7,360.00
98,Odine Meryeta,Female,10-09-2017,Cerro Catedral,ARG,Canada,World Cup,Snowboardcross,10,260.00
99,Odine Meryeta,Female,09-09-2017,Cerro Catedral,ARG,Canada,World Cup,Snowboardcross,4,500.00
100,Odine Meryeta,Female,08-09-2017,Cerro Catedral,ARG,Canada,Qualification,Snowboardcross,9,
101,Odine Meryeta,Female,25-08-2017,La Parva,CHI,Canada,South American Cup,Snowboardcross,1,240.00
102,Odine Meryeta,Female,12-03-2017,Sierra Nevada,ESP,Canada,World Championships,Snowboardcross,DNF,
103,Odine Meryeta,Female,10-03-2017,Sierra Nevada,ESP,Canada,Qualification,Snowboardcross,DNF,
104,Odine Meryeta,Female,05-03-2017,La Molina,ESP,Canada,World Cup,Snowboardcross,28,
105,Odine Meryeta,Female,04-03-2017,La Molina,ESP,Canada,Qualification,Snowboardcross,28,
106,Odine Meryeta,Female,18-02-2017,Klinovec,CZE,Canada,FIS Junior World Championships,Snowboardcross,13,64.00
107,Odine Meryeta,Female,12-02-2017,Feldberg,GER,Canada,World Cup,Snowboardcross,13,200.00
108,Odine Meryeta,Female,11-02-2017,Feldberg,GER,Canada,World Cup,Snowboardcross,3,600.00
109,Odine Meryeta,Female,10-02-2017,Feldberg,GER,Canada,Qualification,Snowboardcross,12,
110,Odine Meryeta,Female,04-02-2017,Bansko,BUL,Canada,World Cup,Snowboardcross,15,160.00
111,Odine Meryeta,Female,02-02-2017,Bansko,BUL,Canada,Qualification,Snowboardcross,14,
112,Odine Meryeta,Female,22-01-2017,Solitude Mountain Resort,USA,Canada,World Cup,Snowboardcross Team,5,
113,Odine Meryeta,Female,21-01-2017,Solitude Mountain Resort,USA,Canada,World Cup,Snowboardcross,8,320.00
114,Odine Meryeta,Female,19-01-2017,Solitude Mountain Resort,USA,Canada,Qualification,Snowboardcross,13,
115,Odine Meryeta,Female,16-12-2016,Montafon,AUT,Canada,World Cup,Snowboardcross,24,70.00
116,Odine Meryeta,Female,15-12-2016,Montafon,AUT,Canada,Qualification,Snowboardcross,24,
117,Odine Meryeta,Female,03-12-2016,Pitzal,AUT,Canada,Junior,Snowboardcross,9,58.00
118,Odine Meryeta,Female,04-04-2016,Rogla,SLO,Canada,FIS Junior World Championships,Snowboardcross,4,180.00
119,Odine Meryeta,Female,26-03-2016,Ski Chantecler,CAN,Canada,National Junior Championships,Snowboardcross,1,140.00
120,Odine Meryeta,Female,23-03-2016,Ski Chantecler,CAN,Canada,National Championships,Snowboardcross,2,160.00
121,Odine Meryeta,Female,20-03-2016,Baqueira Beret,ESP,Canada,Qualification,Snowboardcross,DNS,
122,Odine Meryeta,Female,20-03-2016,Baqueira Beret,ESP,Canada,World Cup,Snowboardcross,DNS,
123,Odine Meryeta,Female,03-03-2016,"Sugarloaf, ME",USA,Canada,Nor-Am Cup,Snowboardcross,5,90.00
124,Odine Meryeta,Female,02-03-2016,"Sugarloaf, ME",USA,Canada,Nor-Am Cup,Snowboardcross,1,200.00
125,Odine Meryeta,Female,01-03-2016,"Sugarloaf, ME",USA,Canada,Nor-Am Cup,Snowboardcross,4,100.00
126,Odine Meryeta,Female,27-02-2016,Bokwang,KOR,Canada,World Cup,Snowboardcross,6,400.00
127,Odine Meryeta,Female,18-02-2016,"Ski Cooper, CO",USA,Canada,Nor-Am Cup,Snowboardcross,7,72.00
128,Odine Meryeta,Female,16-02-2016,"Ski Cooper, CO",USA,Canada,Nor-Am Cup,Snowboardcross,5,162.00
129,Odine Meryeta,Female,05-02-2016,Tabor Mountain Ski Resort,CAN,Canada,Nor-Am Cup,Snowboardcross,1,200.00
130,Odine Meryeta,Female,04-02-2016,Tabor Mountain Ski Resort,CAN,Canada,Nor-Am Cup,Snowboardcross,1,200.00
131,Odine Meryeta,Female,31-01-2016,Tabor Mountain Ski Resort,CAN,Canada,Nor-Am Cup,Snowboardcross,2,160.00
132,Odine Meryeta,Female,30-01-2016,Tabor Mountain Ski Resort,CAN,Canada,Nor-Am Cup,Snowboardcross,4,100.00
133,Odine Meryeta,Female,12-12-2015,Montafon,AUT,Canada,World Cup,Snowboardcross,16,150.00
134,Odine Meryeta,Female,11-12-2015,Montafon,AUT,Canada,Qualification,Snowboardcross,16,
135,Odine Meryeta,Female,28-11-2015,Pitztal,AUT,Canada,Junior,Snowboardcross,3,120.00
136,Odine Meryeta,Female,26-11-2015,Pitztal,AUT,Canada,European Cup,Snowboardcross,9,92.80
137,Odine Meryeta,Female,25-11-2015,Pitztal,AUT,Canada,European Cup,Snowboardcross,13,72.00
138,Odine Meryeta,Female,19-08-2015,Corralco (CHI),BRA,Canada,South American Cup,Snowboardcross,2,160.00
139,Odine Meryeta,Female,18-08-2015,Corralco (CHI),BRA,Canada,South American Cup,Snowboardcross,3,120.00
140,Odine Meryeta,Female,03-04-2015,"Big White Ski Resort, BC",CAN,Canada,National Junior Championships,Snowboardcross,4,80.00
141,Odine Meryeta,Female,02-04-2015,"Big White Ski Resort, BC",CAN,Canada,Nor-Am Cup,Snowboardcross,3,120.00
142,Odine Meryeta,Female,28-03-2015,Bad Gastein,AUT,Canada,European Cup,Snowboardcross,25,
143,Odine Meryeta,Female,27-03-2015,Bad Gastein,AUT,Canada,European Cup,Snowboardcross,14,52.20
144,Odine Meryeta,Female,21-03-2015,La Molina,ESP,Canada,World Cup,Snowboardcross,16,150.00
145,Odine Meryeta,Female,20-03-2015,La Molina,ESP,Canada,Qualification,Snowboardcross,15,
146,Odine Meryeta,Female,13-03-2015,Yabuli,CHN,Canada,FIS Junior World Championships,Snowboardcross,10,93.60
147,Odine Meryeta,Female,15-02-2015,Big White,CAN,Canada,FIS,Snowboardcross,2,96.00
148,Odine Meryeta,Female,14-02-2015,Big White,CAN,Canada,FIS,Snowboardcross,4,60.00
149,Odine Meryeta,Female,12-02-2015,Big White,CAN,Canada,Nor-Am Cup,Snowboardcross,6,80.00
150,Odine Meryeta,Female,11-02-2015,Big White,CAN,Canada,Nor-Am Cup,Snowboardcross,5,90.00
151,Odine Meryeta,Female,06-02-2015,"Ski Cooper, CO",USA,Canada,Nor-Am Cup,Snowboardcross,5,99.00
152,Odine Meryeta,Female,05-02-2015,"Ski Cooper, CO",USA,Canada,Nor-Am Cup,Snowboardcross,14,39.60
153,Odine Meryeta,Female,28-01-2015,Tremblant.QC,CAN,Canada,Nor-Am Cup,Snowboardcross,3,120.00
154,Odine Meryeta,Female,27-01-2015,Tremblant.QC,CAN,Canada,Nor-Am Cup,Snowboardcross,6,80.00
155,Odine Meryeta,Female,29-11-2014,Pitztal,AUT,Canada,Junior,Snowboardcross,4,
156,Odine Meryeta,Female,22-08-2014,Corralco (CHI),BRA,Canada,South American Cup,Snowboardcross,1,200.00
157,Odine Meryeta,Female,21-08-2014,Corralco (CHI),BRA,Canada,South American Cup,Snowboardcross,3,120.00
158,Odine Meryeta,Female,06-04-2014,Big White,CAN,Canada,Nor-Am Cup,Snowboardcross,4,90.00
159,Odine Meryeta,Female,05-04-2014,Big White,CAN,Canada,National Junior Championships,Snowboardcross,5,67.50
160,Odine Meryeta,Female,02-03-2014,Big White,CAN,Canada,FIS,Snowboardcross,1,50.00
161,Odine Meryeta,Female,23-02-2014,Big White,CAN,Canada,Nor-Am Cup,Snowboardcross,8,57.60
162,Odine Meryeta,Female,22-02-2014,Big White,CAN,Canada,Nor-Am Cup,Snowboardcross,9,52.20
163,Odine Meryeta,Female,06-02-2014,"Copper Mountain, CO",USA,Canada,Nor-Am Cup,Snowboardcross,9,52.20
164,Odine Meryeta,Female,05-02-2014,"Copper Mountain, CO",USA,Canada,Nor-Am Cup,Snowboardcross,6,72.00
165,Odine Meryeta,Female,02-02-2014,Tabor Mountain,CAN,Canada,FIS,Snowboardcross,2,40.00
166,Odine Meryeta,Female,30-01-2014,Tremblant.QC,CAN,Canada,Nor-Am Cup,Snowboardcross,9,52.20
167,Odine Meryeta,Female,29-01-2014,Tremblant.QC,CAN,Canada,Nor-Am Cup,Snowboardcross,3,108.00
168,Odine Meryeta,Female,30-03-2013,"Big White, BC",CAN,Canada,Nor-Am Cup,Snowboardcross,13,64.00
169,Odine Meryeta,Female,29-03-2013,"Big White, BC",CAN,Canada,National Junior Championships,Snowboardcross,5,67.50
170,Odine Meryeta,Female,03-03-2013,"Big White, BC",CAN,Canada,FIS,Snowboardcross,3,30.00
171,Odine Meryeta,Female,10-02-2013,"Big White, BC",CAN,Canada,Nor-Am Cup,Snowboardcross,15,20.80
172,Odine Meryeta,Female,09-02-2013,"Big White, BC",CAN,Canada,Nor-Am Cup,Snowboardcross,10,33.80
173,Odine Meryeta,Female,27-01-2013,"Big White, BC",CAN,Canada,FIS,Snowboardcross,1,50.00
174,Odine Meryeta,Female,26-01-2013,"Big White, BC",CAN,Canada,FIS,Snowboardcross,4,25.00
