,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Okesson Joey,Male,10-02-2024,Calgary,CAN,United States Of America,World Cup,Halfpipe,8,317.80
1,Okesson Joey,Male,09-02-2024,Calgary,CAN,United States Of America,Qualification,Halfpipe,5,
2,Okesson Joey,Male,03-02-2024,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,17,138.80
3,Okesson Joey,Male,30-01-2024,Mammoth Mountain,USA,United States Of America,Qualification,Halfpipe,9,
4,Okesson Joey,Male,20-01-2024,Laax,SUI,United States Of America,World Cup,Halfpipe,14,207.00
5,Okesson Joey,Male,16-12-2023,Copper Mountain,USA,United States Of America,World Cup,Halfpipe,11,244.10
6,Okesson Joey,Male,14-12-2023,Copper Mountain,USA,United States Of America,Qualification,Halfpipe,6,
7,Okesson Joey,Male,08-12-2023,Secret Garden,CHN,United States Of America,World Cup,Halfpipe,23,40.90
8,Okesson Joey,Male,06-12-2023,Secret Garden,CHN,United States Of America,Qualification,Halfpipe,23,
9,Okesson Joey,Male,03-03-2023,Bakuriani,GEO,United States Of America,World Championships,Halfpipe,11,190.90
10,Okesson Joey,Male,01-03-2023,Bakuriani,GEO,United States Of America,Qualification,Halfpipe,11,
11,Okesson Joey,Male,10-02-2023,Calgary,CAN,United States Of America,World Cup,Halfpipe,11,161.70
12,Okesson Joey,Male,09-02-2023,Calgary,CAN,United States Of America,Qualification,Halfpipe,11,
13,Okesson Joey,Male,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,11,172.10
14,Okesson Joey,Male,02-02-2023,Mammoth Mountain,USA,United States Of America,Qualification,Halfpipe,11,
15,Okesson Joey,Male,21-01-2023,Laax,SUI,United States Of America,World Cup,Halfpipe,16,128.50
16,Okesson Joey,Male,19-01-2023,Laax,SUI,United States Of America,Qualification,Halfpipe,16,
17,Okesson Joey,Male,16-12-2022,Copper Mountain,USA,United States Of America,World Cup,Halfpipe,5,501.60
18,Okesson Joey,Male,14-12-2022,Copper Mountain,USA,United States Of America,Qualification,Halfpipe,3,
19,Okesson Joey,Male,28-02-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,2,214.10
20,Okesson Joey,Male,27-02-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,3,218.90
21,Okesson Joey,Male,15-01-2022,Laax,SUI,United States Of America,World Cup,Halfpipe,15,189.40
22,Okesson Joey,Male,13-01-2022,Laax,SUI,United States Of America,Qualification,Halfpipe,7,
23,Okesson Joey,Male,08-01-2022,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,7,299.70
24,Okesson Joey,Male,11-12-2021,Copper Mountain,USA,United States Of America,World Cup,Halfpipe,28,94.10
25,Okesson Joey,Male,09-12-2021,Copper Mountain,USA,United States Of America,Qualification,Halfpipe,13,
26,Okesson Joey,Male,21-03-2021,Aspen,USA,United States Of America,World Cup,Halfpipe,13,154.89
27,Okesson Joey,Male,18-03-2021,Aspen,USA,United States Of America,Qualification,Halfpipe,13,
28,Okesson Joey,Male,13-03-2021,Aspen,USA,United States Of America,World Championships,Halfpipe,17,109.43
29,Okesson Joey,Male,11-03-2021,Aspen,USA,United States Of America,Qualification,Halfpipe,17,
30,Okesson Joey,Male,25-02-2021,Aspen Mountain Ski Area,USA,United States Of America,Open,Halfpipe,DNS,
31,Okesson Joey,Male,23-01-2021,Laax,SUI,United States Of America,World Cup,Halfpipe,12,229.25
32,Okesson Joey,Male,21-01-2021,Laax,SUI,United States Of America,Qualification,Halfpipe,5,
33,Okesson Joey,Male,15-02-2020,Calgary,CAN,United States Of America,World Cup,Halfpipe,29,
34,Okesson Joey,Male,13-02-2020,Calgary,CAN,United States Of America,Qualification,Halfpipe,29,
35,Okesson Joey,Male,31-01-2020,Mammoth Mountain Resort,USA,United States Of America,World Cup,Halfpipe,11,240.00
36,Okesson Joey,Male,29-01-2020,Mammoth Mountain Resort,USA,United States Of America,Qualification,Halfpipe,11,
37,Okesson Joey,Male,25-01-2020,Loon Mountain Ski Resort,USA,United States Of America,FIS,Halfpipe,1,
38,Okesson Joey,Male,18-12-2019,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,7,57.60
39,Okesson Joey,Male,17-12-2019,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,10,41.60
40,Okesson Joey,Male,06-12-2019,Copper Mountain Resort,USA,United States Of America,FIS,Halfpipe,4,110.00
41,Okesson Joey,Male,03-04-2019,"Copper Mountain, CO",USA,United States Of America,National Championships,Halfpipe,8,41.60
42,Okesson Joey,Male,26-01-2019,Leysin,SUI,United States Of America,FIS Junior World Championships,Halfpipe,12,52.80
43,Okesson Joey,Male,15-01-2019,Waterville Valley Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,15,25.60
44,Okesson Joey,Male,14-01-2019,Waterville Valley Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,13,32.00
45,Okesson Joey,Male,12-12-2018,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,16,54.00
46,Okesson Joey,Male,11-12-2018,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,23,28.80
47,Okesson Joey,Male,08-12-2018,Copper Mountain Resort,USA,United States Of America,World Cup,Halfpipe,28,40.00
48,Okesson Joey,Male,06-12-2018,Copper Mountain Resort,USA,United States Of America,Qualification,Halfpipe,14,
49,Okesson Joey,Male,15-03-2018,Mammoth Mountain Ski Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,31,
50,Okesson Joey,Male,28-02-2018,Park City,USA,United States Of America,Nor-Am Cup,Slopestyle,23,17.60
51,Okesson Joey,Male,27-02-2018,Park City,USA,United States Of America,Nor-Am Cup,Halfpipe,6,64.00
52,Okesson Joey,Male,13-02-2018,Waterville Valley Resort,USA,United States Of America,FIS,Slopestyle,23,10.40
53,Okesson Joey,Male,12-02-2018,Waterville Valley Resort,USA,United States Of America,FIS,Slopestyle,14,21.60
