,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Olander Lucas,Male,11-01-2025,Prato Nevoso,ITA,Sweden,European Cup,Slopestyle,DNS,
1,Olander Lucas,Male,06-01-2025,Font Romeu,FRA,Sweden,FIS,Rail Event,7,18.50
2,Olander Lucas,Male,05-01-2025,Font Romeu,FRA,Sweden,European Cup Premium,Slopestyle,51,7.80
3,Olander Lucas,Male,04-10-2024,SnowWorld Landgraaf,NED,Sweden,FIS,Slopestyle,2,49.70
4,Olander Lucas,Male,03-10-2024,SnowWorld Landgraaf,NED,Sweden,FIS,Slopestyle,7,22.60
5,Olander Lucas,Male,07-04-2024,Klaeppen,SWE,Sweden,National Championships,Big Air,6,17.30
6,Olander Lucas,Male,05-04-2024,Klaeppen,SWE,Sweden,National Championships,Slopestyle,8,22.60
7,Olander Lucas,Male,23-03-2024,Funaesdalen,SWE,Sweden,FIS,Slopestyle,DNS,
8,Olander Lucas,Male,10-03-2024,Jaervsoe,SWE,Sweden,FIS,Slopestyle,2,14.10
9,Olander Lucas,Male,11-02-2024,Klaeppen,SWE,Sweden,FIS,Slopestyle,12,11.30
