,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Onitsuka Miyabi,Female,14-03-2025,Flachau,AUT,Japan,World Cup,Slopestyle,10,256.50
1,Onitsuka Miyabi,Female,13-03-2025,Flachau,AUT,Japan,Qualification,Slopestyle,5,
2,Onitsuka Miyabi,Female,22-02-2025,Calgary,CAN,Japan,World Cup,Slopestyle,25,29.90
3,Onitsuka Miyabi,Female,20-02-2025,Calgary,CAN,Japan,Qualification,Slopestyle,25,
4,Onitsuka Miyabi,Female,06-02-2025,Aspen,USA,Japan,World Cup,Big Air,8,303.70
5,Onitsuka Miyabi,Female,05-02-2025,Aspen,USA,Japan,Qualification,Big Air,7,
6,Onitsuka Miyabi,Female,02-02-2025,Aspen,USA,Japan,World Cup,Slopestyle,13,183.90
7,Onitsuka Miyabi,Female,31-01-2025,Aspen,USA,Japan,Qualification,Slopestyle,13,
8,Onitsuka Miyabi,Female,18-01-2025,Laax,SUI,Japan,World Cup,Slopestyle,7,367.40
9,Onitsuka Miyabi,Female,16-01-2025,Laax,SUI,Japan,Qualification,Slopestyle,7,
10,Onitsuka Miyabi,Female,11-01-2025,Kreischberg,AUT,Japan,World Cup,Big Air,7,361.70
11,Onitsuka Miyabi,Female,09-01-2025,Kreischberg,AUT,Japan,Qualification,Big Air,6,
12,Onitsuka Miyabi,Female,01-12-2024,Beijing,CHN,Japan,World Cup,Big Air,4,569.90
13,Onitsuka Miyabi,Female,30-11-2024,Beijing,CHN,Japan,Qualification,Big Air,4,
14,Onitsuka Miyabi,Female,19-10-2024,Chur,SUI,Japan,World Cup,Big Air,8,320.00
15,Onitsuka Miyabi,Female,02-09-2024,Cardrona,NZL,Japan,World Cup,Slopestyle,12,206.30
16,Onitsuka Miyabi,Female,31-08-2024,Cardrona,NZL,Japan,Qualification,Slopestyle,12,
17,Onitsuka Miyabi,Female,14-04-2024,Corvatsch,SUI,Japan,European Cup Premium,Big Air,13,80.90
18,Onitsuka Miyabi,Female,12-04-2024,Corvatsch,SUI,Japan,European Cup Premium,Slopestyle,1,360.00
19,Onitsuka Miyabi,Female,23-03-2024,Silvaplana,SUI,Japan,World Cup,Slopestyle,5,385.70
20,Onitsuka Miyabi,Female,21-03-2024,Silvaplana,SUI,Japan,Qualification,Slopestyle,6,
21,Onitsuka Miyabi,Female,15-03-2024,Tignes,FRA,Japan,World Cup,Slopestyle,2,655.10
22,Onitsuka Miyabi,Female,14-03-2024,Tignes,FRA,Japan,Qualification,Slopestyle,6,
23,Onitsuka Miyabi,Female,20-01-2024,Laax,SUI,Japan,World Cup,Slopestyle,17,115.30
24,Onitsuka Miyabi,Female,16-01-2024,Laax,SUI,Japan,Qualification,Slopestyle,17,
25,Onitsuka Miyabi,Female,15-12-2023,Copper Mountain,USA,Japan,World Cup,Big Air,6,382.70
26,Onitsuka Miyabi,Female,13-12-2023,Copper Mountain,USA,Japan,Qualification,Big Air,6,
27,Onitsuka Miyabi,Female,09-12-2023,Edmonton,CAN,Japan,World Cup,Big Air,6,345.50
28,Onitsuka Miyabi,Female,08-12-2023,Edmonton,CAN,Japan,Qualification,Big Air,5,
29,Onitsuka Miyabi,Female,02-12-2023,Beijing,CHN,Japan,World Cup,Big Air,3,642.80
30,Onitsuka Miyabi,Female,01-12-2023,Beijing,CHN,Japan,Qualification,Big Air,4,
31,Onitsuka Miyabi,Female,21-10-2023,Chur,SUI,Japan,Qualification,Big Air,7,
32,Onitsuka Miyabi,Female,21-10-2023,Chur,SUI,Japan,World Cup,Big Air,6,388.40
33,Onitsuka Miyabi,Female,25-03-2023,Silvaplana,SUI,Japan,World Cup,Slopestyle,5,440.30
34,Onitsuka Miyabi,Female,23-03-2023,Silvaplana,SUI,Japan,Qualification,Slopestyle,5,
35,Onitsuka Miyabi,Female,04-03-2023,Bakuriani,GEO,Japan,World Championships,Big Air,2,822.10
36,Onitsuka Miyabi,Female,02-03-2023,Bakuriani,GEO,Japan,Qualification,Big Air,3,
37,Onitsuka Miyabi,Female,27-02-2023,Bakuriani,GEO,Japan,Qualification,Slopestyle,5,
38,Onitsuka Miyabi,Female,27-02-2023,Bakuriani,GEO,Japan,World Championships,Slopestyle,3,687.10
39,Onitsuka Miyabi,Female,12-02-2023,Calgary,CAN,Japan,World Cup,Slopestyle,4,297.00
40,Onitsuka Miyabi,Female,11-02-2023,Calgary,CAN,Japan,Qualification,Slopestyle,4,
41,Onitsuka Miyabi,Female,04-02-2023,Mammoth Mountain,USA,Japan,World Cup,Slopestyle,18,19.10
42,Onitsuka Miyabi,Female,01-02-2023,Mammoth Mountain,USA,Japan,Qualification,Slopestyle,18,
43,Onitsuka Miyabi,Female,22-01-2023,Laax,SUI,Japan,World Cup,Slopestyle,5,488.80
44,Onitsuka Miyabi,Female,20-01-2023,Laax,SUI,Japan,Qualification,Slopestyle,5,
45,Onitsuka Miyabi,Female,14-01-2023,Kreischberg,AUT,Japan,Qualification,Big Air,6,
46,Onitsuka Miyabi,Female,14-01-2023,Kreischberg,AUT,Japan,World Cup,Big Air,4,568.10
47,Onitsuka Miyabi,Female,17-12-2022,Copper Mountain,USA,Japan,World Cup,Big Air,3,544.70
48,Onitsuka Miyabi,Female,15-12-2022,Copper Mountain,USA,Japan,Qualification,Big Air,5,
49,Onitsuka Miyabi,Female,10-12-2022,Edmonton,CAN,Japan,World Cup,Big Air,DNS,
50,Onitsuka Miyabi,Female,09-12-2022,Edmonton,CAN,Japan,Qualification,Big Air,DNS,
51,Onitsuka Miyabi,Female,15-02-2022,Beijing,CHN,Japan,Olympic Winter Games,Big Air,11,222.20
52,Onitsuka Miyabi,Female,14-02-2022,Beijing,CHN,Japan,Qualification,Big Air,5,
53,Onitsuka Miyabi,Female,06-02-2022,Beijing,CHN,Japan,Olympic Winter Games,Slopestyle,19,91.40
54,Onitsuka Miyabi,Female,05-02-2022,Beijing,CHN,Japan,Qualification,Slopestyle,19,
55,Onitsuka Miyabi,Female,08-01-2022,Mammoth Mountain,USA,Japan,World Cup,Slopestyle,DNS,
56,Onitsuka Miyabi,Female,06-01-2022,Mammoth Mountain,USA,Japan,Qualification,Slopestyle,DNS,
57,Onitsuka Miyabi,Female,01-01-2022,Calgary,CAN,Japan,World Cup,Slopestyle,2,658.10
58,Onitsuka Miyabi,Female,31-12-2021,Calgary,CAN,Japan,Qualification,Slopestyle,2,
59,Onitsuka Miyabi,Female,04-12-2021,Steamboat,USA,Japan,World Cup,Big Air,12,206.30
