,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Otipkova Hana,Female,02-02-2025,Ratschings,ITA,Czechia,Qualification,Parallel Slalom,25,
1,Otipkova Hana,Female,02-02-2025,Ratschings,ITA,Czechia,European Cup,Parallel Slalom,25,19.20
2,Otipkova Hana,Female,01-02-2025,Ratschings,ITA,Czechia,European Cup,Parallel Slalom,DNF,
3,Otipkova Hana,Female,26-01-2025,Simonhöhe,AUT,Czechia,European Cup,Parallel Giant Slalom,54,
4,Otipkova Hana,Female,25-01-2025,Simonhöhe,AUT,Czechia,European Cup,Parallel Giant Slalom,21,24.00
5,Otipkova Hana,Female,19-01-2025,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,1,70.00
6,Otipkova Hana,Female,18-01-2025,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,1,70.00
7,Otipkova Hana,Female,12-01-2025,Nova Levante - Welschnofen,ITA,Czechia,FIS,Parallel Giant Slalom,DSQ,
8,Otipkova Hana,Female,11-01-2025,Folgaria,ITA,Czechia,European Cup,Parallel Giant Slalom,14,43.20
9,Otipkova Hana,Female,11-01-2025,Folgaria,ITA,Czechia,Qualification,Parallel Giant Slalom,14,
10,Otipkova Hana,Female,10-01-2025,Folgaria,ITA,Czechia,European Cup,Parallel Giant Slalom,21,24.00
11,Otipkova Hana,Female,10-01-2025,Folgaria,ITA,Czechia,Qualification,Parallel Giant Slalom,21,
12,Otipkova Hana,Female,06-01-2025,Simonhoehe,AUT,Czechia,Junior Regional Cup,Parallel Giant Slalom,11,33.60
13,Otipkova Hana,Female,05-01-2025,Simonhoehe,AUT,Czechia,Junior Regional Cup,Parallel Giant Slalom,8,44.80
14,Otipkova Hana,Female,22-12-2024,Moninec,CZE,Czechia,FIS,Parallel Slalom,DSQ,
15,Otipkova Hana,Female,21-12-2024,Moninec,CZE,Czechia,FIS,Parallel Slalom,8,51.20
16,Otipkova Hana,Female,20-12-2024,Moninec,CZE,Czechia,European Cup,Parallel Slalom,29,8.64
17,Otipkova Hana,Female,19-12-2024,Moninec,CZE,Czechia,European Cup,Parallel Slalom,30,7.68
18,Otipkova Hana,Female,15-12-2024,Götschen,GER,Czechia,European Cup,Parallel Slalom,37,4.66
19,Otipkova Hana,Female,14-12-2024,Götschen,GER,Czechia,European Cup,Parallel Slalom,33,5.28
20,Otipkova Hana,Female,07-04-2024,Samnaun,SUI,Czechia,National Championships,Giant Slalom,13,58.00
21,Otipkova Hana,Female,06-04-2024,Samnaun,SUI,Czechia,National Championships,Parallel Slalom,DSQ,
22,Otipkova Hana,Female,23-03-2024,Lachtal,AUT,Czechia,Qualification,Parallel Slalom,33,
23,Otipkova Hana,Female,23-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Slalom,33,5.76
24,Otipkova Hana,Female,22-03-2024,Lachtal,AUT,Czechia,Qualification,Parallel Giant Slalom,19,
25,Otipkova Hana,Female,22-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Giant Slalom,19,28.80
26,Otipkova Hana,Female,17-03-2024,St. Moritz,SUI,Czechia,European Cup,Parallel Slalom,35,7.20
27,Otipkova Hana,Female,16-03-2024,St. Moritz,SUI,Czechia,European Cup,Parallel Giant Slalom,44,6.23
28,Otipkova Hana,Female,13-03-2024,Davos/Rinerhorn ,SUI,Czechia,European Cup,Parallel Giant Slalom,28,
29,Otipkova Hana,Female,12-03-2024,Davos/Rinerhorn ,SUI,Czechia,European Cup,Parallel Giant Slalom,30,11.52
30,Otipkova Hana,Female,10-03-2024,Senales - Schnals,ITA,Czechia,FIS,Parallel Slalom,24,
31,Otipkova Hana,Female,09-03-2024,Senales - Schnals,ITA,Czechia,FIS,Parallel Slalom,10,28.60
32,Otipkova Hana,Female,10-02-2024,Hochficht/Zwiesel,AUT,Czechia,National Championships,Parallel Slalom,18,37.70
33,Otipkova Hana,Female,09-02-2024,Hochficht/Zwiesel,AUT,Czechia,National Championships,Parallel Giant Slalom,22,26.10
34,Otipkova Hana,Female,04-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,16,21.00
35,Otipkova Hana,Female,03-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,19,16.80
36,Otipkova Hana,Female,07-01-2024,Dolni Morava,CZE,Czechia,National Championships,Parallel Giant Slalom,7,79.20
37,Otipkova Hana,Female,06-01-2024,Dolni Morava,CZE,Czechia,National Championships,Parallel Slalom,8,70.40
38,Otipkova Hana,Female,22-12-2023,Moninec,CZE,Czechia,Junior,Parallel Slalom,3,42.00
39,Otipkova Hana,Female,21-12-2023,Moninec,CZE,Czechia,FIS,Parallel Slalom,23,16.00
40,Otipkova Hana,Female,20-12-2023,Moninec,CZE,Czechia,European Cup,Parallel Slalom,39,4.89
41,Otipkova Hana,Female,19-12-2023,Moninec,CZE,Czechia,European Cup,Parallel Slalom,DSQ,
42,Otipkova Hana,Female,10-12-2023,Götschen,GER,Czechia,Junior,Parallel Slalom,23,12.80
43,Otipkova Hana,Female,09-12-2023,Götschen,GER,Czechia,European Cup,Parallel Slalom,45,6.12
44,Otipkova Hana,Female,09-12-2023,Götschen,GER,Czechia,Qualification,Parallel Slalom,45,
45,Otipkova Hana,Female,08-12-2023,Götschen,GER,Czechia,European Cup,Parallel Slalom,53,5.26
46,Otipkova Hana,Female,08-12-2023,Götschen,GER,Czechia,Qualification,Parallel Slalom,53,
47,Otipkova Hana,Female,02-04-2023,Haus im Ennstal,AUT,Czechia,National Championships,Parallel Slalom,14,52.20
