,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Owczarek Krzysztof,Male,07-03-2025,Szczyrk,POL,Poland,European Cup,Rail Event,12,
1,Owczarek Krzysztof,Male,26-02-2025,Bialka Tatrzanska,POL,Poland,National Championships,Big Air,1,
2,Owczarek Krzysztof,Male,26-02-2025,Bialka Tatrzanska,POL,Poland,National Championships,Slopestyle,1,
3,Owczarek Krzysztof,Male,23-02-2025,Kotelnica,POL,Poland,European Cup,Big Air,4,67.10
4,Owczarek Krzysztof,Male,16-02-2025,Biatka Tatrzanska,POL,Poland,FIS,Slopestyle,1,50.00
5,Owczarek Krzysztof,Male,15-02-2025,Biatka Tatrzanska,POL,Poland,FIS,Big Air,1,50.00
6,Owczarek Krzysztof,Male,09-02-2025,Mayrhofen,AUT,Poland,FIS,Slopestyle,22,0.90
7,Owczarek Krzysztof,Male,26-01-2025,Gubalowka,POL,Poland,FIS,Big Air,3,32.90
8,Owczarek Krzysztof,Male,25-01-2025,Gubalowka,POL,Poland,FIS,Slopestyle,4,27.10
9,Owczarek Krzysztof,Male,19-01-2025,Bardonecchia,ITA,Poland,Universiade,Big Air,13,9.10
10,Owczarek Krzysztof,Male,17-01-2025,Bardonecchia,ITA,Poland,Universiade,Slopestyle,14,6.60
11,Owczarek Krzysztof,Male,01-03-2024,Skalite Szczyrk,POL,Poland,FIS,Rail Event,5,
12,Owczarek Krzysztof,Male,17-02-2024,Kotelnica Balczanskaia,POL,Poland,National Championships,Big Air,2,40.40
13,Owczarek Krzysztof,Male,10-02-2024,Kotelnica Bialczanska,POL,Poland,European Cup,Big Air,4,64.90
14,Owczarek Krzysztof,Male,02-02-2024,Gubalowka,POL,Poland,FIS,Big Air,4,27.10
15,Owczarek Krzysztof,Male,01-02-2024,Gubalowka,POL,Poland,FIS,Slopestyle,1,50.00
16,Owczarek Krzysztof,Male,11-03-2023,Zakopane Gubalowka,POL,Poland,National Championships,Big Air,2,39.90
17,Owczarek Krzysztof,Male,10-03-2023,Zakopane Gubalowka,POL,Poland,National Championships,Slopestyle,2,39.90
18,Owczarek Krzysztof,Male,19-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Big Air,3,32.60
19,Owczarek Krzysztof,Male,18-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Slopestyle,2,40.20
20,Owczarek Krzysztof,Male,11-02-2023,Kotelnica Bialczanska,POL,Poland,FIS,Big Air,1,50.00
21,Owczarek Krzysztof,Male,20-01-2023,Gore Mountain,USA,Poland,Universiade,Big Air,13,10.00
22,Owczarek Krzysztof,Male,19-01-2023,Gore Mountain,USA,Poland,Qualification,Big Air,13,
23,Owczarek Krzysztof,Male,18-01-2023,Gore Mountain,USA,Poland,Universiade,Slopestyle,12,15.60
24,Owczarek Krzysztof,Male,17-01-2023,Gore Mountain,USA,Poland,Qualification,Slopestyle,11,
25,Owczarek Krzysztof,Male,25-03-2022,Vuokatti,FIN,Poland,European Youth Olympic Festival,Slopestyle,25,9.40
26,Owczarek Krzysztof,Male,23-03-2022,Vuokatti,FIN,Poland,European Youth Olympic Festival,Big Air,21,14.90
27,Owczarek Krzysztof,Male,13-03-2022,Leysin,SUI,Poland,FIS Junior World Championships,Slopestyle,41,25.70
28,Owczarek Krzysztof,Male,10-03-2022,Leysin,SUI,Poland,FIS Junior World Championships,Big Air,34,26.60
29,Owczarek Krzysztof,Male,12-02-2022,Kotelnica Bialczanska,POL,Poland,European Cup Premium,Big Air,19,7.40
30,Owczarek Krzysztof,Male,21-03-2021,Krasnoyarsk ,RUS,Poland,FIS Junior World Championships,Big Air,22,22.77
31,Owczarek Krzysztof,Male,20-03-2021,Krasnoyarsk ,RUS,Poland,Qualification,Big Air,11,
32,Owczarek Krzysztof,Male,19-03-2021,Krasnoyarsk ,RUS,Poland,FIS Junior World Championships,Slopestyle,16,36.97
33,Owczarek Krzysztof,Male,18-03-2021,Krasnoyarsk ,RUS,Poland,Qualification,Slopestyle,9,
34,Owczarek Krzysztof,Male,28-02-2021,Czarny  Gron,POL,Poland,National Championships,Slopestyle,3,30.86
35,Owczarek Krzysztof,Male,27-02-2021,Czarny  Gron,POL,Poland,National Championships,Big Air,3,30.86
36,Owczarek Krzysztof,Male,21-02-2021,Krynica-Zdroj,POL,Poland,FIS,Slopestyle,1,50.00
37,Owczarek Krzysztof,Male,20-02-2021,Krynica-Zdroj,POL,Poland,FIS,Slopestyle,2,38.99
38,Owczarek Krzysztof,Male,19-02-2021,Krynica-Zdroj,POL,Poland,FIS,Big Air,1,50.00
39,Owczarek Krzysztof,Male,08-02-2021,Kopaonik,SRB,Poland,European Cup,Big Air,33,1.74
40,Owczarek Krzysztof,Male,27-01-2021,Platak,CRO,Poland,FIS,Slopestyle,4,23.64
41,Owczarek Krzysztof,Male,26-01-2021,Platak,CRO,Poland,FIS,Big Air,1,50.00
42,Owczarek Krzysztof,Male,25-01-2021,Platak,CRO,Poland,FIS,Slopestyle,4,23.64
43,Owczarek Krzysztof,Male,24-01-2021,Platak,CRO,Poland,FIS,Big Air,3,29.83
44,Owczarek Krzysztof,Male,02-03-2020,Kopaonik,SRB,Poland,FIS,Slopestyle,3,30.00
45,Owczarek Krzysztof,Male,01-03-2020,Kopaonik,SRB,Poland,FIS,Big Air,2,40.00
46,Owczarek Krzysztof,Male,29-02-2020,Kopaonik,SRB,Poland,FIS,Slopestyle,3,30.00
47,Owczarek Krzysztof,Male,28-02-2020,Kopaonik,SRB,Poland,FIS,Big Air,2,40.00
48,Owczarek Krzysztof,Male,27-02-2020,Kopaonik,SRB,Poland,FIS,Big Air,7,18.00
49,Owczarek Krzysztof,Male,26-02-2020,Kopaonik,SRB,Poland,FIS,Slopestyle,9,14.50
50,Owczarek Krzysztof,Male,15-02-2020,Kotelnica Bialczanska,POL,Poland,European Cup,Big Air,18,20.80
51,Owczarek Krzysztof,Male,19-03-2019,Jasna,SVK,Poland,European Cup,Slopestyle,15,25.60
52,Owczarek Krzysztof,Male,18-03-2019,Jasna,SVK,Poland,European Cup,Slopestyle,15,25.60
53,Owczarek Krzysztof,Male,16-03-2019,Pec pod Snezkou,CZE,Poland,European Cup,Slopestyle,11,38.40
54,Owczarek Krzysztof,Male,16-02-2019,Kotelnica Bialczanska,POL,Poland,European Cup,Big Air,8,51.20
55,Owczarek Krzysztof,Male,10-03-2018,Pec pod Snezkou,CZE,Poland,European Cup,Slopestyle,31,4.48
