,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Pavliuk Vasyl,Male,26-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,62,
1,Pavliuk Vasyl,Male,25-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,38,
2,Pavliuk Vasyl,Male,11-01-2025,Folgaria,ITA,Ukraine,European Cup,Parallel Giant Slalom,23,14.40
3,Pavliuk Vasyl,Male,11-01-2025,Folgaria,ITA,Ukraine,Qualification,Parallel Giant Slalom,23,
4,Pavliuk Vasyl,Male,10-01-2025,Folgaria,ITA,Ukraine,European Cup,Parallel Giant Slalom,DSQ,
5,Pavliuk Vasyl,Male,10-01-2025,Folgaria,ITA,Ukraine,Qualification,Parallel Giant Slalom,DSQ,
6,Pavliuk Vasyl,Male,22-12-2024,Moninec,CZE,Ukraine,FIS,Parallel Slalom,33,3.84
7,Pavliuk Vasyl,Male,21-12-2024,Moninec,CZE,Ukraine,FIS,Parallel Slalom,36,3.15
8,Pavliuk Vasyl,Male,20-12-2024,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,46,3.01
9,Pavliuk Vasyl,Male,19-12-2024,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,44,3.46
10,Pavliuk Vasyl,Male,15-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,60,3.00
11,Pavliuk Vasyl,Male,14-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,50,
12,Pavliuk Vasyl,Male,14-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,6,40.00
13,Pavliuk Vasyl,Male,13-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,10,26.00
