,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Payer Alexander,Male,17-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Slalom,DSQ,
1,Payer Alexander,Male,16-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Giant Slalom,10,93.60
2,Payer Alexander,Male,09-03-2024,Winterberg,GER,Austria,Qualification,Parallel Slalom,8,
3,Payer Alexander,Male,09-03-2024,Winterberg,GER,Austria,World Cup,Parallel Slalom,12,220.00
4,Payer Alexander,Male,25-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,3,
5,Payer Alexander,Male,25-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,3,600.00
6,Payer Alexander,Male,24-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,29,
7,Payer Alexander,Male,24-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,29,36.00
8,Payer Alexander,Male,10-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Slalom,3,174.00
9,Payer Alexander,Male,09-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Giant Slalom,5,130.50
10,Payer Alexander,Male,28-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom Team,20,
11,Payer Alexander,Male,27-01-2024,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,16,
12,Payer Alexander,Male,27-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom,16,150.00
13,Payer Alexander,Male,25-01-2024,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,14,
14,Payer Alexander,Male,25-01-2024,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,14,180.00
15,Payer Alexander,Male,21-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,14,
16,Payer Alexander,Male,21-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,8,320.00
17,Payer Alexander,Male,20-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,14,
18,Payer Alexander,Male,20-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,15,160.00
19,Payer Alexander,Male,17-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,16,
20,Payer Alexander,Male,16-01-2024,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,25,
21,Payer Alexander,Male,16-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,25,60.00
22,Payer Alexander,Male,13-01-2024,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,15,
23,Payer Alexander,Male,13-01-2024,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,15,160.00
24,Payer Alexander,Male,23-12-2023,Davos,SUI,Austria,Qualification,Parallel Slalom,20,
25,Payer Alexander,Male,23-12-2023,Davos ,SUI,Austria,World Cup,Parallel Slalom,20,110.00
26,Payer Alexander,Male,16-12-2023,Cortina d'Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,14,
27,Payer Alexander,Male,16-12-2023,Cortina d'Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,15,160.00
28,Payer Alexander,Male,14-12-2023,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,13,
29,Payer Alexander,Male,14-12-2023,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,14,180.00
30,Payer Alexander,Male,08-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,5,
31,Payer Alexander,Male,08-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,6,144.00
32,Payer Alexander,Male,21-02-2023,Bakuriani,GEO,Austria,Qualification,Parallel Slalom,DNF,
33,Payer Alexander,Male,21-02-2023,Bakuriani,GEO,Austria,World Championships,Parallel Slalom,DNF,
34,Payer Alexander,Male,19-02-2023,Bakuriani,GEO,Austria,Qualification,Parallel Giant Slalom,8,
35,Payer Alexander,Male,19-02-2023,Bakuriani,GEO,Austria,World Championships,Parallel Giant Slalom,3,600.00
36,Payer Alexander,Male,27-01-2023,Blue Mountain,CAN,Austria,Qualification,Parallel Giant Slalom,5,
37,Payer Alexander,Male,27-01-2023,Blue Mountain,CAN,Austria,World Cup,Parallel Giant Slalom,2,800.00
38,Payer Alexander,Male,26-01-2023,Blue Mountain,CAN,Austria,Qualification,Parallel Giant Slalom,9,
39,Payer Alexander,Male,26-01-2023,Blue Mountain,CAN,Austria,World Cup,Parallel Giant Slalom,7,360.00
40,Payer Alexander,Male,22-01-2023,Bansko,BUL,Austria,Qualification,Parallel Slalom,2,
41,Payer Alexander,Male,22-01-2023,Bansko,BUL,Austria,World Cup,Parallel Slalom,9,290.00
42,Payer Alexander,Male,21-01-2023,Bansko,BUL,Austria,Qualification,Parallel Slalom,15,
43,Payer Alexander,Male,21-01-2023,Bansko,BUL,Austria,World Cup,Parallel Slalom,15,160.00
44,Payer Alexander,Male,14-01-2023,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,6,
45,Payer Alexander,Male,14-01-2023,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,6,400.00
46,Payer Alexander,Male,11-01-2023,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,4,
47,Payer Alexander,Male,10-01-2023,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,3,
48,Payer Alexander,Male,10-01-2023,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,2,800.00
49,Payer Alexander,Male,17-12-2022,Cortina d'Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,8,
50,Payer Alexander,Male,17-12-2022,Cortina d'Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,10,260.00
51,Payer Alexander,Male,15-12-2022,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,4,
52,Payer Alexander,Male,15-12-2022,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,10,260.00
53,Payer Alexander,Male,11-12-2022,Winterberg,GER,Austria,World Cup,Parallel Slalom,1,1000.00
54,Payer Alexander,Male,10-12-2022,Winterberg,GER,Austria,Qualification,Parallel Slalom,1,
55,Payer Alexander,Male,10-12-2022,Winterberg,GER,Austria,World Cup,Parallel Slalom Team,10,
56,Payer Alexander,Male,13-04-2022,Dizin,IRI,Austria,FIS,Slalom,1,180.00
57,Payer Alexander,Male,12-04-2022,Dizin,IRI,Austria,FIS,Slalom,1,180.00
58,Payer Alexander,Male,11-04-2022,Dizin,IRI,Austria,FIS,Slalom,1,180.00
59,Payer Alexander,Male,10-04-2022,Dizin,IRI,Austria,FIS,Giant Slalom,1,180.00
60,Payer Alexander,Male,27-03-2022,Villach / Gerlitzen,AUT,Austria,National Championships,Parallel Slalom,1,290.00
61,Payer Alexander,Male,20-03-2022,Berchtesgaden,GER,Austria,World Cup,Parallel  Slalom Team,2,
62,Payer Alexander,Male,19-03-2022,Berchtesgaden,GER,Austria,Qualification,Parallel Slalom,13,
63,Payer Alexander,Male,19-03-2022,Berchtesgaden,GER,Austria,World Cup,Parallel Slalom,13,200.00
64,Payer Alexander,Male,16-03-2022,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,17,
65,Payer Alexander,Male,16-03-2022,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,17,140.00
66,Payer Alexander,Male,13-03-2022,Piancavallo,ITA,Austria,World Cup,Parallel Slalom Team,3,
67,Payer Alexander,Male,12-03-2022,Piancavallo,ITA,Austria,Qualification,Parallel Slalom,8,
68,Payer Alexander,Male,12-03-2022,Piancavallo,ITA,Austria,World Cup,Parallel Slalom,6,400.00
69,Payer Alexander,Male,05-03-2022,Lachtal,AUT,Austria,European Cup,Parallel Giant Slalom,1,360.00
70,Payer Alexander,Male,20-02-2022,Bakuriani,GEO,Austria,European Cup,Parallel Giant Slalom,7,129.60
71,Payer Alexander,Male,19-02-2022,Bakuriani,GEO,Austria,European Cup,Parallel Giant Slalom,8,115.20
72,Payer Alexander,Male,08-02-2022,Beijing,CHN,Austria,Qualification,Parallel Giant Slalom,10,
73,Payer Alexander,Male,08-02-2022,Beijing,CHN,Austria,Olympic Winter Games,Parallel Giant Slalom,8,320.00
74,Payer Alexander,Male,15-01-2022,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom Team,1,
75,Payer Alexander,Male,14-01-2022,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom,6,400.00
76,Payer Alexander,Male,14-01-2022,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,5,
77,Payer Alexander,Male,12-01-2022,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,6,
78,Payer Alexander,Male,11-01-2022,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,4,
79,Payer Alexander,Male,11-01-2022,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,3,600.00
80,Payer Alexander,Male,08-01-2022,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,10,
81,Payer Alexander,Male,08-01-2022,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,6,400.00
82,Payer Alexander,Male,18-12-2021,Cortina d Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,8,
83,Payer Alexander,Male,18-12-2021,Cortina d Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,11,240.00
84,Payer Alexander,Male,16-12-2021,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,12,
85,Payer Alexander,Male,16-12-2021,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,13,200.00
