,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Pelchat Juliette,Female,14-03-2025,Flachau,AUT,Canada,World Cup,Slopestyle,13,
1,Pelchat Juliette,Female,13-03-2025,Flachau,AUT,Canada,Qualification,Slopestyle,8,
2,Pelchat Juliette,Female,10-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Big Air,2,96.40
3,Pelchat Juliette,Female,09-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Slopestyle,1,120.00
4,Pelchat Juliette,Female,05-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,1,140.00
5,Pelchat Juliette,Female,04-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,2,145.30
6,Pelchat Juliette,Female,26-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Big Air,3,202.30
7,Pelchat Juliette,Female,25-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Slopestyle,4,177.60
8,Pelchat Juliette,Female,22-02-2025,Calgary,CAN,Canada,World Cup,Slopestyle,23,45.20
9,Pelchat Juliette,Female,20-02-2025,Calgary,CAN,Canada,Qualification,Slopestyle,23,
10,Pelchat Juliette,Female,12-02-2025,Aspen / Highlands,USA,Canada,Nor-Am Cup Premium,Slopestyle,4,144.30
11,Pelchat Juliette,Female,06-02-2025,Aspen,USA,Canada,World Cup,Big Air,19,61.20
12,Pelchat Juliette,Female,05-02-2025,Aspen,USA,Canada,Qualification,Big Air,19,
13,Pelchat Juliette,Female,02-02-2025,Aspen,USA,Canada,World Cup,Slopestyle,17,125.80
14,Pelchat Juliette,Female,31-01-2025,Aspen,USA,Canada,Qualification,Slopestyle,17,
15,Pelchat Juliette,Female,13-01-2025,"Copper Mountain, CO",USA,Canada,Nor-Am Cup,Slopestyle,6,45.20
16,Pelchat Juliette,Female,01-12-2024,Beijing,CHN,Canada,World Cup,Big Air,20,38.40
17,Pelchat Juliette,Female,30-11-2024,Beijing,CHN,Canada,Qualification,Big Air,20,
18,Pelchat Juliette,Female,03-04-2024,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,DNS,
19,Pelchat Juliette,Female,03-04-2024,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,2,153.00
20,Pelchat Juliette,Female,23-03-2024,Silvaplana,SUI,Canada,World Cup,Slopestyle,16,82.70
21,Pelchat Juliette,Female,21-03-2024,Silvaplana,SUI,Canada,Qualification,Slopestyle,16,
22,Pelchat Juliette,Female,15-03-2024,Tignes,FRA,Canada,World Cup,Slopestyle,14,64.20
23,Pelchat Juliette,Female,14-03-2024,Tignes,FRA,Canada,Qualification,Slopestyle,14,
24,Pelchat Juliette,Female,08-02-2024,Mammoth Mountain,USA,Canada,Nor-Am Cup Premium,Slopestyle,11,42.50
25,Pelchat Juliette,Female,26-01-2024,Copper Mountain,USA,Canada,Nor-Am Cup,Slopestyle,2,113.80
26,Pelchat Juliette,Female,20-01-2024,Laax,SUI,Canada,World Cup,Slopestyle,19,91.40
27,Pelchat Juliette,Female,16-01-2024,Laax,SUI,Canada,Qualification,Slopestyle,19,
28,Pelchat Juliette,Female,09-12-2023,Edmonton,CAN,Canada,World Cup,Big Air,10,114.20
29,Pelchat Juliette,Female,08-12-2023,Edmonton,CAN,Canada,Qualification,Big Air,10,
30,Pelchat Juliette,Female,21-10-2023,Chur,SUI,Canada,World Cup,Big Air,DNS,
