,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Percy Hanna,Female,24-01-2025,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,DNS,
1,Percy Hanna,Female,05-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,6,80.00
2,Percy Hanna,Female,04-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,3,120.00
3,Percy Hanna,Female,27-11-2024,Pitztal,AUT,United States Of America,Qualification,Snowboard Cross,45,
4,Percy Hanna,Female,27-11-2024,Pitztal,AUT,United States Of America,European Cup,Snowboard Cross,45,
5,Percy Hanna,Female,06-04-2024,Gudauri,GEO,United States Of America,FIS Junior World Championships,Snowboard Cross,17,50.40
6,Percy Hanna,Female,05-04-2024,Gudauri,GEO,United States Of America,Qualification,Snowboard Cross,11,
7,Percy Hanna,Female,29-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,1,160.00
8,Percy Hanna,Female,28-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,4,80.00
9,Percy Hanna,Female,19-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,FIS,Snowboard Cross,2,88.00
10,Percy Hanna,Female,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,4,80.00
11,Percy Hanna,Female,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,4,80.00
12,Percy Hanna,Female,22-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,8,51.20
13,Percy Hanna,Female,21-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,5,72.00
14,Percy Hanna,Female,03-02-2024,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,4,25.00
15,Percy Hanna,Female,21-01-2024,Gangwon/Welli Hilli,KOR,United States Of America,Youth Olympic Winter Games,Snowboard Cross Team,5,
16,Percy Hanna,Female,20-01-2024,Gangwon/Welli Hilli,KOR,United States Of America,Youth Olympic Winter Games,Snowboard Cross,14,52.20
17,Percy Hanna,Female,04-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Parallel Slalom,14,27.00
18,Percy Hanna,Female,03-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Parallel Giant Slalom,15,24.00
19,Percy Hanna,Female,31-03-2023,Passo San Pellegrino,ITA,United States Of America,FIS Junior World Championships,Snowboard Cross Team,17,
20,Percy Hanna,Female,30-03-2023,Passo San Pellegrino,ITA,United States Of America,FIS Junior World Championships,Snowboard Cross,25,21.60
21,Percy Hanna,Female,03-03-2023,Sunday River Resort,USA,United States Of America,FIS,Snowboard Cross,1,90.00
22,Percy Hanna,Female,02-03-2023,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,6,64.00
23,Percy Hanna,Female,01-03-2023,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,6,64.00
24,Percy Hanna,Female,08-02-2023,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,10,67.60
25,Percy Hanna,Female,07-02-2023,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,4,130.00
