,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Pereira Julia,Female,07-03-2025,Gudauri,GEO,France,Qualification,Snowboard Cross,1,
1,Pereira Julia,Female,02-03-2025,Erzurum,TUR,France,World Cup,Snowboard Cross Team,6,
2,Pereira Julia,Female,01-03-2025,Erzurum,TUR,France,World Cup,Snowboard Cross,4,500.00
3,Pereira Julia,Female,28-02-2025,Erzurum,TUR,France,Qualification,Snowboard Cross,4,
4,Pereira Julia,Female,15-02-2025,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,2,
5,Pereira Julia,Female,15-02-2025,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,4,500.00
6,Pereira Julia,Female,14-12-2024,Cervinia,ITA,France,World Cup,Snowboard Cross,6,400.00
7,Pereira Julia,Female,13-12-2024,Cervinia,ITA,France,Qualification,Snowboard Cross,2,
8,Pereira Julia,Female,27-11-2024,Pitztal,AUT,France,European Cup,Snowboard Cross,1,360.00
9,Pereira Julia,Female,27-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,3,
10,Pereira Julia,Female,03-10-2024,Corralco,CHI,France,South American Cup,Snowboard Cross,3,216.00
11,Pereira Julia,Female,03-10-2024,Corralco,CHI,France,South American Cup,Snowboard Cross,2,288.00
12,Pereira Julia,Female,30-03-2024,Orcieres Merlette,FRA,France,National Championships,Snowboard Cross,12,63.80
13,Pereira Julia,Female,24-03-2024,Mt. St. Anne,CAN,France,World Cup,Snowboard Cross,8,320.00
14,Pereira Julia,Female,23-03-2024,Mt. St. Anne,CAN,France,World Cup,Snowboard Cross,7,360.00
15,Pereira Julia,Female,22-03-2024,Mt. St. Anne,CAN,France,Qualification,Snowboard Cross,12,
16,Pereira Julia,Female,17-03-2024,Montafon,AUT,France,World Cup,Snowboard Cross,11,240.00
17,Pereira Julia,Female,16-03-2024,Montafon,AUT,France,World Cup,Snowboard Cross,12,220.00
18,Pereira Julia,Female,15-03-2024,Montafon,AUT,France,Qualification,Snowboard Cross,8,
19,Pereira Julia,Female,09-03-2024,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,6,400.00
20,Pereira Julia,Female,08-03-2024,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,4,
21,Pereira Julia,Female,03-03-2024,Sierra Nevada,ESP,France,World Cup,Snowboard Cross,18,130.00
22,Pereira Julia,Female,02-03-2024,Sierra Nevada,ESP,France,World Cup,Snowboard Cross,15,160.00
23,Pereira Julia,Female,01-03-2024,Sierra Nevada,ESP,France,Qualification,Snowboard Cross,13,
24,Pereira Julia,Female,04-02-2024,Gudauri,GEO,France,World Cup,Snowboard Cross,15,160.00
25,Pereira Julia,Female,03-02-2024,Gudauri,GEO,France,World Cup,Snowboard Cross,15,160.00
26,Pereira Julia,Female,02-02-2024,Gudauri,GEO,France,Qualification,Snowboard Cross,10,
27,Pereira Julia,Female,26-01-2024,St. Moritz,SUI,France,World Cup,Snowboard Cross,7,360.00
28,Pereira Julia,Female,25-01-2024,St. Moritz,SUI,France,Qualification,Snowboard Cross,10,
29,Pereira Julia,Female,16-12-2023,Cervinia,ITA,France,World Cup,Snowboard Cross,10,260.00
30,Pereira Julia,Female,03-12-2023,Les Deux Alpes,FRA,France,Qualification,Snowboard Cross,5,
31,Pereira Julia,Female,03-12-2023,Les Deux Alpes,FRA,France,World Cup,Snowboard Cross,5,450.00
32,Pereira Julia,Female,01-10-2023,Corralco,CHI,France,South American Cup,Snowboard Cross,4,180.00
33,Pereira Julia,Female,30-09-2023,Corralco,CHI,France,South American Cup,Snowboard Cross,6,144.00
34,Pereira Julia,Female,16-12-2022,Cervinia,ITA,France,World Cup,Snowboard Cross,DNS1,
35,Pereira Julia,Female,15-12-2022,Cervinia,ITA,France,Qualification,Snowboard Cross,DNS1,
36,Pereira Julia,Female,04-12-2022,Les Deux Alpes,FRA,France,World Cup,Snowboard Cross,13,200.00
37,Pereira Julia,Female,02-12-2022,Les Deux Alpes,FRA,France,Qualification,Snowboard Cross,13,
38,Pereira Julia,Female,24-11-2022,Pitztal,AUT,France,European Cup,Snowboard Cross,DNS,
39,Pereira Julia,Female,24-11-2022,Pitztal,AUT,France,Qualification,Snowboard Cross,DNS,
40,Pereira Julia,Female,12-03-2022,Reiteralm,AUT,France,World Cup,Snowboard Cross,DNS,
41,Pereira Julia,Female,10-03-2022,Reiteralm,AUT,France,Qualification,Snowboard Cross,DNS,
42,Pereira Julia,Female,12-02-2022,Beijing,CHN,France,Olympic Winter Games,Snowboard Cross Team,9,
43,Pereira Julia,Female,09-02-2022,Beijing,CHN,France,Qualification,Snowboard Cross,6,
44,Pereira Julia,Female,09-02-2022,Beijing,CHN,France,Olympic Winter Games,Snowboard Cross,5,450.00
45,Pereira Julia,Female,29-01-2022,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,19,
46,Pereira Julia,Female,29-01-2022,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,19,120.00
47,Pereira Julia,Female,09-01-2022,Krasnoyarsk,RUS,France,World Cup,Snowboard Cross,25,60.00
48,Pereira Julia,Female,08-01-2022,Krasnoyarsk,RUS,France,World Cup,Snowboard Cross,20,110.00
49,Pereira Julia,Female,07-01-2022,Krasnoyarsk,RUS,France,Qualification,Snowboard Cross,20,
50,Pereira Julia,Female,20-03-2021,Veysonnaz,SUI,France,World Cup,Snowboard Cross,4,500.00
51,Pereira Julia,Female,05-03-2021,Bakuriani,GEO,France,World Cup,Snowboard Cross,8,320.00
52,Pereira Julia,Female,04-03-2021,Bakuriani,GEO,France,World Cup,Snowboard Cross,2,800.00
53,Pereira Julia,Female,03-03-2021,Bakuriani,GEO,France,Qualification,Snowboard Cross,7,
