,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Perlus Dov,Male,23-02-2025,Beaver Valley,CAN,Canada,FIS,Slopestyle,3,4.50
1,Perlus Dov,Male,01-02-2025,Blue Mountain,CAN,Canada,FIS,Slopestyle,2,4.90
2,Perlus Dov,Male,25-01-2025,Horseshoe Resort,CAN,Canada,FIS,Slopestyle,4,0.10
3,Perlus Dov,Male,11-01-2025,Mount St. Louis Moonstone,CAN,Canada,FIS,Slopestyle,1,10.00
4,Perlus Dov,Male,05-03-2024,Blue Mtn,CAN,Canada,National Junior Championships,Slopestyle,28,2.00
5,Perlus Dov,Male,02-03-2024,Blue Mtn,CAN,Canada,FIS,Slopestyle,3,11.40
6,Perlus Dov,Male,11-02-2024,Beaver Valley,CAN,Canada,FIS,Slopestyle,3,3.10
7,Perlus Dov,Male,10-02-2024,Beaver Valley,CAN,Canada,FIS,Slopestyle,4,2.20
8,Perlus Dov,Male,28-01-2024,Horseshoe Resort,CAN,Canada,FIS,Slopestyle,4,0.10
9,Perlus Dov,Male,27-01-2024,Horseshoe Resort,CAN,Canada,FIS,Slopestyle,1,10.00
