,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Perrone Giacomo,Male,23-03-2025,Moena-Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,41,3.64
1,Perrone Giacomo,Male,22-03-2025,Moena-Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,16,10.50
2,Perrone Giacomo,Male,21-03-2025,Moena-Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,40,1.66
3,Perrone Giacomo,Male,10-03-2025,Montafon,AUT,Italy,Junior Regional Cup,Snowboard Cross,23,8.80
4,Perrone Giacomo,Male,09-03-2025,Montafon,AUT,Italy,Junior Regional Cup,Snowboard Cross,28,4.40
5,Perrone Giacomo,Male,23-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,25,10.80
6,Perrone Giacomo,Male,22-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,51,2.74
7,Perrone Giacomo,Male,02-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,40,0.92
8,Perrone Giacomo,Male,01-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,42,0.90
9,Perrone Giacomo,Male,25-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,54,0.72
10,Perrone Giacomo,Male,24-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,38,0.96
11,Perrone Giacomo,Male,12-01-2025,Lenk,SUI,Italy,Junior Regional Cup,Snowboard Cross,61,1.46
12,Perrone Giacomo,Male,01-12-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,46,2.00
13,Perrone Giacomo,Male,30-11-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,67,1.25
14,Perrone Giacomo,Male,30-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,67,
