,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Petko Semen,Male,26-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Slalom,16,43.50
1,Petko Semen,Male,25-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Giant Slalom,DSQ,
2,Petko Semen,Male,17-12-2021,Chekeril,RUS,Russia,FIS,Parallel Giant Slalom,7,57.60
3,Petko Semen,Male,16-12-2021,Chekeril,RUS,Russia,FIS,Parallel Giant Slalom,10,41.60
4,Petko Semen,Male,14-12-2021,Nechkino,RUS,Russia,FIS,Parallel Slalom,4,80.00
5,Petko Semen,Male,13-12-2021,Nechkino,RUS,Russia,FIS,Parallel Slalom,3,90.00
6,Petko Semen,Male,26-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Slalom,33,5.28
7,Petko Semen,Male,25-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Giant Slalom,17,30.80
8,Petko Semen,Male,08-03-2020,Tauplitz,AUT,Russia,European Cup,Parallel Slalom,20,39.60
9,Petko Semen,Male,07-03-2020,Tauplitz,AUT,Russia,European Cup,Parallel Slalom,37,6.98
10,Petko Semen,Male,20-12-2019,Mountain Tumannaya,RUS,Russia,FIS,Parallel Slalom,4,25.00
11,Petko Semen,Male,19-12-2019,Mountain Tumannaya,RUS,Russia,FIS,Parallel Giant Slalom,4,25.00
12,Petko Semen,Male,04-03-2017,Rosa Khutor,RUS,Russia,FIS,Parallel GS,11,31.20
13,Petko Semen,Male,03-03-2017,Rosa Khutor,RUS,Russia,FIS,Parallel Slalom,16,
14,Petko Semen,Male,24-11-2016,Khanty-Mansiysk,RUS,Russia,FIS,Parallel Slalom,13,44.00
15,Petko Semen,Male,23-11-2016,Khanty-Mansiysk,RUS,Russia,FIS,Parallel GS,14,39.60
16,Petko Semen,Male,04-11-2016,Landgraaf,NED,Russia,European Cup,Parallel Slalom,36,7.09
17,Petko Semen,Male,03-11-2016,Landgraaf,NED,Russia,European Cup,Parallel Slalom,59,4.61
18,Petko Semen,Male,03-04-2016,Rogla,SLO,Russia,FIS Junior World Championships,Parallel Slalom,17,50.40
19,Petko Semen,Male,27-03-2016,Racines,ITA,Russia,European Cup,Parallel Slalom,37,8.73
20,Petko Semen,Male,26-03-2016,Racines,ITA,Russia,European Cup,Parallel Slalom,56,6.85
21,Petko Semen,Male,24-03-2016,Rogla,SLO,Russia,European Cup,Parallel Slalom,DSQ1,
22,Petko Semen,Male,23-03-2016,Rogla,SLO,Russia,European Cup,Parallel GS,49,7.90
23,Petko Semen,Male,11-03-2016,Chelyabinsk,RUS,Russia,FIS,Parallel Slalom,5,81.00
24,Petko Semen,Male,10-03-2016,Chelyabinsk,RUS,Russia,FIS,Parallel GS,6,72.00
25,Petko Semen,Male,28-11-2015,Abzakovo,RUS,Russia,FIS,Parallel Slalom,18,33.80
26,Petko Semen,Male,27-11-2015,Abzakovo,RUS,Russia,FIS,Parallel GS,16,39.00
