,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Pichelkastner Jessica,Female,23-02-2025,Funes - Vilnoessse,ITA,Austria,FIS,Parallel Giant Slalom,4,
1,Pichelkastner Jessica,Female,22-02-2025,Funes - Vilnoessse,ITA,Austria,FIS,Parallel Giant Slalom,3,
2,Pichelkastner Jessica,Female,09-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Slalom,8,92.80
3,Pichelkastner Jessica,Female,08-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Giant Slalom,13,58.00
4,Pichelkastner Jessica,Female,02-02-2025,Ratschings,ITA,Austria,European Cup,Parallel Slalom,12,70.40
5,Pichelkastner Jessica,Female,02-02-2025,Ratschings,ITA,Austria,Qualification,Parallel Slalom,11,
6,Pichelkastner Jessica,Female,01-02-2025,Ratschings,ITA,Austria,European Cup,Parallel Slalom,17,50.40
7,Pichelkastner Jessica,Female,01-02-2025,Ratschings,ITA,Austria,Qualification,Parallel Slalom,17,
8,Pichelkastner Jessica,Female,26-01-2025,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,23,28.80
9,Pichelkastner Jessica,Female,25-01-2025,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,11,57.60
10,Pichelkastner Jessica,Female,22-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,16,54.00
11,Pichelkastner Jessica,Female,21-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,21,36.00
12,Pichelkastner Jessica,Female,19-01-2025,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,40,
13,Pichelkastner Jessica,Female,19-01-2025,Bansko,BUL,Austria,World Cup,Parallel Giant Slalom,40,18.50
14,Pichelkastner Jessica,Female,18-01-2025,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,41,
15,Pichelkastner Jessica,Female,18-01-2025,Bansko,BUL,Austria,World Cup,Parallel Giant Slalom,41,18.20
16,Pichelkastner Jessica,Female,14-01-2025,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,35,
17,Pichelkastner Jessica,Female,14-01-2025,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,35,20.00
18,Pichelkastner Jessica,Female,11-01-2025,Folgaria,ITA,Austria,European Cup,Parallel Giant Slalom,18,31.20
19,Pichelkastner Jessica,Female,11-01-2025,Folgaria,ITA,Austria,Qualification,Parallel Giant Slalom,18,
20,Pichelkastner Jessica,Female,10-01-2025,Folgaria,ITA,Austria,European Cup,Parallel Giant Slalom,6,96.00
21,Pichelkastner Jessica,Female,10-01-2025,Folgaria,ITA,Austria,Qualification,Parallel Giant Slalom,5,
22,Pichelkastner Jessica,Female,20-12-2024,Moninec,CZE,Austria,European Cup,Parallel Slalom,8,76.80
23,Pichelkastner Jessica,Female,19-12-2024,Moninec,CZE,Austria,European Cup,Parallel Slalom,10,62.40
24,Pichelkastner Jessica,Female,15-12-2024,Götschen,GER,Austria,European Cup,Parallel Slalom,8,76.80
25,Pichelkastner Jessica,Female,14-12-2024,Götschen,GER,Austria,European Cup,Parallel Slalom,16,33.00
26,Pichelkastner Jessica,Female,17-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Slalom,32,9.36
27,Pichelkastner Jessica,Female,16-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Giant Slalom,15,57.60
28,Pichelkastner Jessica,Female,13-03-2024,Davos/Rinerhorn ,SUI,Austria,European Cup,Parallel Giant Slalom,10,62.40
29,Pichelkastner Jessica,Female,12-03-2024,Davos/Rinerhorn ,SUI,Austria,European Cup,Parallel Giant Slalom,2,288.00
30,Pichelkastner Jessica,Female,10-03-2024,Lenzerheide,SUI,Austria,European Cup,Parallel Slalom,11,57.60
31,Pichelkastner Jessica,Female,09-03-2024,Lenzerheide,SUI,Austria,European Cup,Parallel Slalom,14,43.20
32,Pichelkastner Jessica,Female,25-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,22,
33,Pichelkastner Jessica,Female,25-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,22,90.00
34,Pichelkastner Jessica,Female,24-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,37,
35,Pichelkastner Jessica,Female,24-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,37,
36,Pichelkastner Jessica,Female,10-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Slalom,12,63.80
37,Pichelkastner Jessica,Female,09-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Giant Slalom,8,92.80
38,Pichelkastner Jessica,Female,28-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom Team,22,
39,Pichelkastner Jessica,Female,27-01-2024,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,33,
40,Pichelkastner Jessica,Female,27-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom,33,
41,Pichelkastner Jessica,Female,24-01-2024,Pamporovo,BUL,Austria,European Cup,Parallel Slalom,17,40.60
42,Pichelkastner Jessica,Female,23-01-2024,Pamporovo,BUL,Austria,European Cup,Parallel Slalom,9,84.10
43,Pichelkastner Jessica,Female,21-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,17,
44,Pichelkastner Jessica,Female,21-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,17,140.00
45,Pichelkastner Jessica,Female,20-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,22,
46,Pichelkastner Jessica,Female,20-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,22,90.00
47,Pichelkastner Jessica,Female,17-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,13,
48,Pichelkastner Jessica,Female,16-01-2024,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,26,
49,Pichelkastner Jessica,Female,16-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,26,50.00
50,Pichelkastner Jessica,Female,12-01-2024,Folgaria,ITA,Austria,Qualification,Parallel Slalom,6,
51,Pichelkastner Jessica,Female,12-01-2024,Folgaria,ITA,Austria,European Cup,Parallel Slalom,13,48.00
52,Pichelkastner Jessica,Female,11-01-2024,Folgaria,ITA,Austria,Qualification,Parallel Slalom,9,
53,Pichelkastner Jessica,Female,11-01-2024,Folgaria,ITA,Austria,European Cup,Parallel Slalom,1,290.00
54,Pichelkastner Jessica,Female,22-12-2023,Moninec,CZE,Austria,FIS,Parallel Slalom,9,58.00
55,Pichelkastner Jessica,Female,21-12-2023,Moninec,CZE,Austria,FIS,Parallel Slalom,9,58.00
56,Pichelkastner Jessica,Female,20-12-2023,Moninec,CZE,Austria,European Cup,Parallel Slalom,18,33.80
57,Pichelkastner Jessica,Female,19-12-2023,Moninec,CZE,Austria,European Cup,Parallel Slalom,20,28.60
58,Pichelkastner Jessica,Female,09-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,24,
59,Pichelkastner Jessica,Female,09-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,24,25.20
60,Pichelkastner Jessica,Female,08-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,24,
61,Pichelkastner Jessica,Female,08-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,24,25.20
62,Pichelkastner Jessica,Female,02-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Slalom,4,145.00
63,Pichelkastner Jessica,Female,01-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Giant Slalom,17,40.60
64,Pichelkastner Jessica,Female,19-03-2023,Ratschings,ITA,Austria,European Cup,Parallel Slalom,DNS,
65,Pichelkastner Jessica,Female,18-03-2023,Ratschings,ITA,Austria,European Cup,Parallel Slalom,7,93.60
66,Pichelkastner Jessica,Female,12-03-2023,Davos,SUI,Austria,European Cup,Parallel Slalom,15,41.60
67,Pichelkastner Jessica,Female,11-03-2023,Davos,SUI,Austria,European Cup,Parallel Slalom,13,72.00
68,Pichelkastner Jessica,Female,05-03-2023,Zakopane,POL,Austria,European Cup,Parallel Giant Slalom,16,43.50
69,Pichelkastner Jessica,Female,04-03-2023,Zakopane,POL,Austria,European Cup,Parallel Giant Slalom,16,54.00
70,Pichelkastner Jessica,Female,12-02-2023,Funes - Vilnoess,ITA,Austria,FIS,Parallel Giant Slalom,9,58.00
71,Pichelkastner Jessica,Female,11-02-2023,Funes - Vilnoess,ITA,Austria,FIS,Parallel Giant Slalom,9,58.00
72,Pichelkastner Jessica,Female,05-02-2023,Gosau,AUT,Austria,FIS,Slalom,1,90.00
73,Pichelkastner Jessica,Female,04-02-2023,Gosau,AUT,Austria,FIS,Slalom,5,40.50
74,Pichelkastner Jessica,Female,04-02-2023,Gosau,AUT,Austria,FIS,Slalom,1,90.00
75,Pichelkastner Jessica,Female,29-01-2023,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,26,12.00
76,Pichelkastner Jessica,Female,29-01-2023,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,26,
77,Pichelkastner Jessica,Female,28-01-2023,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,11,57.60
78,Pichelkastner Jessica,Female,28-01-2023,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,11,
79,Pichelkastner Jessica,Female,22-01-2023,Gore Mountain,USA,Austria,Universiade,Parallel Slalom,DSQ,
80,Pichelkastner Jessica,Female,22-01-2023,Gore Mountain,USA,Austria,Qualification,Parallel Slalom,DSQ,
81,Pichelkastner Jessica,Female,21-01-2023,Gore Mountain,USA,Austria,Universiade,Parallel Giant Slalom,12,39.60
82,Pichelkastner Jessica,Female,21-01-2023,Gore Mountain,USA,Austria,Qualification,Parallel Giant Slalom,10,
83,Pichelkastner Jessica,Female,15-01-2023,Alleghe,ITA,Austria,European Cup,Parallel Slalom,12,48.40
84,Pichelkastner Jessica,Female,15-01-2023,Alleghe,ITA,Austria,Qualification,Parallel Slalom,11,
85,Pichelkastner Jessica,Female,14-01-2023,Alleghe,ITA,Austria,European Cup,Parallel Slalom,11,48.00
86,Pichelkastner Jessica,Female,14-01-2023,Alleghe,ITA,Austria,Qualification,Parallel Slalom,8,
87,Pichelkastner Jessica,Female,10-01-2023,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,27,
88,Pichelkastner Jessica,Female,10-01-2023,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,27,45.00
89,Pichelkastner Jessica,Female,18-12-2022,Hochfügen,GER,Austria,European Cup,Parallel Giant Slalom,9,58.00
90,Pichelkastner Jessica,Female,18-12-2022,Hochfügen,GER,Austria,Qualification,Parallel Giant Slalom,9,
91,Pichelkastner Jessica,Female,17-12-2022,Hochfügen,GER,Austria,European Cup,Parallel Giant Slalom,19,24.00
92,Pichelkastner Jessica,Female,01-04-2022,Chiesa in Valmalenco,ITA,Austria,FIS Junior World Championships,Parallel Slalom,29,12.96
93,Pichelkastner Jessica,Female,31-03-2022,Chiesa in Valmalenco,ITA,Austria,FIS Junior World Championships,Parallel Giant Slalom,15,57.60
94,Pichelkastner Jessica,Female,27-03-2022,Villach / Gerlitzen,AUT,Austria,National Championships,Parallel Slalom,8,92.80
95,Pichelkastner Jessica,Female,26-03-2022,Villach / Gerlitzen,AUT,Austria,National Championships,Parallel Giant Slalom,10,75.40
96,Pichelkastner Jessica,Female,20-03-2022,Senales - Schnals,ITA,Austria,Junior,Parallel Slalom,19,
97,Pichelkastner Jessica,Female,19-03-2022,Senales - Schnals,ITA,Austria,Junior,Parallel Slalom,3,84.00
98,Pichelkastner Jessica,Female,17-03-2022,Rogla,SLO,Austria,European Cup,Parallel Giant Slalom,24,25.20
