,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Pirolli Ugo,Male,11-01-2025,Prato Nevoso,ITA,France,European Cup,Slopestyle,27,23.40
1,Pirolli Ugo,Male,06-01-2025,Font Romeu,FRA,France,FIS,Rail Event,17,6.80
2,Pirolli Ugo,Male,05-01-2025,Font Romeu,FRA,France,European Cup Premium,Slopestyle,45,11.70
3,Pirolli Ugo,Male,15-03-2024,Laax,SUI,France,Junior,Slopestyle,DNS,
4,Pirolli Ugo,Male,12-03-2024,Laax,SUI,France,European Cup Premium,Slopestyle,90,2.20
5,Pirolli Ugo,Male,25-02-2024,Font Romeu,FRA,France,Junior,Slopestyle,8,19.60
6,Pirolli Ugo,Male,03-04-2023,Isola 2000,FRA,France,National Championships,Slopestyle,6,39.80
7,Pirolli Ugo,Male,01-04-2023,Isola 2000,FRA,France,National Championships,Big Air,5,57.40
8,Pirolli Ugo,Male,08-02-2023,Font Romeu,FRA,France,Junior,Slopestyle,20,7.90
9,Pirolli Ugo,Male,29-01-2023,Leysin,SUI,France,FIS,Slopestyle,26,0.10
