,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Pitonakova Dorota,Female,08-02-2025,Dolni Morava,CZE,Slovakia,National Championships,Snowboard Cross,6,
1,Pitonakova Dorota,Female,02-02-2025,St. Lary,FRA,Slovakia,National Championships,Snowboard Cross,16,27.00
2,Pitonakova Dorota,Female,31-01-2025,St. Lary,FRA,Slovakia,European Cup,Snowboard Cross,22,23.40
3,Pitonakova Dorota,Female,25-01-2025,Passo San Pellegrino,ITA,Slovakia,FIS,Snowboard Cross,15,20.80
4,Pitonakova Dorota,Female,24-01-2025,Passo San Pellegrino,ITA,Slovakia,FIS,Snowboard Cross,13,26.00
5,Pitonakova Dorota,Female,12-01-2025,Lenk,SUI,Slovakia,Junior Regional Cup,Snowboard Cross,28,7.20
6,Pitonakova Dorota,Female,01-12-2024,Pitztal,AUT,Slovakia,Junior,Snowboard Cross,22,19.80
7,Pitonakova Dorota,Female,30-11-2024,Pitztal,AUT,Slovakia,Qualification,Snowboard Cross,22,
8,Pitonakova Dorota,Female,30-11-2024,Pitztal,AUT,Slovakia,Junior,Snowboard Cross,22,19.80
9,Pitonakova Dorota,Female,07-04-2024,Gudauri,GEO,Slovakia,FIS Junior World Championships,Snowboard Cross Team,17,
10,Pitonakova Dorota,Female,06-04-2024,Gudauri,GEO,Slovakia,FIS Junior World Championships,Snowboard Cross,15,57.60
11,Pitonakova Dorota,Female,05-04-2024,Gudauri,GEO,Slovakia,Qualification,Snowboard Cross,20,
12,Pitonakova Dorota,Female,22-03-2024,Lenk,SUI,Slovakia,European Cup,Snowboard Cross,30,
13,Pitonakova Dorota,Female,21-03-2024,Lenk,SUI,Slovakia,European Cup,Snowboard Cross,33,
14,Pitonakova Dorota,Female,12-03-2024,Isola 2000,FRA,Slovakia,Junior,Snowboard Cross,9,26.10
15,Pitonakova Dorota,Female,11-03-2024,Isola 2000,FRA,Slovakia,Junior,Snowboard Cross,19,26.40
16,Pitonakova Dorota,Female,01-03-2024,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,8,32.00
17,Pitonakova Dorota,Female,29-02-2024,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,7,25.20
18,Pitonakova Dorota,Female,03-02-2024,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,8,48.00
19,Pitonakova Dorota,Female,02-02-2024,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,19,24.00
20,Pitonakova Dorota,Female,01-02-2024,Dolni Morava,CZE,Slovakia,European Cup,Snowboard Cross,40,
21,Pitonakova Dorota,Female,31-01-2024,Dolni Morava,CZE,Slovakia,European Cup,Snowboard Cross,36,5.71
22,Pitonakova Dorota,Female,28-01-2024,Grasgehren,GER,Slovakia,Junior,Snowboard Cross,3,30.00
23,Pitonakova Dorota,Female,27-01-2024,Grasgehren,GER,Slovakia,Junior,Snowboard Cross,4,25.00
24,Pitonakova Dorota,Female,21-01-2024,Gangwon/Welli Hilli,KOR,Slovakia,Youth Olympic Winter Games,Snowboard Cross Team,12,
25,Pitonakova Dorota,Female,20-01-2024,Gangwon/Welli Hilli,KOR,Slovakia,Youth Olympic Winter Games,Snowboard Cross,16,43.50
26,Pitonakova Dorota,Female,17-12-2023,Reiteralm,AUT,Slovakia,Junior,Snowboard Cross,14,18.00
27,Pitonakova Dorota,Female,09-12-2023,Pitztal,AUT,Slovakia,Junior,Snowboard Cross,18,19.50
28,Pitonakova Dorota,Female,30-03-2023,Passo San Pellegrino,ITA,Slovakia,FIS Junior World Championships,Snowboard Cross,40,6.66
29,Pitonakova Dorota,Female,19-03-2023,Passo San Pellegrino,ITA,Slovakia,FIS,Snowboard Cross,25,9.00
30,Pitonakova Dorota,Female,18-03-2023,Passo San Pellegrino,ITA,Slovakia,FIS,Snowboard Cross,26,8.00
31,Pitonakova Dorota,Female,05-02-2023,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,21,10.00
32,Pitonakova Dorota,Female,04-02-2023,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,27,4.50
33,Pitonakova Dorota,Female,03-02-2023,Dolni Morava,CZE,Slovakia,FIS,Snowboard Cross,9,29.00
