,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Piwowarczyk Natasza,Female,16-03-2025,Davos,SUI,Poland,Qualification,Parallel Slalom,29,
1,Piwowarczyk Natasza,Female,16-03-2025,Davos,SUI,Poland,European Cup,Parallel Slalom,29,10.44
2,Piwowarczyk Natasza,Female,15-03-2025,Davos,SUI,Poland,Qualification,Parallel Slalom,25,
3,Piwowarczyk Natasza,Female,15-03-2025,Davos,SUI,Poland,European Cup,Parallel Slalom,25,17.40
4,Piwowarczyk Natasza,Female,02-03-2025,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,43,17.60
5,Piwowarczyk Natasza,Female,02-03-2025,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,43,
6,Piwowarczyk Natasza,Female,01-03-2025,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,42,
7,Piwowarczyk Natasza,Female,01-03-2025,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,42,17.90
8,Piwowarczyk Natasza,Female,21-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Slalom,DSQ,
9,Piwowarczyk Natasza,Female,20-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Giant Slalom,5,130.50
10,Piwowarczyk Natasza,Female,22-01-2025,Bardonecchia,ITA,Poland,Universiade,Parallel Slalom,12,48.40
11,Piwowarczyk Natasza,Female,21-01-2025,Bardonecchia,ITA,Poland,Universiade,Parallel Giant Slalom,11,52.80
12,Piwowarczyk Natasza,Female,22-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,11,43.20
13,Piwowarczyk Natasza,Female,21-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,16,24.00
14,Piwowarczyk Natasza,Female,20-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,28,9.60
15,Piwowarczyk Natasza,Female,19-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,32,6.24
16,Piwowarczyk Natasza,Female,23-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Slalom,28,
17,Piwowarczyk Natasza,Female,23-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Slalom,28,9.60
18,Piwowarczyk Natasza,Female,22-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Giant Slalom,23,
19,Piwowarczyk Natasza,Female,22-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Giant Slalom,23,19.20
20,Piwowarczyk Natasza,Female,17-03-2024,St. Moritz,SUI,Poland,European Cup,Parallel Slalom,29,12.96
21,Piwowarczyk Natasza,Female,16-03-2024,St. Moritz,SUI,Poland,European Cup,Parallel Giant Slalom,40,6.66
22,Piwowarczyk Natasza,Female,13-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,24,16.80
23,Piwowarczyk Natasza,Female,12-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,24,25.20
24,Piwowarczyk Natasza,Female,25-02-2024,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,35,20.00
25,Piwowarczyk Natasza,Female,25-02-2024,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,35,
26,Piwowarczyk Natasza,Female,24-02-2024,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,33,24.00
27,Piwowarczyk Natasza,Female,24-02-2024,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,33,
28,Piwowarczyk Natasza,Female,10-02-2024,Hochficht/Zwiesel,AUT,Poland,National Championships,Parallel Slalom,22,26.10
29,Piwowarczyk Natasza,Female,09-02-2024,Hochficht/Zwiesel,AUT,Poland,National Championships,Parallel Giant Slalom,20,31.90
30,Piwowarczyk Natasza,Female,04-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,13,28.00
31,Piwowarczyk Natasza,Female,03-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,8,44.80
32,Piwowarczyk Natasza,Female,07-01-2024,Dolni Morava,CZE,Poland,National Championships,Parallel Giant Slalom,10,57.20
33,Piwowarczyk Natasza,Female,06-01-2024,Dolni Morava,CZE,Poland,National Championships,Parallel Slalom,9,63.80
34,Piwowarczyk Natasza,Female,05-01-2024,Simonhöhe,AUT,Poland,Junior,Parallel Giant Slalom,15,22.40
35,Piwowarczyk Natasza,Female,05-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,27,13.05
36,Piwowarczyk Natasza,Female,04-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,26,18.00
37,Piwowarczyk Natasza,Female,27-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,9,46.40
38,Piwowarczyk Natasza,Female,26-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,8,51.20
39,Piwowarczyk Natasza,Female,25-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,7,57.60
40,Piwowarczyk Natasza,Female,22-01-2023,Gore Mountain,USA,Poland,Qualification,Parallel Slalom,16,
41,Piwowarczyk Natasza,Female,22-01-2023,Gore Mountain,USA,Poland,Universiade,Parallel Slalom,16,27.00
