,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Podda Federico,Male,23-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,5,81.00
1,Podda Federico,Male,22-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,14,32.40
2,Podda Federico,Male,15-02-2025,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,56,13.70
3,Podda Federico,Male,15-02-2025,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,56,
4,Podda Federico,Male,09-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,20,22.00
5,Podda Federico,Male,08-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,6,80.00
6,Podda Federico,Male,31-01-2025,St. Lary,FRA,Italy,European Cup,Snowboard Cross,26,9.00
7,Podda Federico,Male,24-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,8,57.60
8,Podda Federico,Male,23-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,10,52.00
9,Podda Federico,Male,14-01-2025,Bardonecchia,ITA,Italy,Universiade,Snowboard Cross,12,48.40
10,Podda Federico,Male,14-12-2024,Cervinia,ITA,Italy,World Cup,Snowboard Cross,64,
11,Podda Federico,Male,13-12-2024,Cervinia,ITA,Italy,Qualification,Snowboard Cross,64,
12,Podda Federico,Male,27-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,48,
13,Podda Federico,Male,27-11-2024,Pitztal,AUT,Italy,European Cup,Snowboard Cross,47,5.90
14,Podda Federico,Male,06-04-2024,Gudauri,GEO,Italy,FIS Junior World Championships,Snowboard Cross,18,46.80
15,Podda Federico,Male,05-04-2024,Gudauri,GEO,Italy,Qualification,Snowboard Cross,13,
16,Podda Federico,Male,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,18,37.70
17,Podda Federico,Male,22-03-2024,Lenk,SUI,Italy,European Cup,Snowboard Cross,30,7.68
18,Podda Federico,Male,21-03-2024,Lenk,SUI,Italy,European Cup,Snowboard Cross,25,14.40
19,Podda Federico,Male,14-03-2024,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,10,52.00
20,Podda Federico,Male,13-03-2024,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,2,160.00
21,Podda Federico,Male,11-03-2024,Isola 2000,FRA,Italy,Junior,Snowboard Cross,5,67.50
22,Podda Federico,Male,09-03-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,69,
23,Podda Federico,Male,08-03-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,69,
24,Podda Federico,Male,25-02-2024,Grasgehren,GER,Italy,European Cup,Snowboard Cross,14,52.20
25,Podda Federico,Male,24-02-2024,Grasgehren,GER,Italy,European Cup,Snowboard Cross,17,44.80
26,Podda Federico,Male,17-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,26,12.00
27,Podda Federico,Male,16-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,4,120.00
28,Podda Federico,Male,06-02-2024,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,14,36.00
29,Podda Federico,Male,05-02-2024,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,24,14.00
30,Podda Federico,Male,01-02-2024,Dolni Morava,CZE,Italy,European Cup,Snowboard Cross,10,57.20
31,Podda Federico,Male,31-01-2024,Dolni Morava,CZE,Italy,European Cup,Snowboard Cross,18,28.60
32,Podda Federico,Male,28-01-2024,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,39,3.76
33,Podda Federico,Male,27-01-2024,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,16,30.00
34,Podda Federico,Male,09-12-2023,Pitztal,AUT,Italy,Junior,Snowboard Cross,19,12.00
35,Podda Federico,Male,03-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Junior Championships,Snowboard Cross,6,52.00
36,Podda Federico,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,27,13.05
37,Podda Federico,Male,31-03-2023,Passo San Pellegrino,ITA,Italy,FIS Junior World Championships,Snowboard Cross Team,17,
38,Podda Federico,Male,30-03-2023,Passo San Pellegrino,ITA,Italy,FIS Junior World Championships,Snowboard Cross,33,7.68
39,Podda Federico,Male,23-03-2023,Gargellen,AUT,Italy,European Cup,Snowboard Cross,18,31.20
40,Podda Federico,Male,22-03-2023,Gargellen,AUT,Italy,European Cup,Snowboard Cross,15,41.60
41,Podda Federico,Male,19-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,7,64.80
42,Podda Federico,Male,18-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,11,43.20
43,Podda Federico,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,9,84.10
