,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Poltorak Karolina,Female,21-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Slalom,1,110.00
1,Poltorak Karolina,Female,20-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Giant Slalom,4,145.00
2,Poltorak Karolina,Female,09-02-2025,Simonhoehe,AUT,Poland,National Championships,Parallel Slalom,22,26.10
3,Poltorak Karolina,Female,08-02-2025,Simonhoehe,AUT,Poland,National Championships,Parallel Giant Slalom,2,232.00
4,Poltorak Karolina,Female,19-01-2025,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,5,31.50
5,Poltorak Karolina,Female,18-01-2025,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,4,35.00
6,Poltorak Karolina,Female,22-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,31,
7,Poltorak Karolina,Female,21-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,18,20.80
8,Poltorak Karolina,Female,20-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,25,14.40
9,Poltorak Karolina,Female,19-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,27,10.80
10,Poltorak Karolina,Female,07-04-2024,Samnaun,SUI,Poland,National Championships,Giant Slalom,DSQ,
11,Poltorak Karolina,Female,06-04-2024,Samnaun,SUI,Poland,National Championships,Parallel Slalom,11,69.60
12,Poltorak Karolina,Female,23-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Slalom,21,24.00
13,Poltorak Karolina,Female,23-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Slalom,21,
14,Poltorak Karolina,Female,22-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Giant Slalom,27,
15,Poltorak Karolina,Female,22-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Giant Slalom,27,10.80
16,Poltorak Karolina,Female,17-03-2024,St. Moritz,SUI,Poland,European Cup,Parallel Slalom,33,8.64
17,Poltorak Karolina,Female,16-03-2024,St. Moritz,SUI,Poland,European Cup,Parallel Giant Slalom,45,6.12
18,Poltorak Karolina,Female,13-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,21,24.00
19,Poltorak Karolina,Female,12-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,26,18.00
20,Poltorak Karolina,Female,25-02-2024,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,34,22.00
21,Poltorak Karolina,Female,25-02-2024,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,34,
22,Poltorak Karolina,Female,24-02-2024,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,30,
23,Poltorak Karolina,Female,24-02-2024,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,30,32.00
24,Poltorak Karolina,Female,10-02-2024,Hochficht/Zwiesel,AUT,Poland,National Championships,Parallel Slalom,DSQ,
25,Poltorak Karolina,Female,09-02-2024,Hochficht/Zwiesel,AUT,Poland,National Championships,Parallel Giant Slalom,27,
26,Poltorak Karolina,Female,04-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,15,22.40
27,Poltorak Karolina,Female,03-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,17,19.60
28,Poltorak Karolina,Female,24-01-2024,Pamporovo,BUL,Poland,European Cup,Parallel Slalom,22,
29,Poltorak Karolina,Female,23-01-2024,Pamporovo,BUL,Poland,European Cup,Parallel Slalom,26,
30,Poltorak Karolina,Female,06-01-2024,Dolni Morava,CZE,Poland,National Championships,Parallel Slalom,DNS,
31,Poltorak Karolina,Female,21-12-2023,Moninec,CZE,Poland,FIS,Parallel Slalom,22,18.00
32,Poltorak Karolina,Female,20-12-2023,Moninec,CZE,Poland,European Cup,Parallel Slalom,31,7.28
33,Poltorak Karolina,Female,19-12-2023,Moninec,CZE,Poland,European Cup,Parallel Slalom,46,
34,Poltorak Karolina,Female,10-12-2023,Götschen,GER,Poland,Junior,Parallel Slalom,20,17.60
35,Poltorak Karolina,Female,09-12-2023,Götschen,GER,Poland,Qualification,Parallel Slalom,25,
36,Poltorak Karolina,Female,09-12-2023,Götschen,GER,Poland,European Cup,Parallel Slalom,25,21.60
37,Poltorak Karolina,Female,08-12-2023,Götschen,GER,Poland,Qualification,Parallel Slalom,37,
38,Poltorak Karolina,Female,08-12-2023,Götschen,GER,Poland,European Cup,Parallel Slalom,37,6.98
39,Poltorak Karolina,Female,25-03-2023,Bansko,BUL,Poland,FIS Junior World Championships,Parallel Slalom,23,28.80
40,Poltorak Karolina,Female,25-03-2023,Bansko,BUL,Poland,Qualification,Parallel Slalom,23,
41,Poltorak Karolina,Female,24-03-2023,Bansko,BUL,Poland,FIS Junior World Championships,Parallel Giant Slalom,21,36.00
42,Poltorak Karolina,Female,24-03-2023,Bansko,BUL,Poland,Qualification,Parallel Giant Slalom,21,
43,Poltorak Karolina,Female,12-03-2023,Davos,SUI,Poland,European Cup,Parallel Slalom,20,28.60
44,Poltorak Karolina,Female,11-03-2023,Davos,SUI,Poland,European Cup,Parallel Slalom,23,28.80
45,Poltorak Karolina,Female,05-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,26,14.50
46,Poltorak Karolina,Female,04-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,33,8.64
47,Poltorak Karolina,Female,27-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,6,64.00
48,Poltorak Karolina,Female,26-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,4,80.00
49,Poltorak Karolina,Female,25-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,5,72.00
50,Poltorak Karolina,Female,29-01-2023,Simonhöhe,AUT,Poland,Qualification,Parallel Giant Slalom,37,
51,Poltorak Karolina,Female,29-01-2023,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,37,4.66
52,Poltorak Karolina,Female,28-01-2023,Simonhöhe,AUT,Poland,Qualification,Parallel Giant Slalom,36,
53,Poltorak Karolina,Female,28-01-2023,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,36,4.73
54,Poltorak Karolina,Female,15-01-2023,Alleghe,ITA,Poland,European Cup,Parallel Slalom,15,35.20
55,Poltorak Karolina,Female,15-01-2023,Alleghe,ITA,Poland,Qualification,Parallel Slalom,15,
56,Poltorak Karolina,Female,14-01-2023,Alleghe,ITA,Poland,Qualification,Parallel Slalom,20,
