,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Popadych Oleksandr,Male,04-03-2025,Zakopane/Suche,POL,Ukraine,FIS Junior World Championships,Parallel Giant Slalom,12,
1,Popadych Oleksandr,Male,04-03-2025,Zakopane/Suche,POL,Ukraine,Qualification,Parallel Giant Slalom,12,
2,Popadych Oleksandr,Male,04-02-2025,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,DSQ,
3,Popadych Oleksandr,Male,03-02-2025,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,4,35.00
4,Popadych Oleksandr,Male,26-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,41,5.82
5,Popadych Oleksandr,Male,25-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,4,90.00
6,Popadych Oleksandr,Male,22-01-2025,Bardonecchia,ITA,Ukraine,Universiade,Parallel Slalom,7,93.60
7,Popadych Oleksandr,Male,21-01-2025,Bardonecchia,ITA,Ukraine,Universiade,Parallel Giant Slalom,15,41.60
8,Popadych Oleksandr,Male,11-01-2025,Folgaria,ITA,Ukraine,Qualification,Parallel Giant Slalom,15,
9,Popadych Oleksandr,Male,11-01-2025,Folgaria,ITA,Ukraine,European Cup,Parallel Giant Slalom,15,28.80
10,Popadych Oleksandr,Male,10-01-2025,Folgaria,ITA,Ukraine,Qualification,Parallel Giant Slalom,11,
11,Popadych Oleksandr,Male,10-01-2025,Folgaria,ITA,Ukraine,European Cup,Parallel Giant Slalom,11,43.20
12,Popadych Oleksandr,Male,22-12-2024,Moninec,CZE,Ukraine,FIS,Parallel Slalom,7,57.60
13,Popadych Oleksandr,Male,21-12-2024,Moninec,CZE,Ukraine,FIS,Parallel Slalom,37,3.10
14,Popadych Oleksandr,Male,20-12-2024,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,44,3.11
15,Popadych Oleksandr,Male,19-12-2024,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,34,4.40
16,Popadych Oleksandr,Male,15-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,43,4.22
17,Popadych Oleksandr,Male,14-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,28,6.40
18,Popadych Oleksandr,Male,23-03-2024,Lachtal,AUT,Ukraine,FIS Junior World Championships,Parallel Slalom,32,6.24
19,Popadych Oleksandr,Male,23-03-2024,Lachtal,AUT,Ukraine,Qualification,Parallel Slalom,32,
20,Popadych Oleksandr,Male,22-03-2024,Lachtal,AUT,Ukraine,FIS Junior World Championships,Parallel Giant Slalom,32,5.76
21,Popadych Oleksandr,Male,22-03-2024,Lachtal,AUT,Ukraine,Qualification,Parallel Giant Slalom,32,
22,Popadych Oleksandr,Male,13-03-2024,Davos/Rinerhorn ,SUI,Ukraine,European Cup,Parallel Giant Slalom,26,18.00
23,Popadych Oleksandr,Male,12-03-2024,Davos/Rinerhorn ,SUI,Ukraine,European Cup,Parallel Giant Slalom,35,7.20
24,Popadych Oleksandr,Male,10-03-2024,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,16,27.00
25,Popadych Oleksandr,Male,09-03-2024,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,15,28.80
26,Popadych Oleksandr,Male,14-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,DSQ,
27,Popadych Oleksandr,Male,13-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,4,50.00
28,Popadych Oleksandr,Male,28-01-2024,Nova Levante - Welschnofen,ITA,Ukraine,FIS,Parallel Giant Slalom,DSQ,
29,Popadych Oleksandr,Male,27-01-2024,Nova Levante - Welschnofen,ITA,Ukraine,FIS,Parallel Giant Slalom,28,5.20
30,Popadych Oleksandr,Male,24-01-2024,Pamporovo,BUL,Ukraine,European Cup,Parallel Slalom,18,28.60
31,Popadych Oleksandr,Male,23-01-2024,Pamporovo,BUL,Ukraine,European Cup,Parallel Slalom,26,11.00
32,Popadych Oleksandr,Male,22-12-2023,Moninec,CZE,Ukraine,Junior,Parallel Slalom,DSQ,
33,Popadych Oleksandr,Male,21-12-2023,Moninec,CZE,Ukraine,Junior,Parallel Slalom,16,15.00
34,Popadych Oleksandr,Male,10-12-2023,Götschen,GER,Ukraine,Junior,Parallel Slalom,24,9.10
35,Popadych Oleksandr,Male,14-02-2023,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,10,31.20
36,Popadych Oleksandr,Male,13-02-2023,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,9,34.80
37,Popadych Oleksandr,Male,23-01-2022,Bukovel,UKR,Ukraine,European Cup,Parallel Giant Slalom,40,4.81
38,Popadych Oleksandr,Male,22-01-2022,Bukovel,UKR,Ukraine,European Cup,Parallel Giant Slalom,DSQ,
39,Popadych Oleksandr,Male,20-01-2022,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,35,4.40
40,Popadych Oleksandr,Male,19-01-2022,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,25,14.40
41,Popadych Oleksandr,Male,15-01-2022,Goetschen,GER,Ukraine,Junior,Parallel Slalom,19,8.40
42,Popadych Oleksandr,Male,09-01-2022,Haus im Ennstal,AUT,Ukraine,Junior,Parallel Giant Slalom,15,16.00
43,Popadych Oleksandr,Male,08-01-2022,Haus im Ennstal,AUT,Ukraine,Junior,Parallel Giant Slalom,21,10.00
44,Popadych Oleksandr,Male,21-12-2021,Moninec,CZE,Ukraine,Junior,Parallel Slalom,10,13.00
45,Popadych Oleksandr,Male,20-12-2021,Moninec,CZE,Ukraine,Junior,Parallel Slalom,21,
46,Popadych Oleksandr,Male,19-12-2021,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,37,4.27
47,Popadych Oleksandr,Male,18-12-2021,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,DSQ,
48,Popadych Oleksandr,Male,12-12-2021,Götschen,GER,Ukraine,European Cup,Parallel Slalom,39,4.14
49,Popadych Oleksandr,Male,11-12-2021,Götschen,GER,Ukraine,European Cup,Parallel Slalom,DSQ,
