,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Poppe Evy,Female,28-03-2025,Engadin,SUI,Belgium,World Championships,Big Air,22,
1,Poppe Evy,Female,26-03-2025,Engadin,SUI,Belgium,Qualification,Big Air,22,
2,Poppe Evy,Female,21-03-2025,Engadin,SUI,Belgium,World Championships,Slopestyle,24,60.70
3,Poppe Evy,Female,20-03-2025,Engadin,SUI,Belgium,Qualification,Slopestyle,24,
4,Poppe Evy,Female,14-03-2025,Flachau,AUT,Belgium,World Cup,Slopestyle,14,174.30
5,Poppe Evy,Female,13-03-2025,Flachau,AUT,Belgium,Qualification,Slopestyle,6,
6,Poppe Evy,Female,06-03-2025,Prato Nevoso,ITA,Belgium,National Championships,Big Air,3,0.30
7,Poppe Evy,Female,05-03-2025,Prato Nevoso,ITA,Belgium,European Cup,Big Air,3,21.30
8,Poppe Evy,Female,22-02-2025,Calgary,CAN,Belgium,World Cup,Slopestyle,10,198.90
9,Poppe Evy,Female,20-02-2025,Calgary,CAN,Belgium,Qualification,Slopestyle,10,
10,Poppe Evy,Female,06-02-2025,Aspen,USA,Belgium,World Cup,Big Air,14,136.70
11,Poppe Evy,Female,05-02-2025,Aspen,USA,Belgium,Qualification,Big Air,14,
12,Poppe Evy,Female,02-02-2025,Aspen,USA,Belgium,World Cup,Slopestyle,20,92.60
13,Poppe Evy,Female,31-01-2025,Aspen,USA,Belgium,Qualification,Slopestyle,20,
14,Poppe Evy,Female,18-01-2025,Laax,SUI,Belgium,World Cup,Slopestyle,25,51.80
15,Poppe Evy,Female,16-01-2025,Laax,SUI,Belgium,Qualification,Slopestyle,25,
16,Poppe Evy,Female,11-01-2025,Kreischberg,AUT,Belgium,World Cup,Big Air,24,39.00
17,Poppe Evy,Female,09-01-2025,Kreischberg,AUT,Belgium,Qualification,Big Air,24,
18,Poppe Evy,Female,05-01-2025,Klagenfurt,AUT,Belgium,World Cup,Big Air,20,27.20
19,Poppe Evy,Female,03-01-2025,Klagenfurt,AUT,Belgium,Qualification,Big Air,20,
20,Poppe Evy,Female,19-10-2024,Chur,SUI,Belgium,World Cup,Big Air,17,125.80
21,Poppe Evy,Female,02-09-2024,Cardrona,NZL,Belgium,World Cup,Slopestyle,14,170.80
22,Poppe Evy,Female,31-08-2024,Cardrona,NZL,Belgium,Qualification,Slopestyle,14,
23,Poppe Evy,Female,14-04-2024,Corvatsch,SUI,Belgium,European Cup Premium,Big Air,8,153.50
