,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Powell Drew,Male,21-03-2025,Montafon,AUT,Latvia,World Cup,Snowboard Cross,53,
1,Powell Drew,Male,20-03-2025,Montafon,AUT,Latvia,Qualification,Snowboard Cross,53,
2,Powell Drew,Male,09-03-2025,Gudauri,GEO,Latvia,World Cup,Snowboard Cross,41,18.20
3,Powell Drew,Male,08-03-2025,Gudauri,GEO,Latvia,World Cup,Snowboard Cross,39,18.80
4,Powell Drew,Male,07-03-2025,Gudauri,GEO,Latvia,Qualification,Snowboard Cross,39,
5,Powell Drew,Male,01-03-2025,Erzurum,TUR,Latvia,World Cup,Snowboard Cross,55,
6,Powell Drew,Male,28-02-2025,Erzurum,TUR,Latvia,Qualification,Snowboard Cross,55,
7,Powell Drew,Male,27-11-2024,Pitztal,AUT,Latvia,Qualification,Snowboard Cross,50,
8,Powell Drew,Male,27-11-2024,Pitztal,AUT,Latvia,European Cup,Snowboard Cross,50,5.58
9,Powell Drew,Male,18-08-2024,Mt Hotham,AUS,Latvia,Australian New Zealand Cup,Snowboard Cross,3,216.00
10,Powell Drew,Male,17-08-2024,Mt Hotham,AUS,Latvia,Australian New Zealand Cup,Snowboard Cross,6,144.00
11,Powell Drew,Male,15-08-2024,Mt Hotham,AUS,Latvia,Australian New Zealand Cup,Snowboard Cross,7,129.60
12,Powell Drew,Male,17-03-2024,Montafon,AUT,Latvia,World Cup,Snowboard Cross,59,
13,Powell Drew,Male,16-03-2024,Montafon,AUT,Latvia,World Cup,Snowboard Cross,54,14.30
14,Powell Drew,Male,15-03-2024,Montafon,AUT,Latvia,Qualification,Snowboard Cross,54,
15,Powell Drew,Male,09-03-2024,Cortina d'Ampezzo,ITA,Latvia,World Cup,Snowboard Cross,DNF2,
16,Powell Drew,Male,08-03-2024,Cortina d'Ampezzo,ITA,Latvia,Qualification,Snowboard Cross,DNF2,
17,Powell Drew,Male,02-03-2024,St. Moritz,SUI,Latvia,FIS,Snowboard Cross,2,112.00
18,Powell Drew,Male,25-02-2024,Grasgehren,GER,Latvia,European Cup,Snowboard Cross,35,5.80
19,Powell Drew,Male,24-02-2024,Grasgehren,GER,Latvia,European Cup,Snowboard Cross,54,4.58
20,Powell Drew,Male,17-02-2024,Colere,ITA,Latvia,European Cup,Snowboard Cross,22,21.60
21,Powell Drew,Male,16-02-2024,Colere,ITA,Latvia,European Cup,Snowboard Cross,54,3.43
22,Powell Drew,Male,06-02-2024,Reiteralm,AUT,Latvia,European Cup,Snowboard Cross,41,3.64
23,Powell Drew,Male,05-02-2024,Reiteralm,AUT,Latvia,European Cup,Snowboard Cross,47,3.28
24,Powell Drew,Male,03-02-2024,Dolni Morava,CZE,Latvia,FIS,Snowboard Cross,1,70.00
25,Powell Drew,Male,02-02-2024,Dolni Morava,CZE,Latvia,FIS,Snowboard Cross,1,70.00
26,Powell Drew,Male,01-02-2024,Dolni Morava,CZE,Latvia,European Cup,Snowboard Cross,15,35.20
27,Powell Drew,Male,31-01-2024,Dolni Morava,CZE,Latvia,European Cup,Snowboard Cross,7,79.20
28,Powell Drew,Male,28-01-2024,Puy St. Vincent,FRA,Latvia,European Cup,Snowboard Cross,41,3.64
29,Powell Drew,Male,27-01-2024,Puy St. Vincent,FRA,Latvia,European Cup,Snowboard Cross,55,
