,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Prantl Ole-mikkel,Male,16-02-2025,Val St. Come,CAN,Germany,Qualification,Parallel Giant Slalom,12,
1,Prantl Ole-mikkel,Male,16-02-2025,Val St. Come,CAN,Germany,World Cup,Parallel Giant Slalom,8,320.00
2,Prantl Ole-mikkel,Male,15-02-2025,Val St. Come,CAN,Germany,Qualification,Parallel Giant Slalom,30,
3,Prantl Ole-mikkel,Male,15-02-2025,Val St. Come,CAN,Germany,World Cup,Parallel Giant Slalom,30,32.00
4,Prantl Ole-mikkel,Male,25-01-2025,Rogla,SLO,Germany,Qualification,Parallel Giant Slalom,28,
5,Prantl Ole-mikkel,Male,25-01-2025,Rogla,SLO,Germany,World Cup,Parallel Giant Slalom,28,40.00
6,Prantl Ole-mikkel,Male,22-01-2025,Bansko,BUL,Germany,European Cup,Parallel Giant Slalom,3,174.00
7,Prantl Ole-mikkel,Male,21-01-2025,Bansko,BUL,Germany,European Cup,Parallel Giant Slalom,6,116.00
8,Prantl Ole-mikkel,Male,19-01-2025,Bansko,BUL,Germany,Qualification,Parallel Giant Slalom,DSQ,
9,Prantl Ole-mikkel,Male,19-01-2025,Bansko,BUL,Germany,World Cup,Parallel Giant Slalom,DSQ,
10,Prantl Ole-mikkel,Male,18-01-2025,Bansko,BUL,Germany,Qualification,Parallel Giant Slalom,36,
11,Prantl Ole-mikkel,Male,18-01-2025,Bansko,BUL,Germany,World Cup,Parallel Giant Slalom,36,19.70
12,Prantl Ole-mikkel,Male,14-01-2025,Bad Gastein,AUT,Germany,Qualification,Parallel Slalom,17,
13,Prantl Ole-mikkel,Male,14-01-2025,Bad Gastein,AUT,Germany,World Cup,Parallel Slalom,17,140.00
14,Prantl Ole-mikkel,Male,11-01-2025,Scuol,SUI,Germany,Qualification,Parallel Giant Slalom,DNF,
15,Prantl Ole-mikkel,Male,11-01-2025,Scuol,SUI,Germany,World Cup,Parallel Giant Slalom,DNF,
16,Prantl Ole-mikkel,Male,21-12-2024,Davos,SUI,Germany,Qualification,Parallel Slalom,30,
17,Prantl Ole-mikkel,Male,21-12-2024,Davos,SUI,Germany,World Cup,Parallel Slalom,30,32.00
18,Prantl Ole-mikkel,Male,15-12-2024,Götschen,GER,Germany,European Cup,Parallel Slalom,8,76.80
19,Prantl Ole-mikkel,Male,14-12-2024,Cortina d'Ampezzo,ITA,Germany,Qualification,Parallel Giant Slalom,46,
20,Prantl Ole-mikkel,Male,14-12-2024,Cortina d'Ampezzo,ITA,Germany,World Cup,Parallel Giant Slalom,46,16.70
21,Prantl Ole-mikkel,Male,12-12-2024,Carezza,ITA,Germany,Qualification,Parallel Giant Slalom,30,
22,Prantl Ole-mikkel,Male,12-12-2024,Carezza,ITA,Germany,World Cup,Parallel Giant Slalom,30,32.00
23,Prantl Ole-mikkel,Male,08-12-2024,Yanqing (NASC),CHN,Germany,World Cup,Parallel Slalom,20,110.00
24,Prantl Ole-mikkel,Male,08-12-2024,Yanqing (NASC),CHN,Germany,Qualification,Parallel Slalom,20,
