,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Prommegger Andreas,Male,17-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Slalom,5,162.00
1,Prommegger Andreas,Male,16-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Giant Slalom,9,104.40
2,Prommegger Andreas,Male,10-03-2024,Winterberg,GER,Austria,World Cup,Parallel Slalom Team,5,
3,Prommegger Andreas,Male,09-03-2024,Winterberg,GER,Austria,Qualification,Parallel Slalom,7,
4,Prommegger Andreas,Male,09-03-2024,Winterberg,GER,Austria,World Cup,Parallel Slalom,2,800.00
5,Prommegger Andreas,Male,25-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,17,
6,Prommegger Andreas,Male,25-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,17,140.00
7,Prommegger Andreas,Male,24-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,9,
8,Prommegger Andreas,Male,24-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,1,1000.00
9,Prommegger Andreas,Male,28-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom Team,1,
10,Prommegger Andreas,Male,27-01-2024,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,10,
11,Prommegger Andreas,Male,27-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom,12,220.00
12,Prommegger Andreas,Male,25-01-2024,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,4,
13,Prommegger Andreas,Male,25-01-2024,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,9,290.00
14,Prommegger Andreas,Male,21-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,7,
15,Prommegger Andreas,Male,21-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,2,800.00
16,Prommegger Andreas,Male,20-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,6,
17,Prommegger Andreas,Male,20-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,5,450.00
18,Prommegger Andreas,Male,17-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,1,
19,Prommegger Andreas,Male,16-01-2024,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,19,
20,Prommegger Andreas,Male,16-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,19,120.00
21,Prommegger Andreas,Male,13-01-2024,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,11,
22,Prommegger Andreas,Male,13-01-2024,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,3,600.00
23,Prommegger Andreas,Male,23-12-2023,Davos,SUI,Austria,Qualification,Parallel Slalom,17,
24,Prommegger Andreas,Male,23-12-2023,Davos ,SUI,Austria,World Cup,Parallel Slalom,17,140.00
25,Prommegger Andreas,Male,16-12-2023,Cortina d'Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,7,
26,Prommegger Andreas,Male,16-12-2023,Cortina d'Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,2,800.00
27,Prommegger Andreas,Male,14-12-2023,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,9,
28,Prommegger Andreas,Male,14-12-2023,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,11,240.00
29,Prommegger Andreas,Male,01-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Giant Slalom,2,232.00
30,Prommegger Andreas,Male,19-03-2023,Berchtesgaden,GER,Austria,World Cup,Parallel Slalom Team,9,
31,Prommegger Andreas,Male,18-03-2023,Berchtesgaden,GER,Austria,Qualification,Parallel Slalom,12,
32,Prommegger Andreas,Male,18-03-2023,Berchtesgaden,GER,Austria,World Cup,Parallel Slalom,8,320.00
33,Prommegger Andreas,Male,15-03-2023,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,9,290.00
34,Prommegger Andreas,Male,15-03-2023,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,4,
35,Prommegger Andreas,Male,22-02-2023,Bakuriani,GEO,Austria,World Championships,Parallel Slalom Team,2,
36,Prommegger Andreas,Male,21-02-2023,Bakuriani,GEO,Austria,Qualification,Parallel Slalom,1,
37,Prommegger Andreas,Male,21-02-2023,Bakuriani,GEO,Austria,World Championships,Parallel Slalom,1,1000.00
38,Prommegger Andreas,Male,19-02-2023,Bakuriani,GEO,Austria,Qualification,Parallel Giant Slalom,5,
39,Prommegger Andreas,Male,19-02-2023,Bakuriani,GEO,Austria,World Championships,Parallel Giant Slalom,6,400.00
40,Prommegger Andreas,Male,27-01-2023,Blue Mountain,CAN,Austria,Qualification,Parallel Giant Slalom,9,
41,Prommegger Andreas,Male,27-01-2023,Blue Mountain,CAN,Austria,World Cup,Parallel Giant Slalom,12,220.00
42,Prommegger Andreas,Male,26-01-2023,Blue Mountain,CAN,Austria,Qualification,Parallel Giant Slalom,2,
43,Prommegger Andreas,Male,26-01-2023,Blue Mountain,CAN,Austria,World Cup,Parallel Giant Slalom,5,450.00
44,Prommegger Andreas,Male,22-01-2023,Bansko,BUL,Austria,Qualification,Parallel Slalom,20,
45,Prommegger Andreas,Male,22-01-2023,Bansko,BUL,Austria,World Cup,Parallel Slalom,20,110.00
46,Prommegger Andreas,Male,21-01-2023,Bansko,BUL,Austria,Qualification,Parallel Slalom,12,
47,Prommegger Andreas,Male,21-01-2023,Bansko,BUL,Austria,World Cup,Parallel Slalom,8,320.00
48,Prommegger Andreas,Male,14-01-2023,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,2,
49,Prommegger Andreas,Male,14-01-2023,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,3,600.00
50,Prommegger Andreas,Male,11-01-2023,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,1,
51,Prommegger Andreas,Male,10-01-2023,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,10,
52,Prommegger Andreas,Male,10-01-2023,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,7,360.00
53,Prommegger Andreas,Male,17-12-2022,Cortina d'Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,3,
54,Prommegger Andreas,Male,17-12-2022,Cortina d'Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,2,800.00
55,Prommegger Andreas,Male,15-12-2022,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,12,
56,Prommegger Andreas,Male,15-12-2022,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,1,1000.00
57,Prommegger Andreas,Male,11-12-2022,Winterberg,GER,Austria,World Cup,Parallel Slalom,14,180.00
58,Prommegger Andreas,Male,10-12-2022,Winterberg,GER,Austria,Qualification,Parallel Slalom,13,
59,Prommegger Andreas,Male,10-12-2022,Winterberg,GER,Austria,World Cup,Parallel Slalom Team,2,
60,Prommegger Andreas,Male,26-03-2022,Villach / Gerlitzen,AUT,Austria,National Championships,Parallel Giant Slalom,1,290.00
61,Prommegger Andreas,Male,19-03-2022,Berchtesgaden,GER,Austria,Qualification,Parallel Slalom,6,
62,Prommegger Andreas,Male,19-03-2022,Berchtesgaden,GER,Austria,World Cup,Parallel Slalom,1,1000.00
63,Prommegger Andreas,Male,16-03-2022,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,14,
64,Prommegger Andreas,Male,16-03-2022,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,8,320.00
65,Prommegger Andreas,Male,12-03-2022,Piancavallo,ITA,Austria,Qualification,Parallel Slalom,4,
66,Prommegger Andreas,Male,12-03-2022,Piancavallo,ITA,Austria,World Cup,Parallel Slalom,10,260.00
67,Prommegger Andreas,Male,08-02-2022,Beijing,CHN,Austria,Qualification,Parallel Giant Slalom,3,
68,Prommegger Andreas,Male,08-02-2022,Beijing,CHN,Austria,Olympic Winter Games,Parallel Giant Slalom,6,400.00
69,Prommegger Andreas,Male,15-01-2022,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom Team,14,
70,Prommegger Andreas,Male,14-01-2022,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom,21,100.00
71,Prommegger Andreas,Male,14-01-2022,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,21,
72,Prommegger Andreas,Male,12-01-2022,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,7,
73,Prommegger Andreas,Male,11-01-2022,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,5,
