,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Quee Mikayla,Female,17-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,8,115.20
1,Quee Mikayla,Female,16-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,14,64.80
2,Quee Mikayla,Female,14-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,12,79.20
3,Quee Mikayla,Female,13-08-2025,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,8,38.40
4,Quee Mikayla,Female,08-08-2025,Thredbo,AUS,Australia,Junior,Snowboard Cross,5,40.50
5,Quee Mikayla,Female,07-08-2025,Thredbo,AUS,Australia,Junior,Snowboard Cross,2,72.00
6,Quee Mikayla,Female,02-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,24,8.40
7,Quee Mikayla,Female,01-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,20,13.20
8,Quee Mikayla,Female,25-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,26,6.50
9,Quee Mikayla,Female,24-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,18,16.90
10,Quee Mikayla,Female,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,23,28.80
11,Quee Mikayla,Female,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,16,54.00
12,Quee Mikayla,Female,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,16,54.00
13,Quee Mikayla,Female,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,18,19.50
14,Quee Mikayla,Female,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,10,23.40
