,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Rafikova Alina,Female,24-04-2022,Kirovsk,RUS,Russia,National Junior Championships,Parallel Slalom,7,25.20
1,Rafikova Alina,Female,22-04-2022,Kirovsk,RUS,Russia,National Junior Championships,Parallel Giant Slalom,7,25.20
2,Rafikova Alina,Female,26-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Slalom,31,8.12
3,Rafikova Alina,Female,25-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Giant Slalom,32,7.54
4,Rafikova Alina,Female,17-12-2021,Chekeril,RUS,Russia,FIS,Parallel Giant Slalom,2,80.00
5,Rafikova Alina,Female,16-12-2021,Chekeril,RUS,Russia,FIS,Parallel Giant Slalom,10,26.00
6,Rafikova Alina,Female,14-12-2021,Nechkino,RUS,Russia,FIS,Parallel Slalom,6,20.00
7,Rafikova Alina,Female,13-12-2021,Nechkino,RUS,Russia,FIS,Parallel Slalom,2,40.00
8,Rafikova Alina,Female,26-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Slalom,28,8.80
9,Rafikova Alina,Female,25-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Giant Slalom,8,70.40
