,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ratti Michele,Male,21-03-2025,Moena-Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,24,6.30
1,Ratti Michele,Male,10-03-2025,Montafon,AUT,Italy,Junior Regional Cup,Snowboard Cross,33,
2,Ratti Michele,Male,09-03-2025,Montafon,AUT,Italy,Junior Regional Cup,Snowboard Cross,20,12.10
3,Ratti Michele,Male,23-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,33,4.32
4,Ratti Michele,Male,22-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,43,3.17
5,Ratti Michele,Male,02-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,29,1.80
6,Ratti Michele,Male,01-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,30,1.60
7,Ratti Michele,Male,25-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,61,
8,Ratti Michele,Male,24-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,44,0.86
9,Ratti Michele,Male,12-01-2025,Lenk,SUI,Italy,Junior Regional Cup,Snowboard Cross,63,
