,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Rawson Amelia,Female,17-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,19,43.20
1,Rawson Amelia,Female,16-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,20,
2,Rawson Amelia,Female,14-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,20,39.60
3,Rawson Amelia,Female,13-08-2025,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,13,
4,Rawson Amelia,Female,14-03-2025,Lenk,SUI,Australia,European Cup,Snowboard Cross,40,
5,Rawson Amelia,Female,13-03-2025,Lenk,SUI,Australia,European Cup,Snowboard Cross,36,5.12
6,Rawson Amelia,Female,10-03-2025,Montafon,AUT,Australia,Junior Regional Cup,Snowboard Cross,9,40.60
7,Rawson Amelia,Female,09-03-2025,Montafon,AUT,Australia,Junior Regional Cup,Snowboard Cross,16,
8,Rawson Amelia,Female,28-02-2025,Passo San Pellegrino,ITA,Australia,European Cup,Snowboard Cross,24,18.20
9,Rawson Amelia,Female,27-02-2025,Passo San Pellegrino,ITA,Australia,European Cup,Snowboard Cross,27,
10,Rawson Amelia,Female,23-02-2025,Colere,ITA,Australia,FIS,Snowboard Cross,17,30.80
11,Rawson Amelia,Female,22-02-2025,Colere,ITA,Australia,FIS,Snowboard Cross,25,13.20
12,Rawson Amelia,Female,16-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,16,24.00
13,Rawson Amelia,Female,15-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,22,
14,Rawson Amelia,Female,09-02-2025,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,11,38.40
15,Rawson Amelia,Female,08-02-2025,Dolni Morava,CZE,Australia,National Championships,Snowboard Cross,12,35.20
16,Rawson Amelia,Female,02-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,DNF,
17,Rawson Amelia,Female,01-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,24,8.40
18,Rawson Amelia,Female,25-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,17,18.20
19,Rawson Amelia,Female,24-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,24,9.10
20,Rawson Amelia,Female,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,22,32.40
21,Rawson Amelia,Female,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,17,50.40
22,Rawson Amelia,Female,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,17,50.40
23,Rawson Amelia,Female,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,13,30.00
24,Rawson Amelia,Female,03-02-2024,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,17,21.00
25,Rawson Amelia,Female,02-02-2024,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,27,9.00
26,Rawson Amelia,Female,01-02-2024,Dolni Morava,CZE,Australia,European Cup,Snowboard Cross,42,
27,Rawson Amelia,Female,31-01-2024,Dolni Morava,CZE,Australia,European Cup,Snowboard Cross,39,
28,Rawson Amelia,Female,28-01-2024,Grasgehren,GER,Australia,Junior,Snowboard Cross,9,14.50
29,Rawson Amelia,Female,27-01-2024,Grasgehren,GER,Australia,Junior,Snowboard Cross,9,14.50
30,Rawson Amelia,Female,20-01-2024,Montafon,AUT,Australia,National Championships,Snowboard Cross,33,6.96
31,Rawson Amelia,Female,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,14,16.20
32,Rawson Amelia,Female,12-09-2022,Perisher,AUS,Australia,Junior,Snowboard Cross,17,
33,Rawson Amelia,Female,31-07-2022,Thredbo,AUS,Australia,Junior,Snowboard Cross,14,9.00
