,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Reichle Julius,Male,08-02-2025,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,14,
1,Reichle Julius,Male,31-01-2025,St. Lary,FRA,Germany,European Cup,Snowboard Cross,17,25.20
2,Reichle Julius,Male,24-01-2025,Puy St. Vincent,FRA,Germany,European Cup,Snowboard Cross,4,90.00
3,Reichle Julius,Male,23-01-2025,Puy St. Vincent,FRA,Germany,European Cup,Snowboard Cross,19,24.00
4,Reichle Julius,Male,12-01-2025,Lenk,SUI,Germany,Junior Regional Cup,Snowboard Cross,1,120.00
5,Reichle Julius,Male,01-12-2024,Pitztal,AUT,Germany,Junior,Snowboard Cross,49,1.90
6,Reichle Julius,Male,30-11-2024,Pitztal,AUT,Germany,Qualification,Snowboard Cross,10,
7,Reichle Julius,Male,30-11-2024,Pitztal,AUT,Germany,Junior,Snowboard Cross,3,72.00
8,Reichle Julius,Male,27-11-2024,Pitztal,AUT,Germany,Qualification,Snowboard Cross,DNF,
9,Reichle Julius,Male,27-11-2024,Pitztal,AUT,Germany,European Cup,Snowboard Cross,DNF,
10,Reichle Julius,Male,06-04-2024,Gudauri,GEO,Germany,FIS Junior World Championships,Snowboard Cross,9,104.40
11,Reichle Julius,Male,05-04-2024,Gudauri,GEO,Germany,Qualification,Snowboard Cross,5,
12,Reichle Julius,Male,22-03-2024,Lenk,SUI,Germany,European Cup,Snowboard Cross,DNS,
13,Reichle Julius,Male,21-03-2024,Lenk,SUI,Germany,European Cup,Snowboard Cross,28,9.60
14,Reichle Julius,Male,17-03-2024,Montafon,AUT,Germany,World Cup,Snowboard Cross,57,
15,Reichle Julius,Male,16-03-2024,Montafon,AUT,Germany,World Cup,Snowboard Cross,55,14.00
16,Reichle Julius,Male,15-03-2024,Montafon,AUT,Germany,Qualification,Snowboard Cross,55,
17,Reichle Julius,Male,24-02-2024,Grasgehren,GER,Germany,European Cup,Snowboard Cross,30,10.24
18,Reichle Julius,Male,17-02-2024,Colere,ITA,Germany,European Cup,Snowboard Cross,35,4.80
19,Reichle Julius,Male,16-02-2024,Colere,ITA,Germany,European Cup,Snowboard Cross,22,21.60
20,Reichle Julius,Male,06-02-2024,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,23,16.00
21,Reichle Julius,Male,05-02-2024,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,38,3.82
22,Reichle Julius,Male,02-02-2024,Dolni Morava,CZE,Germany,Junior,Snowboard Cross,1,90.00
23,Reichle Julius,Male,01-02-2024,Dolni Morava,CZE,Germany,European Cup,Snowboard Cross,28,8.80
24,Reichle Julius,Male,31-01-2024,Dolni Morava,CZE,Germany,European Cup,Snowboard Cross,11,52.80
25,Reichle Julius,Male,28-01-2024,Grasgehren,GER,Germany,Junior,Snowboard Cross,3,66.00
26,Reichle Julius,Male,27-01-2024,Grasgehren,GER,Germany,Junior,Snowboard Cross,2,40.00
27,Reichle Julius,Male,20-01-2024,Montafon,AUT,Germany,National Championships,Snowboard Cross,37,5.63
28,Reichle Julius,Male,09-12-2023,Pitztal,AUT,Germany,Junior,Snowboard Cross,6,40.00
29,Reichle Julius,Male,31-03-2023,Passo San Pellegrino,ITA,Germany,FIS Junior World Championships,Snowboard Cross Team,9,
30,Reichle Julius,Male,30-03-2023,Passo San Pellegrino,ITA,Germany,FIS Junior World Championships,Snowboard Cross,6,128.00
31,Reichle Julius,Male,24-03-2023,Gargellen,AUT,Germany,Junior,Snowboard Cross,16,16.50
32,Reichle Julius,Male,22-03-2023,Gargellen,AUT,Germany,European Cup,Snowboard Cross,27,11.70
33,Reichle Julius,Male,19-03-2023,Passo San Pellegrino,ITA,Germany,FIS,Snowboard Cross,10,46.80
34,Reichle Julius,Male,18-03-2023,Passo San Pellegrino,ITA,Germany,FIS,Snowboard Cross,7,64.80
35,Reichle Julius,Male,16-03-2023,Pitztal,AUT,Germany,FIS,Snowboard Cross,12,28.60
36,Reichle Julius,Male,15-03-2023,Pitztal,AUT,Germany,FIS,Snowboard Cross,6,52.00
37,Reichle Julius,Male,12-03-2023,Lenk,SUI,Germany,National Junior Championships,Snowboard Cross,5,40.50
38,Reichle Julius,Male,19-02-2023,Flumserberg,SUI,Germany,Junior,Snowboard Cross,13,22.00
39,Reichle Julius,Male,18-02-2023,Flumserberg,SUI,Germany,Junior,Snowboard Cross,25,6.60
40,Reichle Julius,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,Germany,European Cup,Snowboard Cross,48,4.67
41,Reichle Julius,Male,15-02-2023,Moena - Passo San Pellegrino,ITA,Germany,European Cup,Snowboard Cross,34,6.38
42,Reichle Julius,Male,08-02-2023,Cervinia,ITA,Germany,Junior,Snowboard Cross,4,65.00
43,Reichle Julius,Male,07-02-2023,Cervinia,ITA,Germany,Junior,Snowboard Cross,9,37.70
44,Reichle Julius,Male,22-01-2023,Puy St.Vincent,FRA,Germany,European Cup,Snowboard Cross,25,14.40
45,Reichle Julius,Male,21-01-2023,Puy St.Vincent,FRA,Germany,European Cup,Snowboard Cross,14,43.20
46,Reichle Julius,Male,14-01-2023,Lenk,SUI,Germany,FIS,Snowboard Cross,25,3.00
47,Reichle Julius,Male,31-03-2022,Veysonnaz,SUI,Germany,FIS Junior World Championships,Snowboard Cross,13,52.00
48,Reichle Julius,Male,25-03-2022,Lenk,SUI,Germany,European Cup,Snowboard Cross,49,5.69
49,Reichle Julius,Male,09-03-2022,Lenk,SUI,Germany,Junior,Snowboard Cross,1,50.00
50,Reichle Julius,Male,04-03-2022,Pitztal,AUT,Germany,Junior,Snowboard Cross,25,7.20
51,Reichle Julius,Male,03-03-2022,Pitztal,AUT,Germany,European Cup,Snowboard Cross,33,8.64
52,Reichle Julius,Male,02-03-2022,Pitztal,AUT,Germany,European Cup,Snowboard Cross,33,8.64
53,Reichle Julius,Male,27-02-2022,Grasgehren,GER,Germany,European Cup,Snowboard Cross,13,72.00
54,Reichle Julius,Male,26-02-2022,Grasgehren,GER,Germany,European Cup,Snowboard Cross,34,7.92
55,Reichle Julius,Male,13-02-2022,Grasgehren,GER,Germany,Junior,Snowboard Cross,17,16.80
56,Reichle Julius,Male,12-02-2022,Grasgehren,GER,Germany,Junior,Snowboard Cross,33,2.88
57,Reichle Julius,Male,03-02-2022,Dolni Morava,CZE,Germany,European Cup,Snowboard Cross,33,6.24
58,Reichle Julius,Male,02-02-2022,Dolni Morava,CZE,Germany,European Cup,Snowboard Cross,49,3.79
59,Reichle Julius,Male,23-01-2022,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,33,6.24
60,Reichle Julius,Male,29-03-2021,Reiteralm,AUT,Germany,National Championships,Snowboard Cross,26,14.50
61,Reichle Julius,Male,12-03-2021,Lenk,SUI,Germany,European Cup,Snowboard Cross,DNF,
62,Reichle Julius,Male,07-03-2021,Montafon/Gargellen,AUT,Germany,European Cup,Snowboard Cross,49,2.84
63,Reichle Julius,Male,06-03-2021,Montafon/Gargellen,AUT,Germany,European Cup,Snowboard Cross,56,
64,Reichle Julius,Male,28-02-2021,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,24,12.60
65,Reichle Julius,Male,27-02-2021,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,35,3.60
66,Reichle Julius,Male,13-02-2021,Chiesa in Valmalenco,ITA,Germany,European Cup,Snowboard Cross,33,6.24
67,Reichle Julius,Male,12-02-2021,Chiesa in Valmalenco,ITA,Germany,European Cup,Snowboard Cross,30,8.32
68,Reichle Julius,Male,03-02-2021,Isola 2000,FRA,Germany,European Cup,Snowboard Cross,49,2.53
69,Reichle Julius,Male,01-02-2021,Isola 2000,FRA,Germany,Junior,Snowboard Cross,33,2.16
70,Reichle Julius,Male,31-01-2021,Isola 2000,FRA,Germany,European Cup,Snowboard Cross,41,4.73
71,Reichle Julius,Male,30-01-2021,Isola 2000,FRA,Germany,European Cup,Snowboard Cross,41,6.55
72,Reichle Julius,Male,28-01-2021,Isola 2000,FRA,Germany,Junior,Snowboard Cross,15,11.20
73,Reichle Julius,Male,27-01-2021,Isola 2000,FRA,Germany,Junior,Snowboard Cross,26,3.50
74,Reichle Julius,Male,24-01-2021,Reiteralm,AUT,Germany,FIS,Snowboard Cross,49,1.11
75,Reichle Julius,Male,23-01-2021,Reiteralm,AUT,Germany,FIS,Snowboard Cross,26,3.50
76,Reichle Julius,Male,16-01-2021,Crans-Montana,SUI,Germany,FIS,Snowboard Cross,17,30.80
