,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Reimer Neko,Male,10-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Big Air,7,45.90
1,Reimer Neko,Male,09-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Slopestyle,1,160.00
2,Reimer Neko,Male,05-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,15,36.20
3,Reimer Neko,Male,04-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,13,62.20
4,Reimer Neko,Male,26-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Big Air,23,23.90
5,Reimer Neko,Male,25-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Slopestyle,23,57.30
6,Reimer Neko,Male,12-02-2025,Aspen / Highlands,USA,Canada,Nor-Am Cup Premium,Slopestyle,10,72.30
7,Reimer Neko,Male,14-04-2024,Corvatsch,SUI,Canada,European Cup Premium,Big Air,34,74.90
8,Reimer Neko,Male,12-04-2024,Corvatsch,SUI,Canada,European Cup Premium,Slopestyle,72,38.90
9,Reimer Neko,Male,30-03-2024,Livigno/Mottolino,ITA,Canada,FIS Junior World Championships,Big Air,57,3.10
10,Reimer Neko,Male,28-03-2024,Livigno/Mottolino,ITA,Canada,Qualification,Big Air,19,
11,Reimer Neko,Male,26-03-2024,Livigno/Mottolino,ITA,Canada,FIS Junior World Championships,Slopestyle,44,17.70
12,Reimer Neko,Male,26-03-2024,Livigno/Mottolino,ITA,Canada,Qualification,Slopestyle,14,
13,Reimer Neko,Male,28-01-2024,Gangwon/Welli Hilli,KOR,Canada,Youth Olympic Winter Games,Big Air,12,21.00
14,Reimer Neko,Male,27-01-2024,Gangwon/Welli Hilli,KOR,Canada,Qualification,Big Air,12,
15,Reimer Neko,Male,25-01-2024,Gangwon/Welli Hilli,KOR,Canada,Youth Olympic Winter Games,Slopestyle,10,45.20
16,Reimer Neko,Male,17-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,4,118.00
17,Reimer Neko,Male,04-09-2023,Cardrona,NZL,Canada,FIS Junior World Championships,Big Air,32,39.50
18,Reimer Neko,Male,02-09-2023,Cardrona,NZL,Canada,Qualification,Big Air,17,
19,Reimer Neko,Male,30-08-2023,Cardrona,NZL,Canada,FIS Junior World Championships,Slopestyle,52,14.90
20,Reimer Neko,Male,28-08-2023,Cardrona,NZL,Canada,Qualification,Slopestyle,26,
21,Reimer Neko,Male,15-03-2023,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,14,15.60
22,Reimer Neko,Male,14-03-2023,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,10,54.10
23,Reimer Neko,Male,16-02-2023,Winsport Calgary,CAN,Canada,Nor-Am Cup,Big Air,12,27.60
24,Reimer Neko,Male,15-02-2023,Winsport Calgary,CAN,Canada,Nor-Am Cup,Slopestyle,38,10.20
25,Reimer Neko,Male,18-01-2023,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,7,75.40
26,Reimer Neko,Male,17-01-2023,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,6,86.50
27,Reimer Neko,Male,08-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,1,80.00
28,Reimer Neko,Male,07-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,1,80.00
29,Reimer Neko,Male,02-09-2022,Cardrona,NZL,Canada,Australian New Zealand Cup,Slopestyle,9,93.10
30,Reimer Neko,Male,06-02-2022,Calgary,CAN,Canada,National Junior Championships,Slopestyle,4,76.00
31,Reimer Neko,Male,04-02-2022,Calgary,CAN,Canada,Nor-Am Cup,Big Air,17,17.20
32,Reimer Neko,Male,21-01-2022,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,14,21.70
33,Reimer Neko,Male,20-01-2022,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,3,82.80
34,Reimer Neko,Male,09-01-2022,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,6,29.50
35,Reimer Neko,Male,08-01-2022,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,5,36.40
36,Reimer Neko,Male,18-09-2021,Cardrona,NZL,Canada,FIS,Slopestyle,5,15.50
37,Reimer Neko,Male,29-02-2020,Park City,USA,Canada,FIS,Slopestyle,3,30.00
