,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Rizzi Giovanni,Male,10-04-2025,Corvatsch,SUI,Switzerland,European Cup Premium,Slopestyle,DNS,
1,Rizzi Giovanni,Male,03-04-2025,Kitzsteinhorn,AUT,Switzerland,European Cup,Big Air,50,20.10
2,Rizzi Giovanni,Male,22-03-2025,St. Anton,AUT,Switzerland,FIS,Slopestyle,7,28.60
3,Rizzi Giovanni,Male,21-03-2025,St. Anton,AUT,Switzerland,European Cup,Big Air,10,42.70
4,Rizzi Giovanni,Male,11-03-2025,Laax,SUI,Switzerland,European Cup Premium,Slopestyle,25,48.20
5,Rizzi Giovanni,Male,15-01-2025,Seiser Alm,ITA,Switzerland,European Cup,Slopestyle,46,0.90
6,Rizzi Giovanni,Male,11-01-2025,Prato Nevoso,ITA,Switzerland,European Cup,Slopestyle,30,21.60
7,Rizzi Giovanni,Male,21-12-2024,Schilthorn,SUI,Switzerland,FIS,Slopestyle,8,32.40
8,Rizzi Giovanni,Male,15-11-2024,Glacier 3000,SUI,Switzerland,FIS,Big Air,6,25.70
9,Rizzi Giovanni,Male,23-11-2023,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,27,1.50
10,Rizzi Giovanni,Male,17-04-2023,Corvatsch,SUI,Switzerland,European Cup Premium,Big Air,50,18.40
11,Rizzi Giovanni,Male,14-04-2023,Corvatsch,SUI,Switzerland,European Cup Premium,Slopestyle,67,10.90
12,Rizzi Giovanni,Male,17-03-2023,Laax,SUI,Switzerland,European Cup Premium,Slopestyle,DNS,
13,Rizzi Giovanni,Male,18-02-2023,Davos,SUI,Switzerland,European Cup,Big Air,26,14.40
14,Rizzi Giovanni,Male,03-02-2023,Grindelwald,SUI,Switzerland,FIS,Big Air,6,20.40
15,Rizzi Giovanni,Male,29-11-2022,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,43,2.50
16,Rizzi Giovanni,Male,07-04-2022,Corvatsch,SUI,Switzerland,European Cup Premium,Slopestyle,36,41.10
17,Rizzi Giovanni,Male,22-02-2020,Davos,SUI,Switzerland,FIS,Halfpipe,12,11.00
18,Rizzi Giovanni,Male,21-02-2020,Davos,SUI,Switzerland,European Cup Premium,Big Air,54,
19,Rizzi Giovanni,Male,13-04-2019,Silvaplana,SUI,Switzerland,European Cup,Big Air,30,11.52
20,Rizzi Giovanni,Male,22-03-2019,Laax,SUI,Switzerland,European Cup,Slopestyle,60,
21,Rizzi Giovanni,Male,02-02-2019,Grindelwald,SUI,Switzerland,FIS,Halfpipe,8,16.00
22,Rizzi Giovanni,Male,02-02-2019,Grindelwald,SUI,Switzerland,FIS,Big Air,2,40.00
23,Rizzi Giovanni,Male,04-02-2018,Grindelwald,SUI,Switzerland,FIS,Slopestyle,18,6.50
24,Rizzi Giovanni,Male,03-02-2018,Grindelwald,SUI,Switzerland,FIS,Halfpipe,16,10.50
25,Rizzi Giovanni,Male,21-11-2017,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,31,1.96
26,Rizzi Giovanni,Male,22-04-2017,Silvaplana,SUI,Switzerland,European Cup,Big Air,23,23.20
27,Rizzi Giovanni,Male,19-04-2017,Silvaplana,SUI,Switzerland,European Cup,Slopestyle,35,4.80
28,Rizzi Giovanni,Male,17-03-2017,Laax,SUI,Switzerland,European Cup,Slopestyle,37,3.49
29,Rizzi Giovanni,Male,25-02-2017,Davos,SUI,Switzerland,European Cup,Big Air,34,3.52
30,Rizzi Giovanni,Male,24-02-2017,Davos,SUI,Switzerland,European Cup,Halfpipe,27,7.20
31,Rizzi Giovanni,Male,04-02-2017,Grindelwald,SUI,Switzerland,FIS,Halfpipe,18,9.10
