,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Roisland Mons,Male,21-03-2025,Engadin,SUI,Norway,World Championships,Slopestyle,16,
1,Roisland Mons,Male,20-03-2025,Engadin,SUI,Norway,Qualification,Slopestyle,7,
2,Roisland Mons,Male,22-02-2025,Calgary,CAN,Norway,World Cup,Slopestyle,10,289.70
3,Roisland Mons,Male,20-02-2025,Calgary,CAN,Norway,Qualification,Slopestyle,8,
4,Roisland Mons,Male,06-02-2025,Aspen,USA,Norway,World Cup,Big Air,12,241.90
5,Roisland Mons,Male,05-02-2025,Aspen,USA,Norway,Qualification,Big Air,7,
6,Roisland Mons,Male,02-02-2025,Aspen,USA,Norway,World Cup,Slopestyle,8,348.60
7,Roisland Mons,Male,31-01-2025,Aspen,USA,Norway,Qualification,Slopestyle,5,
8,Roisland Mons,Male,18-01-2025,Laax,SUI,Norway,World Cup,Slopestyle,60,0.20
9,Roisland Mons,Male,16-01-2025,Laax,SUI,Norway,Qualification,Slopestyle,30,
10,Roisland Mons,Male,11-01-2025,Kreischberg,AUT,Norway,Qualification,Big Air,18,
11,Roisland Mons,Male,11-01-2025,Kreischberg,AUT,Norway,World Cup,Big Air,32,107.00
12,Roisland Mons,Male,02-09-2024,Cardrona,NZL,Norway,World Cup,Slopestyle,2,829.40
13,Roisland Mons,Male,31-08-2024,Cardrona,NZL,Norway,Qualification,Slopestyle,1,
14,Roisland Mons,Male,15-03-2024,Tignes,FRA,Norway,World Cup,Slopestyle,17,188.40
15,Roisland Mons,Male,15-03-2024,Tignes,FRA,Norway,Qualification,Slopestyle,9,
16,Roisland Mons,Male,20-01-2024,Laax,SUI,Norway,World Cup,Slopestyle,19,180.80
17,Roisland Mons,Male,16-01-2024,Laax,SUI,Norway,Qualification,Slopestyle,4,
18,Roisland Mons,Male,15-12-2023,Copper Mountain,USA,Norway,World Cup,Big Air,9,315.90
19,Roisland Mons,Male,13-12-2023,Copper Mountain,USA,Norway,Qualification,Big Air,3,
20,Roisland Mons,Male,04-03-2023,Bakuriani,GEO,Norway,World Championships,Big Air,2,662.60
21,Roisland Mons,Male,02-03-2023,Bakuriani,GEO,Norway,Qualification,Big Air,5,
22,Roisland Mons,Male,27-02-2023,Bakuriani,GEO,Norway,World Championships,Slopestyle,4,471.50
23,Roisland Mons,Male,24-02-2023,Bakuriani,GEO,Norway,Qualification,Slopestyle,2,
24,Roisland Mons,Male,22-01-2023,Laax,SUI,Norway,World Cup,Slopestyle,21,165.90
25,Roisland Mons,Male,18-01-2023,Laax,SUI,Norway,Qualification,Slopestyle,8,
26,Roisland Mons,Male,27-03-2022,Silvaplana,SUI,Norway,World Cup,Slopestyle,2,663.30
27,Roisland Mons,Male,25-03-2022,Silvaplana,SUI,Norway,Qualification,Slopestyle,4,
28,Roisland Mons,Male,15-02-2022,Beijing,CHN,Norway,Olympic Winter Games,Big Air,2,825.20
29,Roisland Mons,Male,14-02-2022,Beijing,CHN,Norway,Qualification,Big Air,9,
