,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Royz Noah,Male,07-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,5,72.00
1,Royz Noah,Male,06-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,5,72.00
2,Royz Noah,Male,01-03-2025,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,15,25.60
3,Royz Noah,Male,28-02-2025,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,15,25.60
4,Royz Noah,Male,04-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,9,46.40
5,Royz Noah,Male,03-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,32,4.16
6,Royz Noah,Male,14-01-2025,Bardonecchia,ITA,Canada,Universiade,Snowboard Cross,7,79.20
7,Royz Noah,Male,05-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,7,57.60
8,Royz Noah,Male,04-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,8,51.20
9,Royz Noah,Male,27-11-2024,Pitztal,AUT,Canada,European Cup,Snowboard Cross,70,3.42
10,Royz Noah,Male,27-11-2024,Pitztal,AUT,Canada,Qualification,Snowboard Cross,70,
11,Royz Noah,Male,07-04-2024,Gudauri,GEO,Canada,FIS Junior World Championships,Snowboard Cross Team,16,
12,Royz Noah,Male,06-04-2024,Gudauri,GEO,Canada,FIS Junior World Championships,Snowboard Cross,25,21.60
13,Royz Noah,Male,05-04-2024,Gudauri,GEO,Canada,Qualification,Snowboard Cross,10,
14,Royz Noah,Male,29-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,10,52.00
15,Royz Noah,Male,28-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,15,35.20
