,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sandbech Staale,Male,15-02-2022,Beijing,CHN,Norway,Olympic Winter Games,Big Air,16,133.60
1,Sandbech Staale,Male,14-02-2022,Beijing,CHN,Norway,Qualification,Big Air,16,
2,Sandbech Staale,Male,07-02-2022,Beijing,CHN,Norway,Olympic Winter Games,Slopestyle,11,225.30
3,Sandbech Staale,Male,06-02-2022,Beijing,CHN,Norway,Qualification,Slopestyle,4,
4,Sandbech Staale,Male,15-01-2022,Laax,SUI,Norway,World Cup,Slopestyle,2,663.30
5,Sandbech Staale,Male,13-01-2022,Laax,SUI,Norway,Qualification,Slopestyle,2,
6,Sandbech Staale,Male,23-10-2021,Chur,SUI,Norway,World Cup,Big Air,17,180.50
7,Sandbech Staale,Male,20-03-2021,Aspen,USA,Norway,World Cup,Slopestyle,23,161.45
8,Sandbech Staale,Male,19-03-2021,Aspen,USA,Norway,Qualification,Slopestyle,12,
9,Sandbech Staale,Male,16-03-2021,Aspen,USA,Norway,World Championships,Big Air,8,279.28
10,Sandbech Staale,Male,14-03-2021,Aspen,USA,Norway,Qualification,Big Air,5,
11,Sandbech Staale,Male,12-03-2021,Aspen,USA,Norway,World Championships,Slopestyle,19,173.48
12,Sandbech Staale,Male,10-03-2021,Aspen,USA,Norway,Qualification,Slopestyle,11,
13,Sandbech Staale,Male,15-01-2020,Laax,SUI,Norway,World Cup,Slopestyle,4,500.00
14,Sandbech Staale,Male,13-01-2020,Laax,SUI,Norway,Qualification,Slopestyle,4,
15,Sandbech Staale,Male,14-12-2019,Beijing,CHN,Norway,World Cup,Big Air,20,110.00
16,Sandbech Staale,Male,12-12-2019,Beijing,CHN,Norway,Qualification,Big Air,11,
17,Sandbech Staale,Male,01-09-2019,Cardrona,NZL,Norway,Australian New Zealand Cup,Slopestyle,5,144.00
18,Sandbech Staale,Male,10-02-2019,Park City,USA,Norway,World Championships,Slopestyle,58,
19,Sandbech Staale,Male,09-02-2019,Park City,USA,Norway,Qualification,Slopestyle,58,
20,Sandbech Staale,Male,18-01-2019,Laax,SUI,Norway,World Cup,Slopestyle,2,800.00
21,Sandbech Staale,Male,16-01-2019,Laax,SUI,Norway,Qualification,Slopestyle,1,
22,Sandbech Staale,Male,24-02-2018,Alpensia Jumping Park,KOR,Norway,Olympic Winter Games,Big Air,16,150.00
23,Sandbech Staale,Male,21-02-2018,Alpensia Jumping Park,KOR,Norway,Qualification,Big Air,7,
24,Sandbech Staale,Male,11-02-2018,Phoenix Snow Park,KOR,Norway,Olympic Winter Games,Slopestyle,4,500.00
25,Sandbech Staale,Male,10-02-2018,Phoenix Snow Park,KOR,Norway,Qualification,Slopestyle,4,
26,Sandbech Staale,Male,25-11-2017,Beijing,CHN,Norway,World Cup,Big Air,7,360.00
27,Sandbech Staale,Male,24-11-2017,Beijing,CHN,Norway,Qualification,Big Air,4,
28,Sandbech Staale,Male,04-09-2017,Cardrona,NZL,Norway,World Cup,Slopestyle,32,26.00
29,Sandbech Staale,Male,03-09-2017,Cardrona,NZL,Norway,Qualification,Slopestyle,16,
30,Sandbech Staale,Male,17-03-2017,Sierra Nevada,ESP,Norway,World Championships,Big Air,1,1000.00
31,Sandbech Staale,Male,16-03-2017,Sierra Nevada,ESP,Norway,Qualification,Big Air,6,
32,Sandbech Staale,Male,12-02-2017,Quebec City,CAN,Norway,World Cup,Slopestyle,6,400.00
33,Sandbech Staale,Male,11-02-2017,Quebec City,CAN,Norway,World Cup,Big Air,27,45.00
34,Sandbech Staale,Male,10-02-2017,Quebec City,CAN,Norway,Qualification,Slopestyle,5,
35,Sandbech Staale,Male,09-02-2017,Quebec City,CAN,Norway,Qualification,Big Air,14,
36,Sandbech Staale,Male,04-02-2017,Mammoth Mountain Resort,USA,Norway,World Cup,Slopestyle,14,180.00
37,Sandbech Staale,Male,01-02-2017,Mammoth Mountain Resort,USA,Norway,Qualification,Slopestyle,1,
38,Sandbech Staale,Male,20-01-2017,Laax,SUI,Norway,World Cup,Slopestyle,26,50.00
39,Sandbech Staale,Male,17-01-2017,Laax,SUI,Norway,Qualification,Slopestyle,7,
40,Sandbech Staale,Male,08-02-2014,Rosa Khutor,RUS,Norway,Olympic Winter Games,Slopestyle,2,800.00
