,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sarkipaju Telma,Female,02-02-2025,Aspen,USA,Finland,World Cup,Slopestyle,12,
1,Sarkipaju Telma,Female,31-01-2025,Aspen,USA,Finland,Qualification,Slopestyle,12,
2,Sarkipaju Telma,Female,18-01-2025,Laax,SUI,Finland,World Cup,Slopestyle,28,25.90
3,Sarkipaju Telma,Female,16-01-2025,Laax,SUI,Finland,Qualification,Slopestyle,28,
4,Sarkipaju Telma,Female,07-12-2024,Den Haag,NED,Finland,European Cup,Rail Event,1,120.00
5,Sarkipaju Telma,Female,20-01-2024,Laax,SUI,Finland,World Cup,Slopestyle,9,277.30
6,Sarkipaju Telma,Female,16-01-2024,Laax,SUI,Finland,Qualification,Slopestyle,9,
7,Sarkipaju Telma,Female,02-04-2023,Ruka,FIN,Finland,FIS,Slopestyle,3,0.50
8,Sarkipaju Telma,Female,31-03-2023,Ruka,FIN,Finland,FIS,Big Air,3,0.40
9,Sarkipaju Telma,Female,29-03-2023,Ruka,FIN,Finland,European Cup,Slopestyle,2,120.50
10,Sarkipaju Telma,Female,04-03-2023,Bakuriani,GEO,Finland,World Championships,Big Air,22,0.50
11,Sarkipaju Telma,Female,02-03-2023,Bakuriani,GEO,Finland,Qualification,Big Air,22,
12,Sarkipaju Telma,Female,27-02-2023,Bakuriani,GEO,Finland,World Championships,Slopestyle,19,97.50
13,Sarkipaju Telma,Female,27-02-2023,Bakuriani,GEO,Finland,Qualification,Slopestyle,19,
14,Sarkipaju Telma,Female,22-01-2023,Laax,SUI,Finland,World Cup,Slopestyle,14,158.50
15,Sarkipaju Telma,Female,20-01-2023,Laax,SUI,Finland,Qualification,Slopestyle,14,
16,Sarkipaju Telma,Female,17-12-2022,Kiruna,SWE,Finland,FIS,Slopestyle,1,70.00
17,Sarkipaju Telma,Female,10-12-2022,Edmonton,CAN,Finland,World Cup,Big Air,7,219.30
18,Sarkipaju Telma,Female,09-12-2022,Edmonton,CAN,Finland,Qualification,Big Air,4,
19,Sarkipaju Telma,Female,22-10-2022,Chur,SUI,Finland,Qualification,Big Air,13,
20,Sarkipaju Telma,Female,22-10-2022,Chur,SUI,Finland,World Cup,Big Air,13,134.70
21,Sarkipaju Telma,Female,09-04-2022,Kasurila,FIN,Finland,National Championships,Slopestyle,1,150.00
22,Sarkipaju Telma,Female,07-04-2022,Kasurila,FIN,Finland,National Championships,Big Air,4,27.60
23,Sarkipaju Telma,Female,25-03-2022,Vuokatti,FIN,Finland,European Youth Olympic Festival,Slopestyle,1,90.00
24,Sarkipaju Telma,Female,23-03-2022,Vuokatti,FIN,Finland,European Youth Olympic Festival,Big Air,2,56.50
25,Sarkipaju Telma,Female,13-03-2022,Leysin,SUI,Finland,FIS Junior World Championships,Slopestyle,10,57.30
26,Sarkipaju Telma,Female,23-01-2022,Prato Nevoso,ITA,Finland,European Cup,Slopestyle,1,150.00
27,Sarkipaju Telma,Female,18-01-2022,Livigno,ITA,Finland,Junior,Slopestyle,1,70.00
28,Sarkipaju Telma,Female,19-12-2021,Kiruna,SWE,Finland,FIS,Slopestyle,1,70.00
29,Sarkipaju Telma,Female,17-04-2021,Ruka,FIN,Finland,National Championships,Slopestyle,2,154.71
30,Sarkipaju Telma,Female,15-04-2021,Ruka,FIN,Finland,National Championships,Big Air,2,168.77
31,Sarkipaju Telma,Female,21-03-2021,Krasnoyarsk ,RUS,Finland,FIS Junior World Championships,Big Air,8,45.91
32,Sarkipaju Telma,Female,20-03-2021,Krasnoyarsk ,RUS,Finland,Qualification,Big Air,6,
33,Sarkipaju Telma,Female,19-03-2021,Krasnoyarsk ,RUS,Finland,FIS Junior World Championships,Slopestyle,3,158.89
34,Sarkipaju Telma,Female,18-03-2021,Krasnoyarsk ,RUS,Finland,Qualification,Slopestyle,4,
35,Sarkipaju Telma,Female,13-04-2019,Klaeppen,SWE,Finland,FIS Junior World Championships,Big Air,12,52.80
36,Sarkipaju Telma,Female,12-04-2019,Klaeppen,SWE,Finland,Qualification,Big Air,6,
37,Sarkipaju Telma,Female,09-04-2019,Klaeppen,SWE,Finland,FIS Junior World Championships,Slopestyle,18,31.20
38,Sarkipaju Telma,Female,08-04-2019,Klaeppen,SWE,Finland,Qualification,Slopestyle,8,
