,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sarsembaev Dmitry,Male,20-02-2022,Bakuriani,GEO,Uzbekistan,European Cup,Parallel Giant Slalom,5,162.00
1,Sarsembaev Dmitry,Male,19-02-2022,Bakuriani,GEO,Uzbekistan,European Cup,Parallel Giant Slalom,12,79.20
2,Sarsembaev Dmitry,Male,06-02-2022,Lenzerheide,SUI,Uzbekistan,European Cup,Parallel Slalom,1,360.00
3,Sarsembaev Dmitry,Male,05-02-2022,Lenzerheide,SUI,Uzbekistan,European Cup,Parallel Slalom,1,360.00
4,Sarsembaev Dmitry,Male,30-01-2022,Davos,SUI,Uzbekistan,European Cup,Parallel Slalom,5,162.00
5,Sarsembaev Dmitry,Male,29-01-2022,Davos,SUI,Uzbekistan,European Cup,Parallel Slalom,7,129.60
6,Sarsembaev Dmitry,Male,26-01-2022,Abzakovo,RUS,Uzbekistan,National Championships,Parallel Slalom,4,145.00
7,Sarsembaev Dmitry,Male,25-01-2022,Abzakovo,RUS,Uzbekistan,National Championships,Parallel Giant Slalom,3,174.00
8,Sarsembaev Dmitry,Male,14-01-2022,Simonhöhe,AUT,Uzbekistan,World Cup,Parallel Giant Slalom,22,90.00
9,Sarsembaev Dmitry,Male,14-01-2022,Simonhöhe,AUT,Uzbekistan,Qualification,Parallel Giant Slalom,22,
10,Sarsembaev Dmitry,Male,11-01-2022,Bad Gastein,AUT,Uzbekistan,Qualification,Parallel Slalom,19,
11,Sarsembaev Dmitry,Male,11-01-2022,Bad Gastein,AUT,Uzbekistan,World Cup,Parallel Slalom,19,120.00
12,Sarsembaev Dmitry,Male,08-01-2022,Scuol,SUI,Uzbekistan,Qualification,Parallel Giant Slalom,21,
13,Sarsembaev Dmitry,Male,08-01-2022,Scuol,SUI,Uzbekistan,World Cup,Parallel Giant Slalom,21,100.00
14,Sarsembaev Dmitry,Male,18-12-2021,Cortina d Ampezzo,ITA,Uzbekistan,Qualification,Parallel Giant Slalom,24,
15,Sarsembaev Dmitry,Male,18-12-2021,Cortina d Ampezzo,ITA,Uzbekistan,World Cup,Parallel Giant Slalom,24,70.00
16,Sarsembaev Dmitry,Male,16-12-2021,Carezza,ITA,Uzbekistan,Qualification,Parallel Giant Slalom,17,
17,Sarsembaev Dmitry,Male,16-12-2021,Carezza,ITA,Uzbekistan,World Cup,Parallel Giant Slalom,17,140.00
18,Sarsembaev Dmitry,Male,12-12-2021,Bannoye,RUS,Uzbekistan,Qualification,Parallel Slalom,19,
19,Sarsembaev Dmitry,Male,12-12-2021,Bannoye,RUS,Uzbekistan,World Cup,Parallel Slalom,19,120.00
20,Sarsembaev Dmitry,Male,11-12-2021,Bannoye,RUS,Uzbekistan,Qualification,Parallel Giant Slalom,33,
21,Sarsembaev Dmitry,Male,11-12-2021,Bannoye,RUS,Uzbekistan,World Cup,Parallel Giant Slalom,33,24.00
22,Sarsembaev Dmitry,Male,26-11-2021,Abzakovo,RUS,Uzbekistan,FIS,Parallel Slalom,3,132.00
23,Sarsembaev Dmitry,Male,25-11-2021,Abzakovo,RUS,Uzbekistan,FIS,Parallel Giant Slalom,9,63.80
24,Sarsembaev Dmitry,Male,20-03-2021,Berchtesgaden,GER,Uzbekistan,Qualification,Parallel Slalom,17,
