,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Shiba Masaki,Male,16-03-2025,Winterberg,GER,Japan,World Cup,Parallel Slalom Team,21,
1,Shiba Masaki,Male,16-03-2025,Winterberg,GER,Japan,Qualification,Parallel Slalom Team,21,
2,Shiba Masaki,Male,15-03-2025,Winterberg,GER,Japan,Qualification,Parallel Slalom,27,
3,Shiba Masaki,Male,15-03-2025,Winterberg,GER,Japan,World Cup,Parallel Slalom,27,45.00
4,Shiba Masaki,Male,09-03-2025,Montafon/Gargellen,AUT,Japan,European Cup,Parallel Slalom,19,43.20
5,Shiba Masaki,Male,08-03-2025,Montafon/Gargellen,AUT,Japan,European Cup,Parallel Giant Slalom,4,180.00
6,Shiba Masaki,Male,02-03-2025,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,33,
7,Shiba Masaki,Male,02-03-2025,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,33,24.00
8,Shiba Masaki,Male,01-03-2025,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,31,
9,Shiba Masaki,Male,01-03-2025,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,31,28.00
10,Shiba Masaki,Male,20-02-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,3,132.00
11,Shiba Masaki,Male,19-02-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,5,99.00
12,Shiba Masaki,Male,16-02-2025,Val St. Come,CAN,Japan,Qualification,Parallel Giant Slalom,25,
13,Shiba Masaki,Male,16-02-2025,Val St. Come,CAN,Japan,World Cup,Parallel Giant Slalom,25,60.00
14,Shiba Masaki,Male,15-02-2025,Val St. Come,CAN,Japan,Qualification,Parallel Giant Slalom,24,
15,Shiba Masaki,Male,15-02-2025,Val St. Come,CAN,Japan,World Cup,Parallel Giant Slalom,24,70.00
16,Shiba Masaki,Male,09-02-2025,Simonhoehe,AUT,Japan,National Championships,Parallel Slalom,7,104.40
17,Shiba Masaki,Male,08-02-2025,Simonhoehe,AUT,Japan,National Championships,Parallel Giant Slalom,10,75.40
18,Shiba Masaki,Male,02-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,11,62.40
19,Shiba Masaki,Male,02-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,10,
20,Shiba Masaki,Male,01-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,16,43.50
21,Shiba Masaki,Male,01-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,15,
22,Shiba Masaki,Male,26-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,17,44.80
23,Shiba Masaki,Male,25-01-2025,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,22,
24,Shiba Masaki,Male,25-01-2025,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,22,90.00
25,Shiba Masaki,Male,19-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,34,
26,Shiba Masaki,Male,19-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,34,22.00
27,Shiba Masaki,Male,18-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,32,
28,Shiba Masaki,Male,18-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,32,26.00
29,Shiba Masaki,Male,14-01-2025,Bad Gastein,AUT,Japan,Qualification,Parallel Slalom,22,
30,Shiba Masaki,Male,14-01-2025,Bad Gastein,AUT,Japan,World Cup,Parallel Slalom,22,90.00
31,Shiba Masaki,Male,11-01-2025,Scuol,SUI,Japan,Qualification,Parallel Giant Slalom,DNF,
32,Shiba Masaki,Male,11-01-2025,Scuol,SUI,Japan,World Cup,Parallel Giant Slalom,DNF,
33,Shiba Masaki,Male,21-12-2024,Davos,SUI,Japan,Qualification,Parallel Slalom,19,
34,Shiba Masaki,Male,21-12-2024,Davos,SUI,Japan,World Cup,Parallel Slalom,19,120.00
35,Shiba Masaki,Male,15-12-2024,Götschen,GER,Japan,European Cup,Parallel Slalom,16,36.00
36,Shiba Masaki,Male,14-12-2024,Cortina d'Ampezzo,ITA,Japan,Qualification,Parallel Giant Slalom,28,
37,Shiba Masaki,Male,14-12-2024,Cortina d'Ampezzo,ITA,Japan,World Cup,Parallel Giant Slalom,28,40.00
38,Shiba Masaki,Male,12-12-2024,Carezza,ITA,Japan,Qualification,Parallel Giant Slalom,18,
39,Shiba Masaki,Male,12-12-2024,Carezza,ITA,Japan,World Cup,Parallel Giant Slalom,18,130.00
40,Shiba Masaki,Male,08-12-2024,Yanqing (NASC),CHN,Japan,World Cup,Parallel Slalom,17,140.00
41,Shiba Masaki,Male,08-12-2024,Yanqing (NASC),CHN,Japan,Qualification,Parallel Slalom,17,
42,Shiba Masaki,Male,07-12-2024,Yanqing (NASC),CHN,Japan,World Cup,Parallel Giant Slalom,15,160.00
43,Shiba Masaki,Male,07-12-2024,Yanqing (NASC),CHN,Japan,Qualification,Parallel Giant Slalom,15,
44,Shiba Masaki,Male,01-12-2024,Mylin,CHN,Japan,World Cup,Parallel Slalom,25,60.00
45,Shiba Masaki,Male,01-12-2024,Mylin,CHN,Japan,Qualification,Parallel Slalom,25,
46,Shiba Masaki,Male,30-11-2024,Mylin,CHN,Japan,World Cup,Parallel Giant Slalom,30,32.00
47,Shiba Masaki,Male,30-11-2024,Mylin,CHN,Japan,Qualification,Parallel Giant Slalom,30,
48,Shiba Masaki,Male,17-03-2024,St. Moritz,SUI,Japan,European Cup,Parallel Slalom,16,54.00
49,Shiba Masaki,Male,16-03-2024,St. Moritz,SUI,Japan,European Cup,Parallel Giant Slalom,11,86.40
50,Shiba Masaki,Male,10-03-2024,Winterberg,GER,Japan,World Cup,Parallel Slalom Team,17,
51,Shiba Masaki,Male,09-03-2024,Winterberg,GER,Japan,Qualification,Parallel Slalom,DNF,
52,Shiba Masaki,Male,09-03-2024,Winterberg,GER,Japan,World Cup,Parallel Slalom,DNF,
53,Shiba Masaki,Male,25-02-2024,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,26,
54,Shiba Masaki,Male,25-02-2024,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,26,50.00
55,Shiba Masaki,Male,24-02-2024,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,28,
56,Shiba Masaki,Male,24-02-2024,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,28,40.00
57,Shiba Masaki,Male,10-02-2024,"Alpine Ski Club,",CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,9,92.80
58,Shiba Masaki,Male,09-02-2024,"Alpine Ski Club,",CAN,Japan,Nor-Am Cup,Parallel Slalom,8,102.40
59,Shiba Masaki,Male,06-02-2024,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,1,320.00
60,Shiba Masaki,Male,05-02-2024,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,2,256.00
61,Shiba Masaki,Male,28-01-2024,Simonhöhe,AUT,Japan,World Cup,Parallel Giant Slalom Team,8,
62,Shiba Masaki,Male,27-01-2024,Simonhöhe,AUT,Japan,Qualification,Parallel Giant Slalom,14,
63,Shiba Masaki,Male,27-01-2024,Simonhöhe,AUT,Japan,World Cup,Parallel Giant Slalom,14,180.00
64,Shiba Masaki,Male,25-01-2024,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,21,
65,Shiba Masaki,Male,25-01-2024,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,21,100.00
66,Shiba Masaki,Male,21-01-2024,Pamporovo,BUL,Japan,Qualification,Parallel Slalom,17,
67,Shiba Masaki,Male,21-01-2024,Pamporovo,BUL,Japan,World Cup,Parallel Slalom,17,140.00
