,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Shimizu Daichi,Male,04-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Giant Slalom,18,
1,Shimizu Daichi,Male,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,1,160.00
2,Shimizu Daichi,Male,02-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,19,31.20
3,Shimizu Daichi,Male,02-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,19,
4,Shimizu Daichi,Male,01-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,20,31.90
5,Shimizu Daichi,Male,01-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,20,
6,Shimizu Daichi,Male,26-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,26,16.00
7,Shimizu Daichi,Male,25-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,6,72.00
8,Shimizu Daichi,Male,22-01-2025,Bardonecchia,ITA,Japan,Universiade,Parallel Slalom,6,104.00
9,Shimizu Daichi,Male,21-01-2025,Bardonecchia,ITA,Japan,Universiade,Parallel Giant Slalom,7,93.60
10,Shimizu Daichi,Male,09-01-2025,O2 Resort,KOR,Japan,Asian Cup,Parallel Slalom,1,160.00
11,Shimizu Daichi,Male,08-01-2025,O2 Resort,KOR,Japan,Asian Cup,Parallel Giant Slalom,7,57.60
12,Shimizu Daichi,Male,31-12-2024,Galaxy Ski Resort,CHN,Japan,Asian Cup,Parallel Slalom,9,58.00
13,Shimizu Daichi,Male,30-12-2024,Galaxy Ski Resort,CHN,Japan,Asian Cup,Parallel Giant Slalom,12,44.00
14,Shimizu Daichi,Male,22-12-2024,Moninec,CZE,Japan,FIS,Parallel Slalom,28,6.40
15,Shimizu Daichi,Male,21-12-2024,Moninec,CZE,Japan,FIS,Parallel Slalom,6,64.00
16,Shimizu Daichi,Male,20-12-2024,Moninec,CZE,Japan,European Cup,Parallel Slalom,10,46.80
17,Shimizu Daichi,Male,19-12-2024,Moninec,CZE,Japan,European Cup,Parallel Slalom,9,58.00
18,Shimizu Daichi,Male,15-12-2024,Götschen,GER,Japan,European Cup,Parallel Slalom,14,43.20
19,Shimizu Daichi,Male,14-12-2024,Götschen,GER,Japan,European Cup,Parallel Slalom,18,20.80
20,Shimizu Daichi,Male,05-03-2024,High1resort,KOR,Japan,Asian Cup,Parallel Slalom,17,28.00
21,Shimizu Daichi,Male,04-03-2024,High1resort,KOR,Japan,Asian Cup,Parallel Giant Slalom,12,52.80
22,Shimizu Daichi,Male,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,7,64.80
23,Shimizu Daichi,Male,01-03-2024,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,9,52.20
24,Shimizu Daichi,Male,10-02-2024,"Alpine Ski Club,",CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,4,160.00
25,Shimizu Daichi,Male,09-02-2024,"Alpine Ski Club,",CAN,Japan,Nor-Am Cup,Parallel Slalom,DSQ,
26,Shimizu Daichi,Male,07-02-2024,Val Saint Come,CAN,Japan,FIS,Parallel Giant Slalom,1,110.00
27,Shimizu Daichi,Male,06-02-2024,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,8,102.40
28,Shimizu Daichi,Male,05-02-2024,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,11,76.80
29,Shimizu Daichi,Male,27-01-2024,Simonhöhe,AUT,Japan,Qualification,Parallel Giant Slalom,39,
30,Shimizu Daichi,Male,27-01-2024,Simonhöhe,AUT,Japan,World Cup,Parallel Giant Slalom,39,18.80
31,Shimizu Daichi,Male,25-01-2024,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,28,
32,Shimizu Daichi,Male,25-01-2024,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,28,40.00
33,Shimizu Daichi,Male,21-01-2024,Pamporovo,BUL,Japan,Qualification,Parallel Slalom,28,
34,Shimizu Daichi,Male,21-01-2024,Pamporovo,BUL,Japan,World Cup,Parallel Slalom,28,40.00
35,Shimizu Daichi,Male,20-01-2024,Pamporovo,BUL,Japan,Qualification,Parallel Slalom,34,
36,Shimizu Daichi,Male,20-01-2024,Pamporovo,BUL,Japan,World Cup,Parallel Slalom,34,22.00
37,Shimizu Daichi,Male,17-01-2024,Bad Gastein,AUT,Japan,World Cup,Parallel Slalom Team,22,
38,Shimizu Daichi,Male,16-01-2024,Bad Gastein,AUT,Japan,Qualification,Parallel Slalom,46,
39,Shimizu Daichi,Male,16-01-2024,Bad Gastein,AUT,Japan,World Cup,Parallel Slalom,46,
40,Shimizu Daichi,Male,13-01-2024,Scuol,SUI,Japan,Qualification,Parallel Giant Slalom,33,
41,Shimizu Daichi,Male,13-01-2024,Scuol,SUI,Japan,World Cup,Parallel Giant Slalom,33,24.00
42,Shimizu Daichi,Male,23-12-2023,Davos,SUI,Japan,Qualification,Parallel Slalom,DSQ,
43,Shimizu Daichi,Male,23-12-2023,Davos ,SUI,Japan,World Cup,Parallel Slalom,DSQ,
44,Shimizu Daichi,Male,16-12-2023,Cortina d'Ampezzo,ITA,Japan,Qualification,Parallel Giant Slalom,33,
45,Shimizu Daichi,Male,16-12-2023,Cortina d'Ampezzo,ITA,Japan,World Cup,Parallel Giant Slalom,33,24.00
46,Shimizu Daichi,Male,14-12-2023,Carezza,ITA,Japan,Qualification,Parallel Giant Slalom,52,
47,Shimizu Daichi,Male,14-12-2023,Carezza,ITA,Japan,World Cup,Parallel Giant Slalom,52,
48,Shimizu Daichi,Male,09-12-2023,Götschen,GER,Japan,Qualification,Parallel Slalom,9,
49,Shimizu Daichi,Male,09-12-2023,Götschen,GER,Japan,European Cup,Parallel Slalom,11,86.40
50,Shimizu Daichi,Male,08-12-2023,Götschen,GER,Japan,Qualification,Parallel Slalom,19,
51,Shimizu Daichi,Male,08-12-2023,Götschen,GER,Japan,European Cup,Parallel Slalom,19,43.20
52,Shimizu Daichi,Male,04-04-2023,Copper Mountain Resort,USA,Japan,National Championships,Parallel Slalom,6,116.00
53,Shimizu Daichi,Male,03-04-2023,Copper Mountain Resort,USA,Japan,National Championships,Parallel Giant Slalom,3,174.00
54,Shimizu Daichi,Male,05-03-2023,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,3,66.00
55,Shimizu Daichi,Male,04-03-2023,Akan,JPN,Japan,FIS,Parallel Giant Slalom,3,66.00
56,Shimizu Daichi,Male,21-02-2023,Bakuriani,GEO,Japan,Qualification,Parallel Slalom,37,
57,Shimizu Daichi,Male,21-02-2023,Bakuriani,GEO,Japan,World Championships,Parallel Slalom,37,19.40
58,Shimizu Daichi,Male,19-02-2023,Bakuriani,GEO,Japan,Qualification,Parallel Giant Slalom,29,
59,Shimizu Daichi,Male,19-02-2023,Bakuriani,GEO,Japan,World Championships,Parallel Giant Slalom,29,36.00
60,Shimizu Daichi,Male,12-02-2023,Funes - Vilnoess,ITA,Japan,FIS,Parallel Giant Slalom,17,30.80
61,Shimizu Daichi,Male,11-02-2023,Funes - Vilnoess,ITA,Japan,FIS,Parallel Giant Slalom,12,48.40
62,Shimizu Daichi,Male,05-02-2023,Lenzerheide,SUI,Japan,European Cup,Parallel Slalom,16,54.00
63,Shimizu Daichi,Male,22-01-2023,Gore Mountain,USA,Japan,Universiade,Parallel Slalom,7,79.20
64,Shimizu Daichi,Male,22-01-2023,Gore Mountain,USA,Japan,Qualification,Parallel Slalom,7,
65,Shimizu Daichi,Male,21-01-2023,Gore Mountain,USA,Japan,Universiade,Parallel Giant Slalom,6,88.00
66,Shimizu Daichi,Male,21-01-2023,Gore Mountain,USA,Japan,Qualification,Parallel Giant Slalom,5,
67,Shimizu Daichi,Male,17-12-2022,Cortina d'Ampezzo,ITA,Japan,Qualification,Parallel Giant Slalom,34,
68,Shimizu Daichi,Male,17-12-2022,Cortina d'Ampezzo,ITA,Japan,World Cup,Parallel Giant Slalom,34,22.00
69,Shimizu Daichi,Male,15-12-2022,Carezza,ITA,Japan,Qualification,Parallel Giant Slalom,44,
70,Shimizu Daichi,Male,15-12-2022,Carezza,ITA,Japan,World Cup,Parallel Giant Slalom,44,17.30
71,Shimizu Daichi,Male,11-12-2022,Winterberg,GER,Japan,World Cup,Parallel Slalom,41,18.20
72,Shimizu Daichi,Male,10-12-2022,Winterberg,GER,Japan,Qualification,Parallel Slalom,41,
73,Shimizu Daichi,Male,10-12-2022,Winterberg,GER,Japan,World Cup,Parallel Slalom Team,8,
74,Shimizu Daichi,Male,06-04-2022,Copper Mountain Resort,USA,Japan,National Championships,Parallel Slalom,6,80.00
75,Shimizu Daichi,Male,04-04-2022,Copper Mountain Resort,USA,Japan,National Championships,Parallel Giant Slalom,2,176.00
76,Shimizu Daichi,Male,20-03-2022,Berchtesgaden,GER,Japan,World Cup,Parallel  Slalom Team,21,
77,Shimizu Daichi,Male,19-03-2022,Berchtesgaden,GER,Japan,Qualification,Parallel Slalom,38,
78,Shimizu Daichi,Male,19-03-2022,Berchtesgaden,GER,Japan,World Cup,Parallel Slalom,38,19.10
79,Shimizu Daichi,Male,17-03-2022,Rogla,SLO,Japan,European Cup,Parallel Giant Slalom,15,51.20
80,Shimizu Daichi,Male,16-03-2022,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,41,
81,Shimizu Daichi,Male,16-03-2022,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,41,18.20
82,Shimizu Daichi,Male,12-03-2022,Piancavallo,ITA,Japan,Qualification,Parallel Slalom,36,
83,Shimizu Daichi,Male,12-03-2022,Piancavallo,ITA,Japan,World Cup,Parallel Slalom,36,19.70
84,Shimizu Daichi,Male,06-03-2022,Lachtal,AUT,Japan,European Cup,Parallel Giant Slalom,7,129.60
85,Shimizu Daichi,Male,05-03-2022,Lachtal,AUT,Japan,European Cup,Parallel Giant Slalom,14,64.80
86,Shimizu Daichi,Male,25-02-2022,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,1,90.00
87,Shimizu Daichi,Male,24-02-2022,Akan,JPN,Japan,FIS,Parallel Giant Slalom,1,90.00
88,Shimizu Daichi,Male,26-03-2021,Krasnoyarsk ,RUS,Japan,FIS Junior World Championships,Parallel Slalom,8,83.20
89,Shimizu Daichi,Male,25-03-2021,Krasnoyarsk ,RUS,Japan,FIS Junior World Championships,Parallel Giant Slalom,6,104.00
90,Shimizu Daichi,Male,25-03-2021,Krasnoyarsk ,RUS,Japan,Qualification,Parallel Giant Slalom,6,
91,Shimizu Daichi,Male,20-03-2021,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,1,70.00
92,Shimizu Daichi,Male,07-02-2021,Sapporo Bankei,JPN,Japan,FIS,Giant Slalom,1,70.00
93,Shimizu Daichi,Male,20-12-2020,Lachtal,AUT,Japan,FIS Junior World Championships,Parallel Giant Slalom,7,129.60
94,Shimizu Daichi,Male,19-12-2020,Lachtal,AUT,Japan,FIS Junior World Championships,Parallel Slalom,12,79.20
95,Shimizu Daichi,Male,25-02-2020,Pyeongchang,KOR,Japan,National Championships,Parallel Slalom,17,16.80
96,Shimizu Daichi,Male,24-02-2020,Pyeongchang,KOR,Japan,National Championships,Parallel Giant Slalom,23,12.00
97,Shimizu Daichi,Male,08-02-2020,Alpine Ski Club,CAN,Japan,Nor-Am Cup,Parallel Slalom,12,44.00
98,Shimizu Daichi,Male,07-02-2020,Alpine Ski Club,CAN,Japan,Nor-Am Cup,Parallel Slalom,21,20.00
